35004,Moody,Alabama ,SAINT CLAIR,01,115,AL 
35014,Alpine,Alabama ,TALLADEGA,01,121,AL 
35005,Adamsville,Alabama ,JEFFERSON,01,073,AL 
35007,Alabaster,Alabama ,SHELBY,01,117,AL 
35011,Alexander City,Alabama ,TALLAPOOSA,01,123,AL 
35006,Adger,Alabama ,JEFFERSON,01,073,AL 
35013,Allgood,Alabama ,BLOUNT,01,009,AL 
35010,Alexander City,Alabama ,TALLAPOOSA,01,123,AL 
35015,Alton,Alabama ,JEFFERSON,01,073,AL 
35031,Blountsville,Alabama ,BLOUNT,01,009,AL 
35023,Bessemer,Alabama ,JEFFERSON,01,073,AL 
35022,Bessemer,Alabama ,JEFFERSON,01,073,AL 
35016,Arab,Alabama ,MARSHALL,01,095,AL 
35019,Baileyton,Alabama ,CULLMAN,01,043,AL 
35021,Bessemer,Alabama ,JEFFERSON,01,073,AL 
35020,Bessemer,Alabama ,JEFFERSON,01,073,AL 
35032,Bon Air,Alabama ,TALLADEGA,01,121,AL 
35036,Brookside,Alabama ,JEFFERSON,01,073,AL 
35038,Burnwell,Alabama ,WALKER,01,127,AL 
35033,Bremen,Alabama ,CULLMAN,01,043,AL 
35035,Brierfield,Alabama ,BIBB,01,007,AL 
35034,Brent,Alabama ,BIBB,01,007,AL 
35042,Centreville,Alabama ,BIBB,01,007,AL 
35040,Calera,Alabama ,SHELBY,01,117,AL 
35043,Chelsea,Alabama ,SHELBY,01,117,AL 
35053,Crane Hill,Alabama ,CULLMAN,01,043,AL 
35045,Clanton,Alabama ,CHILTON,01,021,AL 
35046,Clanton,Alabama ,CHILTON,01,021,AL 
35052,Cook Springs,Alabama ,SAINT CLAIR,01,115,AL 
35048,Clay,Alabama ,JEFFERSON,01,073,AL 
35044,Childersburg,Alabama ,TALLADEGA,01,121,AL 
35049,Cleveland,Alabama ,BLOUNT,01,009,AL 
35054,Cropwell,Alabama ,SAINT CLAIR,01,115,AL 
35055,Cullman,Alabama ,CULLMAN,01,043,AL 
35058,Cullman,Alabama ,CULLMAN,01,043,AL 
35061,Dolomite,Alabama ,JEFFERSON,01,073,AL 
35056,Cullman,Alabama ,CULLMAN,01,043,AL 
35057,Cullman,Alabama ,CULLMAN,01,043,AL 
35062,Dora,Alabama ,JEFFERSON,01,073,AL 
35063,Empire,Alabama ,WALKER,01,127,AL 
35060,Docena,Alabama ,JEFFERSON,01,073,AL 
35064,Fairfield,Alabama ,JEFFERSON,01,073,AL 
35072,Goodwater,Alabama ,COOSA,01,037,AL 
35071,Gardendale,Alabama ,JEFFERSON,01,073,AL 
35068,Fultondale,Alabama ,JEFFERSON,01,073,AL 
35070,Garden City,Alabama ,CULLMAN,01,043,AL 
35074,Green Pond,Alabama ,BIBB,01,007,AL 
35073,Graysville,Alabama ,JEFFERSON,01,073,AL 
35077,Hanceville,Alabama ,CULLMAN,01,043,AL 
35078,Harpersville,Alabama ,SHELBY,01,117,AL 
35080,Helena,Alabama ,SHELBY,01,117,AL 
35079,Hayden,Alabama ,BLOUNT,01,009,AL 
35083,Holly Pond,Alabama ,CULLMAN,01,043,AL 
35082,Hollins,Alabama ,CLAY,01,027,AL 
35087,Joppa,Alabama ,CULLMAN,01,043,AL 
35089,Kellyton,Alabama ,COOSA,01,037,AL 
35085,Jemison,Alabama ,CHILTON,01,021,AL 
35091,Kimberly,Alabama ,JEFFERSON,01,073,AL 
35098,Logan,Alabama ,CULLMAN,01,043,AL 
35094,Leeds,Alabama ,JEFFERSON,01,073,AL 
35111,Mc Calla,Alabama ,JEFFERSON,01,073,AL 
35112,Margaret,Alabama ,SAINT CLAIR,01,115,AL 
35096,Lincoln,Alabama ,TALLADEGA,01,121,AL 
35097,Locust Fork,Alabama ,BLOUNT,01,009,AL 
35114,Alabaster,Alabama ,SHELBY,01,117,AL 
35116,Morris,Alabama ,JEFFERSON,01,073,AL 
35117,Mount Olive,Alabama ,JEFFERSON,01,073,AL 
35115,Montevallo,Alabama ,SHELBY,01,117,AL 
35121,Oneonta,Alabama ,BLOUNT,01,009,AL 
35118,Mulga,Alabama ,JEFFERSON,01,073,AL 
35120,Odenville,Alabama ,SAINT CLAIR,01,115,AL 
35119,New Castle,Alabama ,JEFFERSON,01,073,AL 
35123,Palmerdale,Alabama ,JEFFERSON,01,073,AL 
35126,Pinson,Alabama ,JEFFERSON,01,073,AL 
35124,Pelham,Alabama ,SHELBY,01,117,AL 
35125,Pell City,Alabama ,SAINT CLAIR,01,115,AL 
35128,Pell City,Alabama ,SAINT CLAIR,01,115,AL 
35127,Pleasant Grove,Alabama ,JEFFERSON,01,073,AL 
35131,Ragland,Alabama ,SAINT CLAIR,01,115,AL 
35130,Quinton,Alabama ,WALKER,01,127,AL 
35133,Remlap,Alabama ,BLOUNT,01,009,AL 
35135,Riverside,Alabama ,SAINT CLAIR,01,115,AL 
35136,Rockford,Alabama ,COOSA,01,037,AL 
35137,Saginaw,Alabama ,SHELBY,01,117,AL 
35142,Shannon,Alabama ,JEFFERSON,01,073,AL 
35143,Shelby,Alabama ,SHELBY,01,117,AL 
35146,Springville,Alabama ,SAINT CLAIR,01,115,AL 
35139,Sayre,Alabama ,JEFFERSON,01,073,AL 
35144,Siluria,Alabama ,SHELBY,01,117,AL 
35147,Sterrett,Alabama ,SHELBY,01,117,AL 
35148,Sumiton,Alabama ,WALKER,01,127,AL 
35149,Sycamore,Alabama ,TALLADEGA,01,121,AL 
35151,Sylacauga,Alabama ,TALLADEGA,01,121,AL 
35150,Sylacauga,Alabama ,TALLADEGA,01,121,AL 
35171,Thorsby,Alabama ,CHILTON,01,021,AL 
35160,Talladega,Alabama ,TALLADEGA,01,121,AL 
35161,Talladega,Alabama ,TALLADEGA,01,121,AL 
35172,Trafford,Alabama ,JEFFERSON,01,073,AL 
35175,Union Grove,Alabama ,MARSHALL,01,095,AL 
35173,Trussville,Alabama ,JEFFERSON,01,073,AL 
35176,Vandiver,Alabama ,SHELBY,01,117,AL 
35178,Vincent,Alabama ,SHELBY,01,117,AL 
35179,Vinemont,Alabama ,CULLMAN,01,043,AL 
35180,Warrior,Alabama ,JEFFERSON,01,073,AL 
35181,Watson,Alabama ,JEFFERSON,01,073,AL 
35184,West Blocton,Alabama ,BIBB,01,007,AL 
35183,Weogufka,Alabama ,COOSA,01,037,AL 
35182,Wattsville,Alabama ,SAINT CLAIR,01,115,AL 
35186,Wilsonville,Alabama ,SHELBY,01,117,AL 
35187,Wilton,Alabama ,SHELBY,01,117,AL 
35185,Westover,Alabama ,SHELBY,01,117,AL 
35202,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35188,Woodstock,Alabama ,BIBB,01,007,AL 
35203,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35201,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35204,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35205,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35207,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35208,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35206,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35209,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35212,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35211,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35210,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35213,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35214,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35215,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35217,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35216,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35219,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35220,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35218,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35221,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35222,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35226,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35223,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35224,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35231,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35228,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35229,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35232,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35233,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35237,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35238,Birmingham,Alabama ,SHELBY,01,117,AL 
35234,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35235,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35242,Birmingham,Alabama ,SHELBY,01,117,AL 
35236,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35243,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35244,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35255,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35246,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35259,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35253,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35254,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35249,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35260,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35261,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35266,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35283,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35287,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35282,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35270,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35285,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35288,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35290,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35291,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35297,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35296,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35292,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35294,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35295,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35293,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35298,Birmingham,Alabama ,JEFFERSON,01,073,AL 
35401,Tuscaloosa,Alabama ,TUSCALOOSA,01,125,AL 
