99506,Jber,Alaska ,ANCHORAGE,02,020,AK 
99503,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99508,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99504,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99501,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99505,Jber,Alaska ,ANCHORAGE,02,020,AK 
99502,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99507,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99509,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99511,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99513,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99510,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99515,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99514,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99517,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99516,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99518,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99519,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99520,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99523,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99522,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99521,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99529,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99524,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99530,Anchorage,Alaska ,ANCHORAGE,02,020,AK 
99540,Indian,Alaska ,ANCHORAGE,02,020,AK 
99545,Kongiganak,Alaska ,BETHEL,02,050,AK 
99550,Port Lions,Alaska ,KODIAK ISLAND,02,150,AK 
99549,Port Heiden,Alaska ,LAKE AND PENINSULA,02,164,AK 
99546,Adak,Alaska ,ALEUTIANS WEST,02,016,AK 
99547,Atka,Alaska ,ALEUTIANS WEST,02,016,AK 
99548,Chignik Lake,Alaska ,LAKE AND PENINSULA,02,164,AK 
99551,Akiachak,Alaska ,BETHEL,02,050,AK 
99552,Akiak,Alaska ,BETHEL,02,050,AK 
99553,Akutan,Alaska ,ALEUTIANS EAST,02,013,AK 
99557,Aniak,Alaska ,BETHEL,02,050,AK 
99558,Anvik,Alaska ,YUKON KOYUKUK,02,290,AK 
99554,Alakanuk,Alaska ,KUSILVAK,02,158,AK 
99556,Anchor Point,Alaska ,KENAI PENINSULA,02,122,AK 
99555,Aleknagik,Alaska ,DILLINGHAM,02,070,AK 
99559,Bethel,Alaska ,BETHEL,02,050,AK 
99563,Chevak,Alaska ,KUSILVAK,02,158,AK 
99561,Chefornak,Alaska ,BETHEL,02,050,AK 
99565,Chignik Lagoon,Alaska ,LAKE AND PENINSULA,02,164,AK 
