85002,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85001,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85004,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85003,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85005,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85007,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85008,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85006,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85009,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85011,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85012,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85010,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85013,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85016,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85014,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85015,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85017,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85018,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85020,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85022,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85019,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85021,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85023,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85024,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85026,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85027,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85033,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85029,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85028,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85030,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85031,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85032,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85034,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85035,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85038,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85041,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85039,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85036,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85040,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85042,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85037,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85043,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85044,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85053,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85051,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85050,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85046,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85045,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85048,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85054,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85060,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85064,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85067,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85062,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85063,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85065,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85061,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85066,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85068,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85069,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85070,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85071,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85072,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85075,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85074,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85073,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85076,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85080,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85079,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85078,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85083,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85085,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85082,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85087,New River,Arizona ,MARICOPA,04,013,AZ 
85117,Apache Junction,Arizona ,PINAL,04,021,AZ 
85086,Phoenix,Arizona ,MARICOPA,04,013,AZ 
85119,Apache Junction,Arizona ,PINAL,04,021,AZ 
85121,Bapchule,Arizona ,PINAL,04,021,AZ 
85118,Gold Canyon,Arizona ,PINAL,04,021,AZ 
85120,Apache Junction,Arizona ,PINAL,04,021,AZ 
85122,Casa Grande,Arizona ,PINAL,04,021,AZ 
85123,Arizona City,Arizona ,PINAL,04,021,AZ 
85127,Chandler Heights,Arizona ,MARICOPA,04,013,AZ 
85128,Coolidge,Arizona ,PINAL,04,021,AZ 
85131,Eloy,Arizona ,PINAL,04,021,AZ 
85135,Hayden,Arizona ,GILA,04,007,AZ 
85137,Kearny,Arizona ,PINAL,04,021,AZ 
85132,Florence,Arizona ,PINAL,04,021,AZ 
85138,Maricopa,Arizona ,PINAL,04,021,AZ 
85130,Casa Grande,Arizona ,PINAL,04,021,AZ 
85139,Maricopa,Arizona ,PINAL,04,021,AZ 
85140,San Tan Valley,Arizona ,PINAL,04,021,AZ 
85141,Picacho,Arizona ,PINAL,04,021,AZ 
85147,Sacaton,Arizona ,PINAL,04,021,AZ 
85173,Superior,Arizona ,PINAL,04,021,AZ 
85143,San Tan Valley,Arizona ,PINAL,04,021,AZ 
85172,Stanfield,Arizona ,PINAL,04,021,AZ 
85142,Queen Creek,Arizona ,MARICOPA,04,013,AZ 
85145,Red Rock,Arizona ,PINAL,04,021,AZ 
85178,Apache Junction,Arizona ,PINAL,04,021,AZ 
85193,Casa Grande,Arizona ,PINAL,04,021,AZ 
85190,Tortilla Flat,Arizona ,MARICOPA,04,013,AZ 
85191,Valley Farms,Arizona ,PINAL,04,021,AZ 
85201,Mesa,Arizona ,MARICOPA,04,013,AZ 
85202,Mesa,Arizona ,MARICOPA,04,013,AZ 
85194,Casa Grande,Arizona ,PINAL,04,021,AZ 
85192,Winkelman,Arizona ,GILA,04,007,AZ 
85203,Mesa,Arizona ,MARICOPA,04,013,AZ 
85208,Mesa,Arizona ,MARICOPA,04,013,AZ 
85205,Mesa,Arizona ,MARICOPA,04,013,AZ 
85206,Mesa,Arizona ,MARICOPA,04,013,AZ 
85207,Mesa,Arizona ,MARICOPA,04,013,AZ 
85210,Mesa,Arizona ,MARICOPA,04,013,AZ 
85204,Mesa,Arizona ,MARICOPA,04,013,AZ 
85209,Mesa,Arizona ,MARICOPA,04,013,AZ 
85211,Mesa,Arizona ,MARICOPA,04,013,AZ 
85212,Mesa,Arizona ,MARICOPA,04,013,AZ 
85224,Chandler,Arizona ,MARICOPA,04,013,AZ 
85213,Mesa,Arizona ,MARICOPA,04,013,AZ 
85214,Mesa,Arizona ,MARICOPA,04,013,AZ 
85216,Mesa,Arizona ,MARICOPA,04,013,AZ 
85215,Mesa,Arizona ,MARICOPA,04,013,AZ 
85225,Chandler,Arizona ,MARICOPA,04,013,AZ 
85226,Chandler,Arizona ,MARICOPA,04,013,AZ 
85233,Gilbert,Arizona ,MARICOPA,04,013,AZ 
85244,Chandler,Arizona ,MARICOPA,04,013,AZ 
85234,Gilbert,Arizona ,MARICOPA,04,013,AZ 
85250,Scottsdale,Arizona ,MARICOPA,04,013,AZ 
85248,Chandler,Arizona ,MARICOPA,04,013,AZ 
85236,Higley,Arizona ,MARICOPA,04,013,AZ 
85249,Chandler,Arizona ,MARICOPA,04,013,AZ 
85246,Chandler,Arizona ,MARICOPA,04,013,AZ 
85251,Scottsdale,Arizona ,MARICOPA,04,013,AZ 
85252,Scottsdale,Arizona ,MARICOPA,04,013,AZ 
85253,Paradise Valley,Arizona ,MARICOPA,04,013,AZ 
85254,Scottsdale,Arizona ,MARICOPA,04,013,AZ 
85256,Scottsdale,Arizona ,MARICOPA,04,013,AZ 
85257,Scottsdale,Arizona ,MARICOPA,04,013,AZ 
85255,Scottsdale,Arizona ,MARICOPA,04,013,AZ 
85259,Scottsdale,Arizona ,MARICOPA,04,013,AZ 
85260,Scottsdale,Arizona ,MARICOPA,04,013,AZ 
85261,Scottsdale,Arizona ,MARICOPA,04,013,AZ 
85263,Rio Verde,Arizona ,MARICOPA,04,013,AZ 
85267,Scottsdale,Arizona ,MARICOPA,04,013,AZ 
85258,Scottsdale,Arizona ,MARICOPA,04,013,AZ 
85262,Scottsdale,Arizona ,MARICOPA,04,013,AZ 
85266,Scottsdale,Arizona ,MARICOPA,04,013,AZ 
85264,Fort Mcdowell,Arizona ,MARICOPA,04,013,AZ 
85268,Fountain Hills,Arizona ,MARICOPA,04,013,AZ 
85274,Mesa,Arizona ,MARICOPA,04,013,AZ 
85271,Scottsdale,Arizona ,MARICOPA,04,013,AZ 
85275,Mesa,Arizona ,MARICOPA,04,013,AZ 
85281,Tempe,Arizona ,MARICOPA,04,013,AZ 
85277,Mesa,Arizona ,MARICOPA,04,013,AZ 
85269,Fountain Hills,Arizona ,MARICOPA,04,013,AZ 
85280,Tempe,Arizona ,MARICOPA,04,013,AZ 
85282,Tempe,Arizona ,MARICOPA,04,013,AZ 
85295,Gilbert,Arizona ,MARICOPA,04,013,AZ 
85285,Tempe,Arizona ,MARICOPA,04,013,AZ 
85287,Tempe,Arizona ,MARICOPA,04,013,AZ 
85283,Tempe,Arizona ,MARICOPA,04,013,AZ 
