06011,Bristol,Connecticut ,HARTFORD,09,003,CT 
06001,Avon,Connecticut ,HARTFORD,09,003,CT 
06016,Broad Brook,Connecticut ,HARTFORD,09,003,CT 
06010,Bristol,Connecticut ,HARTFORD,09,003,CT 
06013,Burlington,Connecticut ,HARTFORD,09,003,CT 
06006,Windsor,Connecticut ,HARTFORD,09,003,CT 
06002,Bloomfield,Connecticut ,HARTFORD,09,003,CT 
06018,Canaan,Connecticut ,LITCHFIELD,09,005,CT 
06019,Canton,Connecticut ,HARTFORD,09,003,CT 
06025,East Glastonbury,Connecticut ,HARTFORD,09,003,CT 
06021,Colebrook,Connecticut ,LITCHFIELD,09,005,CT 
06020,Canton Center,Connecticut ,HARTFORD,09,003,CT 
06026,East Granby,Connecticut ,HARTFORD,09,003,CT 
06023,East Berlin,Connecticut ,HARTFORD,09,003,CT 
06024,East Canaan,Connecticut ,LITCHFIELD,09,005,CT 
06022,Collinsville,Connecticut ,HARTFORD,09,003,CT 
06030,Farmington,Connecticut ,HARTFORD,09,003,CT 
06028,East Windsor Hill,Connecticut ,HARTFORD,09,003,CT 
06027,East Hartland,Connecticut ,HARTFORD,09,003,CT 
06031,Falls Village,Connecticut ,LITCHFIELD,09,005,CT 
06034,Farmington,Connecticut ,HARTFORD,09,003,CT 
06029,Ellington,Connecticut ,TOLLAND,09,013,CT 
06033,Glastonbury,Connecticut ,HARTFORD,09,003,CT 
06032,Farmington,Connecticut ,HARTFORD,09,003,CT 
06040,Manchester,Connecticut ,HARTFORD,09,003,CT 
06037,Berlin,Connecticut ,HARTFORD,09,003,CT 
06043,Bolton,Connecticut ,TOLLAND,09,013,CT 
06042,Manchester,Connecticut ,HARTFORD,09,003,CT 
06045,Manchester,Connecticut ,HARTFORD,09,003,CT 
06035,Granby,Connecticut ,HARTFORD,09,003,CT 
06041,Manchester,Connecticut ,HARTFORD,09,003,CT 
06039,Lakeville,Connecticut ,LITCHFIELD,09,005,CT 
06050,New Britain,Connecticut ,HARTFORD,09,003,CT 
06053,New Britain,Connecticut ,HARTFORD,09,003,CT 
06059,North Canton,Connecticut ,HARTFORD,09,003,CT 
06052,New Britain,Connecticut ,HARTFORD,09,003,CT 
06060,North Granby,Connecticut ,HARTFORD,09,003,CT 
06058,Norfolk,Connecticut ,LITCHFIELD,09,005,CT 
06057,New Hartford,Connecticut ,LITCHFIELD,09,005,CT 
06051,New Britain,Connecticut ,HARTFORD,09,003,CT 
06061,Pine Meadow,Connecticut ,LITCHFIELD,09,005,CT 
06062,Plainville,Connecticut ,HARTFORD,09,003,CT 
06066,Vernon Rockville,Connecticut ,TOLLAND,09,013,CT 
06065,Riverton,Connecticut ,LITCHFIELD,09,005,CT 
06063,Barkhamsted,Connecticut ,LITCHFIELD,09,005,CT 
06064,Poquonock,Connecticut ,HARTFORD,09,003,CT 
06068,Salisbury,Connecticut ,LITCHFIELD,09,005,CT 
06067,Rocky Hill,Connecticut ,HARTFORD,09,003,CT 
06069,Sharon,Connecticut ,LITCHFIELD,09,005,CT 
06070,Simsbury,Connecticut ,HARTFORD,09,003,CT 
06073,South Glastonbury,Connecticut ,HARTFORD,09,003,CT 
06071,Somers,Connecticut ,TOLLAND,09,013,CT 
06072,Somersville,Connecticut ,TOLLAND,09,013,CT 
06075,Stafford,Connecticut ,TOLLAND,09,013,CT 
06076,Stafford Springs,Connecticut ,TOLLAND,09,013,CT 
06074,South Windsor,Connecticut ,HARTFORD,09,003,CT 
06085,Unionville,Connecticut ,HARTFORD,09,003,CT 
06088,East Windsor,Connecticut ,HARTFORD,09,003,CT 
06089,Weatogue,Connecticut ,HARTFORD,09,003,CT 
06090,West Granby,Connecticut ,HARTFORD,09,003,CT 
06091,West Hartland,Connecticut ,HARTFORD,09,003,CT 
06092,West Simsbury,Connecticut ,HARTFORD,09,003,CT 
06093,West Suffield,Connecticut ,HARTFORD,09,003,CT 
06094,Winchester Center,Connecticut ,LITCHFIELD,09,005,CT 
06095,Windsor,Connecticut ,HARTFORD,09,003,CT 
06096,Windsor Locks,Connecticut ,HARTFORD,09,003,CT 
06098,Winsted,Connecticut ,LITCHFIELD,09,005,CT 
06101,Hartford,Connecticut ,HARTFORD,09,003,CT 
06102,Hartford,Connecticut ,HARTFORD,09,003,CT 
06081,Tariffville,Connecticut ,HARTFORD,09,003,CT 
06082,Enfield,Connecticut ,HARTFORD,09,003,CT 
06078,Suffield,Connecticut ,HARTFORD,09,003,CT 
06080,Suffield,Connecticut ,HARTFORD,09,003,CT 
06079,Taconic,Connecticut ,LITCHFIELD,09,005,CT 
06083,Enfield,Connecticut ,HARTFORD,09,003,CT 
06084,Tolland,Connecticut ,TOLLAND,09,013,CT 
06103,Hartford,Connecticut ,HARTFORD,09,003,CT 
06106,Hartford,Connecticut ,HARTFORD,09,003,CT 
06107,West Hartford,Connecticut ,HARTFORD,09,003,CT 
06104,Hartford,Connecticut ,HARTFORD,09,003,CT 
06109,Wethersfield,Connecticut ,HARTFORD,09,003,CT 
06108,East Hartford,Connecticut ,HARTFORD,09,003,CT 
06110,West Hartford,Connecticut ,HARTFORD,09,003,CT 
06105,Hartford,Connecticut ,HARTFORD,09,003,CT 
06111,Newington,Connecticut ,HARTFORD,09,003,CT 
06115,Hartford,Connecticut ,HARTFORD,09,003,CT 
06112,Hartford,Connecticut ,HARTFORD,09,003,CT 
06114,Hartford,Connecticut ,HARTFORD,09,003,CT 
06123,Hartford,Connecticut ,HARTFORD,09,003,CT 
06120,Hartford,Connecticut ,HARTFORD,09,003,CT 
06117,West Hartford,Connecticut ,HARTFORD,09,003,CT 
06118,East Hartford,Connecticut ,HARTFORD,09,003,CT 
06119,West Hartford,Connecticut ,HARTFORD,09,003,CT 
06126,Hartford,Connecticut ,HARTFORD,09,003,CT 
06127,West Hartford,Connecticut ,HARTFORD,09,003,CT 
06128,East Hartford,Connecticut ,HARTFORD,09,003,CT 
06131,Newington,Connecticut ,HARTFORD,09,003,CT 
06129,Wethersfield,Connecticut ,HARTFORD,09,003,CT 
06134,Hartford,Connecticut ,HARTFORD,09,003,CT 
06132,Hartford,Connecticut ,HARTFORD,09,003,CT 
06133,West Hartford,Connecticut ,HARTFORD,09,003,CT 
