19701,Bear,Delaware ,NEW CASTLE,10,003,DE 
19707,Hockessin,Delaware ,NEW CASTLE,10,003,DE 
19702,Newark,Delaware ,NEW CASTLE,10,003,DE 
19703,Claymont,Delaware ,NEW CASTLE,10,003,DE 
19710,Montchanin,Delaware ,NEW CASTLE,10,003,DE 
19706,Delaware City,Delaware ,NEW CASTLE,10,003,DE 
19709,Middletown,Delaware ,NEW CASTLE,10,003,DE 
19708,Kirkwood,Delaware ,NEW CASTLE,10,003,DE 
19711,Newark,Delaware ,NEW CASTLE,10,003,DE 
19712,Newark,Delaware ,NEW CASTLE,10,003,DE 
19716,Newark,Delaware ,NEW CASTLE,10,003,DE 
19717,Newark,Delaware ,NEW CASTLE,10,003,DE 
19714,Newark,Delaware ,NEW CASTLE,10,003,DE 
19715,Newark,Delaware ,NEW CASTLE,10,003,DE 
19713,Newark,Delaware ,NEW CASTLE,10,003,DE 
19718,Newark,Delaware ,NEW CASTLE,10,003,DE 
19720,New Castle,Delaware ,NEW CASTLE,10,003,DE 
19721,New Castle,Delaware ,NEW CASTLE,10,003,DE 
19725,Newark,Delaware ,NEW CASTLE,10,003,DE 
19730,Odessa,Delaware ,NEW CASTLE,10,003,DE 
19726,New Castle,Delaware ,NEW CASTLE,10,003,DE 
19731,Port Penn,Delaware ,NEW CASTLE,10,003,DE 
19732,Rockland,Delaware ,NEW CASTLE,10,003,DE 
19733,Saint Georges,Delaware ,NEW CASTLE,10,003,DE 
19734,Townsend,Delaware ,NEW CASTLE,10,003,DE 
19801,Wilmington,Delaware ,NEW CASTLE,10,003,DE 
19735,Winterthur,Delaware ,NEW CASTLE,10,003,DE 
19804,Wilmington,Delaware ,NEW CASTLE,10,003,DE 
19802,Wilmington,Delaware ,NEW CASTLE,10,003,DE 
19736,Yorklyn,Delaware ,NEW CASTLE,10,003,DE 
19803,Wilmington,Delaware ,NEW CASTLE,10,003,DE 
19805,Wilmington,Delaware ,NEW CASTLE,10,003,DE 
19806,Wilmington,Delaware ,NEW CASTLE,10,003,DE 
19807,Wilmington,Delaware ,NEW CASTLE,10,003,DE 
19808,Wilmington,Delaware ,NEW CASTLE,10,003,DE 
19850,Wilmington,Delaware ,NEW CASTLE,10,003,DE 
19810,Wilmington,Delaware ,NEW CASTLE,10,003,DE 
19809,Wilmington,Delaware ,NEW CASTLE,10,003,DE 
19884,Wilmington,Delaware ,NEW CASTLE,10,003,DE 
19880,Wilmington,Delaware ,NEW CASTLE,10,003,DE 
