32009,Bryceville,Florida ,NASSAU,12,089,FL 
32008,Branford,Florida ,SUWANNEE,12,121,FL 
32003,Fleming Island,Florida ,CLAY,12,019,FL 
32007,Bostwick,Florida ,PUTNAM,12,107,FL 
32004,Ponte Vedra Beach,Florida ,SAINT JOHNS,12,109,FL 
32013,Day,Florida ,LAFAYETTE,12,067,FL 
32011,Callahan,Florida ,NASSAU,12,089,FL 
32006,Fleming Island,Florida ,CLAY,12,019,FL 
32035,Fernandina Beach,Florida ,NASSAU,12,089,FL 
32025,Lake City,Florida ,COLUMBIA,12,023,FL 
32034,Fernandina Beach,Florida ,NASSAU,12,089,FL 
32033,Elkton,Florida ,SAINT JOHNS,12,109,FL 
32030,Doctors Inlet,Florida ,CLAY,12,019,FL 
32038,Fort White,Florida ,COLUMBIA,12,023,FL 
32024,Lake City,Florida ,COLUMBIA,12,023,FL 
32040,Glen Saint Mary,Florida ,BAKER,12,003,FL 
32041,Yulee,Florida ,NASSAU,12,089,FL 
32042,Graham,Florida ,BRADFORD,12,007,FL 
32050,Middleburg,Florida ,CLAY,12,019,FL 
32044,Hampton,Florida ,BRADFORD,12,007,FL 
32052,Jasper,Florida ,HAMILTON,12,047,FL 
32043,Green Cove Springs,Florida ,CLAY,12,019,FL 
32046,Hilliard,Florida ,NASSAU,12,089,FL 
32053,Jennings,Florida ,HAMILTON,12,047,FL 
32054,Lake Butler,Florida ,UNION,12,125,FL 
32055,Lake City,Florida ,COLUMBIA,12,023,FL 
32058,Lawtey,Florida ,BRADFORD,12,007,FL 
32060,Live Oak,Florida ,SUWANNEE,12,121,FL 
32062,Mc Alpin,Florida ,SUWANNEE,12,121,FL 
32059,Lee,Florida ,MADISON,12,079,FL 
32061,Lulu,Florida ,COLUMBIA,12,023,FL 
32056,Lake City,Florida ,COLUMBIA,12,023,FL 
32063,Macclenny,Florida ,BAKER,12,003,FL 
32064,Live Oak,Florida ,SUWANNEE,12,121,FL 
32067,Orange Park,Florida ,CLAY,12,019,FL 
32068,Middleburg,Florida ,CLAY,12,019,FL 
32065,Orange Park,Florida ,CLAY,12,019,FL 
32066,Mayo,Florida ,LAFAYETTE,12,067,FL 
32071,O Brien,Florida ,SUWANNEE,12,121,FL 
32079,Penney Farms,Florida ,CLAY,12,019,FL 
32073,Orange Park,Florida ,CLAY,12,019,FL 
32080,Saint Augustine,Florida ,SAINT JOHNS,12,109,FL 
32084,Saint Augustine,Florida ,SAINT JOHNS,12,109,FL 
32082,Ponte Vedra Beach,Florida ,SAINT JOHNS,12,109,FL 
32086,Saint Augustine,Florida ,SAINT JOHNS,12,109,FL 
32087,Sanderson,Florida ,BAKER,12,003,FL 
32081,Ponte Vedra,Florida ,SAINT JOHNS,12,109,FL 
32085,Saint Augustine,Florida ,SAINT JOHNS,12,109,FL 
32083,Raiford,Florida ,UNION,12,125,FL 
32091,Starke,Florida ,BRADFORD,12,007,FL 
32092,Saint Augustine,Florida ,SAINT JOHNS,12,109,FL 
32096,White Springs,Florida ,HAMILTON,12,047,FL 
32094,Wellborn,Florida ,SUWANNEE,12,121,FL 
32095,Saint Augustine,Florida ,SAINT JOHNS,12,109,FL 
32097,Yulee,Florida ,NASSAU,12,089,FL 
32102,Astor,Florida ,LAKE,12,069,FL 
32099,Jacksonville,Florida ,DUVAL,12,031,FL 
32105,Barberville,Florida ,VOLUSIA,12,127,FL 
32110,Bunnell,Florida ,FLAGLER,12,035,FL 
32111,Candler,Florida ,MARION,12,083,FL 
32112,Crescent City,Florida ,PUTNAM,12,107,FL 
32114,Daytona Beach,Florida ,VOLUSIA,12,127,FL 
32115,Daytona Beach,Florida ,VOLUSIA,12,127,FL 
32113,Citra,Florida ,MARION,12,083,FL 
32116,Daytona Beach,Florida ,VOLUSIA,12,127,FL 
32117,Daytona Beach,Florida ,VOLUSIA,12,127,FL 
32119,Daytona Beach,Florida ,VOLUSIA,12,127,FL 
32121,Daytona Beach,Florida ,VOLUSIA,12,127,FL 
32122,Daytona Beach,Florida ,VOLUSIA,12,127,FL 
32125,Daytona Beach,Florida ,VOLUSIA,12,127,FL 
32118,Daytona Beach,Florida ,VOLUSIA,12,127,FL 
32120,Daytona Beach,Florida ,VOLUSIA,12,127,FL 
32124,Daytona Beach,Florida ,VOLUSIA,12,127,FL 
32123,Port Orange,Florida ,VOLUSIA,12,127,FL 
32126,Daytona Beach,Florida ,VOLUSIA,12,127,FL 
32129,Port Orange,Florida ,VOLUSIA,12,127,FL 
32127,Port Orange,Florida ,VOLUSIA,12,127,FL 
32131,East Palatka,Florida ,PUTNAM,12,107,FL 
32132,Edgewater,Florida ,VOLUSIA,12,127,FL 
32133,Eastlake Weir,Florida ,MARION,12,083,FL 
32128,Port Orange,Florida ,VOLUSIA,12,127,FL 
32130,De Leon Springs,Florida ,VOLUSIA,12,127,FL 
32134,Fort Mc Coy,Florida ,MARION,12,083,FL 
32135,Palm Coast,Florida ,FLAGLER,12,035,FL 
32139,Georgetown,Florida ,PUTNAM,12,107,FL 
32136,Flagler Beach,Florida ,FLAGLER,12,035,FL 
32141,Edgewater,Florida ,VOLUSIA,12,127,FL 
32138,Grandin,Florida ,PUTNAM,12,107,FL 
