96701,Aiea,Hawaii ,HONOLULU,15,003,HI 
96707,Kapolei,Hawaii ,HONOLULU,15,003,HI 
96703,Anahola,Hawaii ,KAUAI,15,007,HI 
96709,Kapolei,Hawaii ,HONOLULU,15,003,HI 
96704,Captain Cook,Hawaii ,HAWAII,15,001,HI 
96706,Ewa Beach,Hawaii ,HONOLULU,15,003,HI 
96705,Eleele,Hawaii ,KAUAI,15,007,HI 
96708,Haiku,Hawaii ,MAUI,15,009,HI 
96710,Hakalau,Hawaii ,HAWAII,15,001,HI 
96713,Hana,Hawaii ,MAUI,15,009,HI 
96712,Haleiwa,Hawaii ,HONOLULU,15,003,HI 
96716,Hanapepe,Hawaii ,KAUAI,15,007,HI 
96714,Hanalei,Hawaii ,KAUAI,15,007,HI 
96718,Hawaii National Park,Hawaii ,HAWAII,15,001,HI 
96717,Hauula,Hawaii ,HONOLULU,15,003,HI 
96715,Hanamaulu,Hawaii ,KAUAI,15,007,HI 
96719,Hawi,Hawaii ,HAWAII,15,001,HI 
96721,Hilo,Hawaii ,HAWAII,15,001,HI 
96722,Princeville,Hawaii ,KAUAI,15,007,HI 
96720,Hilo,Hawaii ,HAWAII,15,001,HI 
96725,Holualoa,Hawaii ,HAWAII,15,001,HI 
96726,Honaunau,Hawaii ,HAWAII,15,001,HI 
96728,Honomu,Hawaii ,HAWAII,15,001,HI 
96727,Honokaa,Hawaii ,HAWAII,15,001,HI 
96729,Hoolehua,Hawaii ,MAUI,15,009,HI 
96733,Kahului,Hawaii ,MAUI,15,009,HI 
96731,Kahuku,Hawaii ,HONOLULU,15,003,HI 
96732,Kahului,Hawaii ,MAUI,15,009,HI 
96738,Waikoloa,Hawaii ,HAWAII,15,001,HI 
96730,Kaaawa,Hawaii ,HONOLULU,15,003,HI 
96734,Kailua,Hawaii ,HONOLULU,15,003,HI 
96737,Ocean View,Hawaii ,HAWAII,15,001,HI 
96739,Keauhou,Hawaii ,HAWAII,15,001,HI 
96740,Kailua Kona,Hawaii ,HAWAII,15,001,HI 
96741,Kalaheo,Hawaii ,KAUAI,15,007,HI 
96744,Kaneohe,Hawaii ,HONOLULU,15,003,HI 
96743,Kamuela,Hawaii ,HAWAII,15,001,HI 
96746,Kapaa,Hawaii ,KAUAI,15,007,HI 
96745,Kailua Kona,Hawaii ,HAWAII,15,001,HI 
96747,Kaumakani,Hawaii ,KAUAI,15,007,HI 
96742,Kalaupapa,Hawaii ,KALAWAO,15,005,HI 
96749,Keaau,Hawaii ,HAWAII,15,001,HI 
96748,Kaunakakai,Hawaii ,MAUI,15,009,HI 
96751,Kealia,Hawaii ,KAUAI,15,007,HI 
96752,Kekaha,Hawaii ,KAUAI,15,007,HI 
96750,Kealakekua,Hawaii ,HAWAII,15,001,HI 
96754,Kilauea,Hawaii ,KAUAI,15,007,HI 
