83204,Pocatello,Idaho ,BANNOCK,16,005,ID 
83205,Pocatello,Idaho ,BANNOCK,16,005,ID 
83206,Pocatello,Idaho ,BANNOCK,16,005,ID 
83202,Pocatello,Idaho ,BANNOCK,16,005,ID 
83203,Fort Hall,Idaho ,BINGHAM,16,011,ID 
83210,Aberdeen,Idaho ,BINGHAM,16,011,ID 
83201,Pocatello,Idaho ,BANNOCK,16,005,ID 
83209,Pocatello,Idaho ,BANNOCK,16,005,ID 
83211,American Falls,Idaho ,POWER,16,077,ID 
83212,Arbon,Idaho ,POWER,16,077,ID 
83214,Arimo,Idaho ,BANNOCK,16,005,ID 
83220,Bern,Idaho ,BEAR LAKE,16,007,ID 
83218,Basalt,Idaho ,BINGHAM,16,011,ID 
83217,Bancroft,Idaho ,CARIBOU,16,029,ID 
83213,Arco,Idaho ,BUTTE,16,023,ID 
83215,Atomic City,Idaho ,BINGHAM,16,011,ID 
83227,Clayton,Idaho ,CUSTER,16,037,ID 
83223,Bloomington,Idaho ,BEAR LAKE,16,007,ID 
83221,Blackfoot,Idaho ,BINGHAM,16,011,ID 
83229,Cobalt,Idaho ,LEMHI,16,059,ID 
83232,Dayton,Idaho ,FRANKLIN,16,041,ID 
83228,Clifton,Idaho ,FRANKLIN,16,041,ID 
83233,Dingle,Idaho ,BEAR LAKE,16,007,ID 
83226,Challis,Idaho ,CUSTER,16,037,ID 
83234,Downey,Idaho ,BANNOCK,16,005,ID 
83237,Franklin,Idaho ,FRANKLIN,16,041,ID 
83236,Firth,Idaho ,BINGHAM,16,011,ID 
83243,Holbrook,Idaho ,ONEIDA,16,071,ID 
83235,Ellis,Idaho ,CUSTER,16,037,ID 
83241,Grace,Idaho ,CARIBOU,16,029,ID 
83238,Geneva,Idaho ,BEAR LAKE,16,007,ID 
83239,Georgetown,Idaho ,BEAR LAKE,16,007,ID 
83244,Howe,Idaho ,BUTTE,16,023,ID 
83254,Montpelier,Idaho ,BEAR LAKE,16,007,ID 
83245,Inkom,Idaho ,BANNOCK,16,005,ID 
83246,Lava Hot Springs,Idaho ,BANNOCK,16,005,ID 
83252,Malad City,Idaho ,ONEIDA,16,071,ID 
83251,Mackay,Idaho ,CUSTER,16,037,ID 
83250,Mccammon,Idaho ,BANNOCK,16,005,ID 
83253,May,Idaho ,LEMHI,16,059,ID 
83271,Rockland,Idaho ,POWER,16,077,ID 
83262,Pingree,Idaho ,BINGHAM,16,011,ID 
83272,Saint Charles,Idaho ,BEAR LAKE,16,007,ID 
83256,Moreland,Idaho ,BINGHAM,16,011,ID 
83263,Preston,Idaho ,FRANKLIN,16,041,ID 
83261,Paris,Idaho ,BEAR LAKE,16,007,ID 
83255,Moore,Idaho ,BUTTE,16,023,ID 
83274,Shelley,Idaho ,BINGHAM,16,011,ID 
83276,Soda Springs,Idaho ,CARIBOU,16,029,ID 
83278,Stanley,Idaho ,CUSTER,16,037,ID 
83277,Springfield,Idaho ,BINGHAM,16,011,ID 
83281,Swanlake,Idaho ,BANNOCK,16,005,ID 
83286,Weston,Idaho ,FRANKLIN,16,041,ID 
83285,Wayan,Idaho ,CARIBOU,16,029,ID 
83283,Thatcher,Idaho ,FRANKLIN,16,041,ID 
83287,Fish Haven,Idaho ,BEAR LAKE,16,007,ID 
83302,Rogerson,Idaho ,TWIN FALLS,16,083,ID 
83316,Buhl,Idaho ,TWIN FALLS,16,083,ID 
83312,Almo,Idaho ,CASSIA,16,031,ID 
83301,Twin Falls,Idaho ,TWIN FALLS,16,083,ID 
83311,Albion,Idaho ,CASSIA,16,031,ID 
83303,Twin Falls,Idaho ,TWIN FALLS,16,083,ID 
83313,Bellevue,Idaho ,BLAINE,16,013,ID 
83314,Bliss,Idaho ,GOODING,16,047,ID 
83318,Burley,Idaho ,CASSIA,16,031,ID 
83321,Castleford,Idaho ,TWIN FALLS,16,083,ID 
83320,Carey,Idaho ,BLAINE,16,013,ID 
83323,Declo,Idaho ,CASSIA,16,031,ID 
83324,Dietrich,Idaho ,LINCOLN,16,063,ID 
83322,Corral,Idaho ,CAMAS,16,025,ID 
83327,Fairfield,Idaho ,CAMAS,16,025,ID 
83325,Eden,Idaho ,JEROME,16,053,ID 
83330,Gooding,Idaho ,GOODING,16,047,ID 
83333,Hailey,Idaho ,BLAINE,16,013,ID 
83328,Filer,Idaho ,TWIN FALLS,16,083,ID 
83335,Hazelton,Idaho ,JEROME,16,053,ID 
83337,Hill City,Idaho ,CAMAS,16,025,ID 
83332,Hagerman,Idaho ,GOODING,16,047,ID 
83334,Hansen,Idaho ,TWIN FALLS,16,083,ID 
83336,Heyburn,Idaho ,MINIDOKA,16,067,ID 
83341,Kimberly,Idaho ,TWIN FALLS,16,083,ID 
83338,Jerome,Idaho ,JEROME,16,053,ID 
83343,Minidoka,Idaho ,MINIDOKA,16,067,ID 
83344,Murtaugh,Idaho ,TWIN FALLS,16,083,ID 
83347,Paul,Idaho ,MINIDOKA,16,067,ID 
83342,Malta,Idaho ,CASSIA,16,031,ID 
83340,Ketchum,Idaho ,BLAINE,16,013,ID 
83346,Oakley,Idaho ,CASSIA,16,031,ID 
83348,Picabo,Idaho ,BLAINE,16,013,ID 
