60004,Arlington Heights,Illinois ,COOK,17,031,IL 
60008,Rolling Meadows,Illinois ,COOK,17,031,IL 
60005,Arlington Heights,Illinois ,COOK,17,031,IL 
60006,Arlington Heights,Illinois ,COOK,17,031,IL 
60007,Elk Grove Village,Illinois ,COOK,17,031,IL 
60002,Antioch,Illinois ,LAKE,17,097,IL 
60010,Barrington,Illinois ,LAKE,17,097,IL 
60009,Elk Grove Village,Illinois ,COOK,17,031,IL 
60011,Barrington,Illinois ,LAKE,17,097,IL 
60017,Des Plaines,Illinois ,COOK,17,031,IL 
60013,Cary,Illinois ,MCHENRY,17,111,IL 
60018,Des Plaines,Illinois ,COOK,17,031,IL 
60015,Deerfield,Illinois ,LAKE,17,097,IL 
60016,Des Plaines,Illinois ,COOK,17,031,IL 
60014,Crystal Lake,Illinois ,MCHENRY,17,111,IL 
60012,Crystal Lake,Illinois ,MCHENRY,17,111,IL 
60019,Des Plaines,Illinois ,COOK,17,031,IL 
60020,Fox Lake,Illinois ,LAKE,17,097,IL 
60021,Fox River Grove,Illinois ,MCHENRY,17,111,IL 
60030,Grayslake,Illinois ,LAKE,17,097,IL 
60026,Glenview,Illinois ,COOK,17,031,IL 
60025,Glenview,Illinois ,COOK,17,031,IL 
60022,Glencoe,Illinois ,COOK,17,031,IL 
60031,Gurnee,Illinois ,LAKE,17,097,IL 
60029,Golf,Illinois ,COOK,17,031,IL 
60033,Harvard,Illinois ,MCHENRY,17,111,IL 
60038,Palatine,Illinois ,COOK,17,031,IL 
60034,Hebron,Illinois ,MCHENRY,17,111,IL 
60037,Fort Sheridan,Illinois ,LAKE,17,097,IL 
60035,Highland Park,Illinois ,LAKE,17,097,IL 
60039,Crystal Lake,Illinois ,MCHENRY,17,111,IL 
60040,Highwood,Illinois ,LAKE,17,097,IL 
60041,Ingleside,Illinois ,LAKE,17,097,IL 
60042,Island Lake,Illinois ,LAKE,17,097,IL 
60043,Kenilworth,Illinois ,COOK,17,031,IL 
60044,Lake Bluff,Illinois ,LAKE,17,097,IL 
60047,Lake Zurich,Illinois ,LAKE,17,097,IL 
60048,Libertyville,Illinois ,LAKE,17,097,IL 
60046,Lake Villa,Illinois ,LAKE,17,097,IL 
60050,McHenry,Illinois ,MCHENRY,17,111,IL 
60045,Lake Forest,Illinois ,LAKE,17,097,IL 
60051,McHenry,Illinois ,MCHENRY,17,111,IL 
