46001,Alexandria,Indiana ,MADISON,18,095,IN 
46017,Anderson,Indiana ,MADISON,18,095,IN 
46014,Anderson,Indiana ,MADISON,18,095,IN 
46012,Anderson,Indiana ,MADISON,18,095,IN 
46013,Anderson,Indiana ,MADISON,18,095,IN 
46016,Anderson,Indiana ,MADISON,18,095,IN 
46011,Anderson,Indiana ,MADISON,18,095,IN 
46015,Anderson,Indiana ,MADISON,18,095,IN 
46033,Carmel,Indiana ,HAMILTON,18,057,IN 
46032,Carmel,Indiana ,HAMILTON,18,057,IN 
46030,Arcadia,Indiana ,HAMILTON,18,057,IN 
46034,Cicero,Indiana ,HAMILTON,18,057,IN 
46036,Elwood,Indiana ,MADISON,18,095,IN 
46018,Anderson,Indiana ,MADISON,18,095,IN 
46031,Atlanta,Indiana ,HAMILTON,18,057,IN 
46035,Colfax,Indiana ,CLINTON,18,023,IN 
46038,Fishers,Indiana ,HAMILTON,18,057,IN 
46041,Frankfort,Indiana ,CLINTON,18,023,IN 
46040,Fortville,Indiana ,HANCOCK,18,059,IN 
46039,Forest,Indiana ,CLINTON,18,023,IN 
46045,Goldsmith,Indiana ,TIPTON,18,159,IN 
46044,Frankton,Indiana ,MADISON,18,095,IN 
46037,Fishers,Indiana ,HAMILTON,18,057,IN 
46047,Hobbs,Indiana ,TIPTON,18,159,IN 
46049,Kempton,Indiana ,TIPTON,18,159,IN 
46050,Kirklin,Indiana ,CLINTON,18,023,IN 
46048,Ingalls,Indiana ,MADISON,18,095,IN 
46057,Michigantown,Indiana ,CLINTON,18,023,IN 
46056,Markleville,Indiana ,MADISON,18,095,IN 
46055,Mccordsville,Indiana ,HANCOCK,18,059,IN 
46052,Lebanon,Indiana ,BOONE,18,011,IN 
46051,Lapel,Indiana ,MADISON,18,095,IN 
46060,Noblesville,Indiana ,HAMILTON,18,057,IN 
46062,Noblesville,Indiana ,HAMILTON,18,057,IN 
46064,Pendleton,Indiana ,MADISON,18,095,IN 
46061,Noblesville,Indiana ,HAMILTON,18,057,IN 
46065,Rossville,Indiana ,CLINTON,18,023,IN 
46067,Sedalia,Indiana ,CLINTON,18,023,IN 
46058,Mulberry,Indiana ,CLINTON,18,023,IN 
46063,Orestes,Indiana ,MADISON,18,095,IN 
46069,Sheridan,Indiana ,HAMILTON,18,057,IN 
46068,Sharpsville,Indiana ,TIPTON,18,159,IN 
46071,Thorntown,Indiana ,BOONE,18,011,IN 
46070,Summitville,Indiana ,MADISON,18,095,IN 
46072,Tipton,Indiana ,TIPTON,18,159,IN 
46075,Whitestown,Indiana ,BOONE,18,011,IN 
46074,Westfield,Indiana ,HAMILTON,18,057,IN 
46076,Windfall,Indiana ,TIPTON,18,159,IN 
46082,Carmel,Indiana ,HAMILTON,18,057,IN 
46105,Bainbridge,Indiana ,PUTNAM,18,133,IN 
46077,Zionsville,Indiana ,BOONE,18,011,IN 
46104,Arlington,Indiana ,RUSH,18,139,IN 
46102,Advance,Indiana ,BOONE,18,011,IN 
46106,Bargersville,Indiana ,JOHNSON,18,081,IN 
46103,Amo,Indiana ,HENDRICKS,18,063,IN 
46085,Fishers,Indiana ,HAMILTON,18,057,IN 
46113,Camby,Indiana ,MORGAN,18,109,IN 
46115,Carthage,Indiana ,RUSH,18,139,IN 
46107,Beech Grove,Indiana ,MARION,18,097,IN 
46117,Charlottesville,Indiana ,HANCOCK,18,059,IN 
46111,Brooklyn,Indiana ,MORGAN,18,109,IN 
46112,Brownsburg,Indiana ,HENDRICKS,18,063,IN 
46110,Boggstown,Indiana ,SHELBY,18,145,IN 
46118,Clayton,Indiana ,HENDRICKS,18,063,IN 
46120,Cloverdale,Indiana ,PUTNAM,18,133,IN 
46122,Danville,Indiana ,HENDRICKS,18,063,IN 
46123,Avon,Indiana ,HENDRICKS,18,063,IN 
46121,Coatesville,Indiana ,PUTNAM,18,133,IN 
46126,Fairland,Indiana ,SHELBY,18,145,IN 
46125,Eminence,Indiana ,MORGAN,18,109,IN 
46127,Falmouth,Indiana ,RUSH,18,139,IN 
46124,Edinburgh,Indiana ,JOHNSON,18,081,IN 
46129,Finly,Indiana ,HANCOCK,18,059,IN 
46130,Fountaintown,Indiana ,SHELBY,18,145,IN 
46142,Greenwood,Indiana ,JOHNSON,18,081,IN 
46133,Glenwood,Indiana ,FAYETTE,18,041,IN 
46128,Fillmore,Indiana ,PUTNAM,18,133,IN 
46131,Franklin,Indiana ,JOHNSON,18,081,IN 
