50002,Adair,Iowa ,ADAIR,19,001,IA 
50003,Adel,Iowa ,DALLAS,19,049,IA 
50001,Ackworth,Iowa ,WARREN,19,181,IA 
50006,Alden,Iowa ,HARDIN,19,083,IA 
50007,Alleman,Iowa ,POLK,19,153,IA 
50005,Albion,Iowa ,MARSHALL,19,127,IA 
50009,Altoona,Iowa ,POLK,19,153,IA 
50008,Allerton,Iowa ,WAYNE,19,185,IA 
50011,Ames,Iowa ,STORY,19,169,IA 
50013,Ames,Iowa ,STORY,19,169,IA 
50021,Ankeny,Iowa ,POLK,19,153,IA 
50020,Anita,Iowa ,CASS,19,029,IA 
50022,Atlantic,Iowa ,CASS,19,029,IA 
50014,Ames,Iowa ,STORY,19,169,IA 
50012,Ames,Iowa ,STORY,19,169,IA 
50010,Ames,Iowa ,STORY,19,169,IA 
50027,Barnes City,Iowa ,MAHASKA,19,123,IA 
50023,Ankeny,Iowa ,POLK,19,153,IA 
50026,Bagley,Iowa ,GUTHRIE,19,077,IA 
50031,Beaver,Iowa ,BOONE,19,015,IA 
50029,Bayard,Iowa ,GUTHRIE,19,077,IA 
50025,Audubon,Iowa ,AUDUBON,19,009,IA 
50028,Baxter,Iowa ,JASPER,19,099,IA 
50032,Berwick,Iowa ,POLK,19,153,IA 
50033,Bevington,Iowa ,MADISON,19,121,IA 
50034,Blairsburg,Iowa ,HAMILTON,19,079,IA 
50035,Bondurant,Iowa ,POLK,19,153,IA 
50038,Booneville,Iowa ,DALLAS,19,049,IA 
50039,Bouton,Iowa ,DALLAS,19,049,IA 
50036,Boone,Iowa ,BOONE,19,015,IA 
50040,Boxholm,Iowa ,BOONE,19,015,IA 
50037,Boone,Iowa ,BOONE,19,015,IA 
50041,Bradford,Iowa ,FRANKLIN,19,069,IA 
50042,Brayton,Iowa ,AUDUBON,19,009,IA 
50044,Bussey,Iowa ,MARION,19,125,IA 
50048,Casey,Iowa ,GUTHRIE,19,077,IA 
50049,Chariton,Iowa ,LUCAS,19,117,IA 
50047,Carlisle,Iowa ,WARREN,19,181,IA 
50043,Buckeye,Iowa ,HARDIN,19,083,IA 
50046,Cambridge,Iowa ,STORY,19,169,IA 
50050,Churdan,Iowa ,GREENE,19,073,IA 
50051,Clemons,Iowa ,MARSHALL,19,127,IA 
50054,Colfax,Iowa ,JASPER,19,099,IA 
