66002,Atchison,Kansas ,ATCHISON,20,005,KS 
66012,Bonner Springs,Kansas ,WYANDOTTE,20,209,KS 
66013,Bucyrus,Kansas ,MIAMI,20,121,KS 
66010,Blue Mound,Kansas ,LINN,20,107,KS 
66014,Centerville,Kansas ,ANDERSON,20,003,KS 
66007,Basehor,Kansas ,LEAVENWORTH,20,103,KS 
66006,Baldwin City,Kansas ,DOUGLAS,20,045,KS 
66008,Bendena,Kansas ,DONIPHAN,20,043,KS 
66015,Colony,Kansas ,ANDERSON,20,003,KS 
66017,Denton,Kansas ,DONIPHAN,20,043,KS 
66016,Cummings,Kansas ,ATCHISON,20,005,KS 
66021,Edgerton,Kansas ,JOHNSON,20,091,KS 
66020,Easton,Kansas ,LEAVENWORTH,20,103,KS 
66018,De Soto,Kansas ,JOHNSON,20,091,KS 
66023,Effingham,Kansas ,ATCHISON,20,005,KS 
66024,Elwood,Kansas ,DONIPHAN,20,043,KS 
66025,Eudora,Kansas ,DOUGLAS,20,045,KS 
66031,New Century,Kansas ,JOHNSON,20,091,KS 
66027,Fort Leavenworth,Kansas ,LEAVENWORTH,20,103,KS 
66026,Fontana,Kansas ,MIAMI,20,121,KS 
66033,Greeley,Kansas ,ANDERSON,20,003,KS 
66030,Gardner,Kansas ,JOHNSON,20,091,KS 
66035,Highland,Kansas ,DONIPHAN,20,043,KS 
66032,Garnett,Kansas ,ANDERSON,20,003,KS 
66036,Hillsdale,Kansas ,MIAMI,20,121,KS 
66039,Kincaid,Kansas ,ANDERSON,20,003,KS 
66041,Lancaster,Kansas ,ATCHISON,20,005,KS 
66040,La Cygne,Kansas ,LINN,20,107,KS 
66043,Lansing,Kansas ,LEAVENWORTH,20,103,KS 
66042,Lane,Kansas ,FRANKLIN,20,059,KS 
66044,Lawrence,Kansas ,DOUGLAS,20,045,KS 
66045,Lawrence,Kansas ,DOUGLAS,20,045,KS 
66046,Lawrence,Kansas ,DOUGLAS,20,045,KS 
66048,Leavenworth,Kansas ,LEAVENWORTH,20,103,KS 
66047,Lawrence,Kansas ,DOUGLAS,20,045,KS 
66049,Lawrence,Kansas ,DOUGLAS,20,045,KS 
66051,Olathe,Kansas ,JOHNSON,20,091,KS 
66052,Linwood,Kansas ,LEAVENWORTH,20,103,KS 
66050,Lecompton,Kansas ,DOUGLAS,20,045,KS 
66053,Louisburg,Kansas ,MIAMI,20,121,KS 
66054,Mc Louth,Kansas ,JEFFERSON,20,087,KS 
66061,Olathe,Kansas ,JOHNSON,20,091,KS 
66058,Muscotah,Kansas ,ATCHISON,20,005,KS 
66063,Olathe,Kansas ,JOHNSON,20,091,KS 
66060,Nortonville,Kansas ,JEFFERSON,20,087,KS 
66062,Olathe,Kansas ,JOHNSON,20,091,KS 
66066,Oskaloosa,Kansas ,JEFFERSON,20,087,KS 
66064,Osawatomie,Kansas ,MIAMI,20,121,KS 
66056,Mound City,Kansas ,LINN,20,107,KS 
66067,Ottawa,Kansas ,FRANKLIN,20,059,KS 
66071,Paola,Kansas ,MIAMI,20,121,KS 
66070,Ozawkie,Kansas ,JEFFERSON,20,087,KS 
66073,Perry,Kansas ,JEFFERSON,20,087,KS 
66075,Pleasanton,Kansas ,LINN,20,107,KS 
66072,Parker,Kansas ,LINN,20,107,KS 
66076,Pomona,Kansas ,FRANKLIN,20,059,KS 
66078,Princeton,Kansas ,FRANKLIN,20,059,KS 
66080,Richmond,Kansas ,FRANKLIN,20,059,KS 
66090,Wathena,Kansas ,DONIPHAN,20,043,KS 
66086,Tonganoxie,Kansas ,LEAVENWORTH,20,103,KS 
66088,Valley Falls,Kansas ,JEFFERSON,20,087,KS 
66085,Stilwell,Kansas ,JOHNSON,20,091,KS 
66079,Rantoul,Kansas ,FRANKLIN,20,059,KS 
66083,Spring Hill,Kansas ,JOHNSON,20,091,KS 
66087,Troy,Kansas ,DONIPHAN,20,043,KS 
66092,Wellsville,Kansas ,FRANKLIN,20,059,KS 
66091,Welda,Kansas ,ANDERSON,20,003,KS 
66095,Williamsburg,Kansas ,FRANKLIN,20,059,KS 
66097,Winchester,Kansas ,JEFFERSON,20,087,KS 
66093,Westphalia,Kansas ,ANDERSON,20,003,KS 
66101,Kansas City,Kansas ,WYANDOTTE,20,209,KS 
66094,White Cloud,Kansas ,DONIPHAN,20,043,KS 
66102,Kansas City,Kansas ,WYANDOTTE,20,209,KS 
66111,Kansas City,Kansas ,WYANDOTTE,20,209,KS 
66105,Kansas City,Kansas ,WYANDOTTE,20,209,KS 
66103,Kansas City,Kansas ,WYANDOTTE,20,209,KS 
66110,Kansas City,Kansas ,WYANDOTTE,20,209,KS 
66106,Kansas City,Kansas ,WYANDOTTE,20,209,KS 
66109,Kansas City,Kansas ,WYANDOTTE,20,209,KS 
66104,Kansas City,Kansas ,WYANDOTTE,20,209,KS 
66112,Kansas City,Kansas ,WYANDOTTE,20,209,KS 
66113,Edwardsville,Kansas ,WYANDOTTE,20,209,KS 
66117,Kansas City,Kansas ,WYANDOTTE,20,209,KS 
66201,Mission,Kansas ,JOHNSON,20,091,KS 
66115,Kansas City,Kansas ,WYANDOTTE,20,209,KS 
66202,Mission,Kansas ,JOHNSON,20,091,KS 
66160,Kansas City,Kansas ,WYANDOTTE,20,209,KS 
66118,Kansas City,Kansas ,WYANDOTTE,20,209,KS 
66119,Kansas City,Kansas ,WYANDOTTE,20,209,KS 
66203,Shawnee,Kansas ,JOHNSON,20,091,KS 
66204,Overland Park,Kansas ,JOHNSON,20,091,KS 
66209,Leawood,Kansas ,JOHNSON,20,091,KS 
66205,Mission,Kansas ,JOHNSON,20,091,KS 
66206,Leawood,Kansas ,JOHNSON,20,091,KS 
66208,Prairie Village,Kansas ,JOHNSON,20,091,KS 
66207,Overland Park,Kansas ,JOHNSON,20,091,KS 
66210,Overland Park,Kansas ,JOHNSON,20,091,KS 
66214,Overland Park,Kansas ,JOHNSON,20,091,KS 
66218,Shawnee,Kansas ,JOHNSON,20,091,KS 
66212,Overland Park,Kansas ,JOHNSON,20,091,KS 
66215,Lenexa,Kansas ,JOHNSON,20,091,KS 
66217,Shawnee,Kansas ,JOHNSON,20,091,KS 
66216,Shawnee,Kansas ,JOHNSON,20,091,KS 
66211,Leawood,Kansas ,JOHNSON,20,091,KS 
66213,Overland Park,Kansas ,JOHNSON,20,091,KS 
66219,Lenexa,Kansas ,JOHNSON,20,091,KS 
66224,Overland Park,Kansas ,JOHNSON,20,091,KS 
66220,Lenexa,Kansas ,JOHNSON,20,091,KS 
66223,Overland Park,Kansas ,JOHNSON,20,091,KS 
66221,Overland Park,Kansas ,JOHNSON,20,091,KS 
66225,Overland Park,Kansas ,JOHNSON,20,091,KS 
66222,Mission,Kansas ,JOHNSON,20,091,KS 
66226,Shawnee,Kansas ,JOHNSON,20,091,KS 
66227,Lenexa,Kansas ,JOHNSON,20,091,KS 
66250,Lenexa,Kansas ,JOHNSON,20,091,KS 
66251,Overland Park,Kansas ,JOHNSON,20,091,KS 
66282,Overland Park,Kansas ,JOHNSON,20,091,KS 
66283,Overland Park,Kansas ,JOHNSON,20,091,KS 
66276,Lenexa,Kansas ,JOHNSON,20,091,KS 
66285,Lenexa,Kansas ,JOHNSON,20,091,KS 
66401,Alma,Kansas ,WABAUNSEE,20,197,KS 
66286,Shawnee,Kansas ,JOHNSON,20,091,KS 
66402,Auburn,Kansas ,SHAWNEE,20,177,KS 
66403,Axtell,Kansas ,MARSHALL,20,117,KS 
66408,Bern,Kansas ,NEMAHA,20,131,KS 
66404,Baileyville,Kansas ,NEMAHA,20,131,KS 
66407,Belvue,Kansas ,POTTAWATOMIE,20,149,KS 
66406,Beattie,Kansas ,MARSHALL,20,117,KS 
66409,Berryton,Kansas ,SHAWNEE,20,177,KS 
66411,Blue Rapids,Kansas ,MARSHALL,20,117,KS 
66412,Bremen,Kansas ,MARSHALL,20,117,KS 
66415,Centralia,Kansas ,NEMAHA,20,131,KS 
66418,Delia,Kansas ,JACKSON,20,085,KS 
66414,Carbondale,Kansas ,OSAGE,20,139,KS 
66413,Burlingame,Kansas ,OSAGE,20,139,KS 
66420,Dover,Kansas ,SHAWNEE,20,177,KS 
66417,Corning,Kansas ,NEMAHA,20,131,KS 
66419,Denison,Kansas ,JACKSON,20,085,KS 
66416,Circleville,Kansas ,JACKSON,20,085,KS 
66422,Emmett,Kansas ,POTTAWATOMIE,20,149,KS 
66424,Everest,Kansas ,BROWN,20,013,KS 
66426,Fostoria,Kansas ,POTTAWATOMIE,20,149,KS 
66423,Eskridge,Kansas ,WABAUNSEE,20,197,KS 
66428,Goff,Kansas ,NEMAHA,20,131,KS 
66425,Fairview,Kansas ,BROWN,20,013,KS 
66427,Frankfort,Kansas ,MARSHALL,20,117,KS 
66429,Grantville,Kansas ,JEFFERSON,20,087,KS 
66431,Harveyville,Kansas ,WABAUNSEE,20,197,KS 
66432,Havensville,Kansas ,POTTAWATOMIE,20,149,KS 
66440,Hoyt,Kansas ,JACKSON,20,085,KS 
66436,Holton,Kansas ,JACKSON,20,085,KS 
66438,Home,Kansas ,MARSHALL,20,117,KS 
66439,Horton,Kansas ,BROWN,20,013,KS 
66434,Hiawatha,Kansas ,BROWN,20,013,KS 
66441,Junction City,Kansas ,GEARY,20,061,KS 
66449,Leonardville,Kansas ,RILEY,20,161,KS 
66442,Fort Riley,Kansas ,GEARY,20,061,KS 
66502,Manhattan,Kansas ,RILEY,20,161,KS 
66503,Manhattan,Kansas ,RILEY,20,161,KS 
66506,Manhattan,Kansas ,RILEY,20,161,KS 
66451,Lyndon,Kansas ,OSAGE,20,139,KS 
66501,Mc Farland,Kansas ,WABAUNSEE,20,197,KS 
66505,Manhattan,Kansas ,RILEY,20,161,KS 
66508,Marysville,Kansas ,MARSHALL,20,117,KS 
66507,Maple Hill,Kansas ,WABAUNSEE,20,197,KS 
66509,Mayetta,Kansas ,JACKSON,20,085,KS 
66512,Meriden,Kansas ,JEFFERSON,20,087,KS 
66515,Morrill,Kansas ,BROWN,20,013,KS 
66517,Ogden,Kansas ,RILEY,20,161,KS 
66510,Melvern,Kansas ,OSAGE,20,139,KS 
66516,Netawaka,Kansas ,JACKSON,20,085,KS 
66518,Oketo,Kansas ,MARSHALL,20,117,KS 
66514,Milford,Kansas ,GEARY,20,061,KS 
66520,Olsburg,Kansas ,POTTAWATOMIE,20,149,KS 
66521,Onaga,Kansas ,POTTAWATOMIE,20,149,KS 
66522,Oneida,Kansas ,NEMAHA,20,131,KS 
66526,Paxico,Kansas ,WABAUNSEE,20,197,KS 
66528,Quenemo,Kansas ,OSAGE,20,139,KS 
66527,Powhattan,Kansas ,BROWN,20,013,KS 
66524,Overbrook,Kansas ,OSAGE,20,139,KS 
66523,Osage City,Kansas ,OSAGE,20,139,KS 
66531,Riley,Kansas ,RILEY,20,161,KS 
66532,Robinson,Kansas ,BROWN,20,013,KS 
66533,Rossville,Kansas ,SHAWNEE,20,177,KS 
66537,Scranton,Kansas ,OSAGE,20,139,KS 
66535,Saint George,Kansas ,POTTAWATOMIE,20,149,KS 
66536,Saint Marys,Kansas ,POTTAWATOMIE,20,149,KS 
66538,Seneca,Kansas ,NEMAHA,20,131,KS 
66539,Silver Lake,Kansas ,SHAWNEE,20,177,KS 
66540,Soldier,Kansas ,JACKSON,20,085,KS 
66541,Summerfield,Kansas ,MARSHALL,20,117,KS 
66534,Sabetha,Kansas ,NEMAHA,20,131,KS 
66542,Tecumseh,Kansas ,SHAWNEE,20,177,KS 
66544,Vermillion,Kansas ,MARSHALL,20,117,KS 
66547,Wamego,Kansas ,POTTAWATOMIE,20,149,KS 
66546,Wakarusa,Kansas ,SHAWNEE,20,177,KS 
