40003,Bagdad,Kentucky ,SHELBY,21,211,KY 
40008,Bloomfield,Kentucky ,NELSON,21,179,KY 
40004,Bardstown,Kentucky ,NELSON,21,179,KY 
40010,Buckner,Kentucky ,OLDHAM,21,185,KY 
40006,Bedford,Kentucky ,TRIMBLE,21,223,KY 
40011,Campbellsburg,Kentucky ,HENRY,21,103,KY 
40009,Bradfordsville,Kentucky ,MARION,21,155,KY 
40007,Bethlehem,Kentucky ,HENRY,21,103,KY 
40012,Chaplin,Kentucky ,NELSON,21,179,KY 
40019,Eminence,Kentucky ,HENRY,21,103,KY 
40014,Crestwood,Kentucky ,OLDHAM,21,185,KY 
40013,Coxs Creek,Kentucky ,NELSON,21,179,KY 
40020,Fairfield,Kentucky ,NELSON,21,179,KY 
40022,Finchville,Kentucky ,SHELBY,21,211,KY 
40018,Eastwood,Kentucky ,JEFFERSON,21,111,KY 
40023,Fisherville,Kentucky ,JEFFERSON,21,111,KY 
40025,Glenview,Kentucky ,JEFFERSON,21,111,KY 
40026,Goshen,Kentucky ,OLDHAM,21,185,KY 
40027,Harrods Creek,Kentucky ,JEFFERSON,21,111,KY 
40036,Lockport,Kentucky ,HENRY,21,103,KY 
40033,Lebanon,Kentucky ,MARION,21,155,KY 
40032,La Grange,Kentucky ,OLDHAM,21,185,KY 
40031,La Grange,Kentucky ,OLDHAM,21,185,KY 
40037,Loretto,Kentucky ,MARION,21,155,KY 
40040,Mackville,Kentucky ,WASHINGTON,21,229,KY 
40041,Masonic Home,Kentucky ,JEFFERSON,21,111,KY 
40045,Milton,Kentucky ,TRIMBLE,21,223,KY 
40046,Mount Eden,Kentucky ,SPENCER,21,215,KY 
40051,New Haven,Kentucky ,NELSON,21,179,KY 
40047,Mount Washington,Kentucky ,BULLITT,21,029,KY 
40048,Nazareth,Kentucky ,NELSON,21,179,KY 
40049,Nerinx,Kentucky ,MARION,21,155,KY 
40050,New Castle,Kentucky ,HENRY,21,103,KY 
40055,Pendleton,Kentucky ,HENRY,21,103,KY 
40052,New Hope,Kentucky ,NELSON,21,179,KY 
40056,Pewee Valley,Kentucky ,OLDHAM,21,185,KY 
40058,Port Royal,Kentucky ,HENRY,21,103,KY 
40061,Saint Catharine,Kentucky ,WASHINGTON,21,229,KY 
40057,Pleasureville,Kentucky ,HENRY,21,103,KY 
40060,Raywick,Kentucky ,MARION,21,155,KY 
40059,Prospect,Kentucky ,JEFFERSON,21,111,KY 
40062,Saint Francis,Kentucky ,MARION,21,155,KY 
40063,Saint Mary,Kentucky ,MARION,21,155,KY 
40065,Shelbyville,Kentucky ,SHELBY,21,211,KY 
40068,Smithfield,Kentucky ,HENRY,21,103,KY 
40070,Sulphur,Kentucky ,HENRY,21,103,KY 
40066,Shelbyville,Kentucky ,SHELBY,21,211,KY 
40067,Simpsonville,Kentucky ,SHELBY,21,211,KY 
40069,Springfield,Kentucky ,WASHINGTON,21,229,KY 
40076,Waddy,Kentucky ,SHELBY,21,211,KY 
40075,Turners Station,Kentucky ,HENRY,21,103,KY 
40071,Taylorsville,Kentucky ,SPENCER,21,215,KY 
40077,Westport,Kentucky ,OLDHAM,21,185,KY 
40108,Brandenburg,Kentucky ,MEADE,21,163,KY 
40104,Battletown,Kentucky ,MEADE,21,163,KY 
40109,Brooks,Kentucky ,BULLITT,21,029,KY 
40110,Clermont,Kentucky ,BULLITT,21,029,KY 
40111,Cloverport,Kentucky ,BRECKINRIDGE,21,027,KY 
40078,Willisburg,Kentucky ,WASHINGTON,21,229,KY 
40115,Custer,Kentucky ,BRECKINRIDGE,21,027,KY 
40107,Boston,Kentucky ,NELSON,21,179,KY 
40118,Fairdale,Kentucky ,JEFFERSON,21,111,KY 
40117,Ekron,Kentucky ,MEADE,21,163,KY 
40119,Falls Of Rough,Kentucky ,GRAYSON,21,085,KY 
40122,Fort Knox,Kentucky ,HARDIN,21,093,KY 
40121,Fort Knox,Kentucky ,HARDIN,21,093,KY 
40129,Hillview,Kentucky ,BULLITT,21,029,KY 
40140,Garfield,Kentucky ,BRECKINRIDGE,21,027,KY 
40142,Guston,Kentucky ,MEADE,21,163,KY 
40145,Hudson,Kentucky ,BRECKINRIDGE,21,027,KY 
40146,Irvington,Kentucky ,BRECKINRIDGE,21,027,KY 
40144,Harned,Kentucky ,BRECKINRIDGE,21,027,KY 
40150,Lebanon Junction,Kentucky ,BULLITT,21,029,KY 
40143,Hardinsburg,Kentucky ,BRECKINRIDGE,21,027,KY 
40152,Mc Daniels,Kentucky ,BRECKINRIDGE,21,027,KY 
40153,Mc Quady,Kentucky ,BRECKINRIDGE,21,027,KY 
40155,Muldraugh,Kentucky ,MEADE,21,163,KY 
40160,Radcliff,Kentucky ,HARDIN,21,093,KY 
40166,Shepherdsville,Kentucky ,BULLITT,21,029,KY 
40157,Payneville,Kentucky ,MEADE,21,163,KY 
40165,Shepherdsville,Kentucky ,BULLITT,21,029,KY 
40170,Stephensport,Kentucky ,BRECKINRIDGE,21,027,KY 
40161,Rhodelia,Kentucky ,MEADE,21,163,KY 
40162,Rineyville,Kentucky ,HARDIN,21,093,KY 
40159,Radcliff,Kentucky ,HARDIN,21,093,KY 
40176,Webster,Kentucky ,BRECKINRIDGE,21,027,KY 
40171,Union Star,Kentucky ,BRECKINRIDGE,21,027,KY 
40175,Vine Grove,Kentucky ,HARDIN,21,093,KY 
40201,Louisville,Kentucky ,JEFFERSON,21,111,KY 
