70002,Metairie,Louisiana ,JEFFERSON,22,051,LA 
70004,Metairie,Louisiana ,JEFFERSON,22,051,LA 
70009,Metairie,Louisiana ,JEFFERSON,22,051,LA 
70003,Metairie,Louisiana ,JEFFERSON,22,051,LA 
70001,Metairie,Louisiana ,JEFFERSON,22,051,LA 
70005,Metairie,Louisiana ,JEFFERSON,22,051,LA 
70006,Metairie,Louisiana ,JEFFERSON,22,051,LA 
70010,Metairie,Louisiana ,JEFFERSON,22,051,LA 
70011,Metairie,Louisiana ,JEFFERSON,22,051,LA 
70031,Ama,Louisiana ,SAINT CHARLES,22,089,LA 
70037,Belle Chasse,Louisiana ,PLAQUEMINES,22,075,LA 
70038,Boothville,Louisiana ,PLAQUEMINES,22,075,LA 
70030,Des Allemands,Louisiana ,SAINT CHARLES,22,089,LA 
70036,Barataria,Louisiana ,JEFFERSON,22,051,LA 
70033,Metairie,Louisiana ,JEFFERSON,22,051,LA 
70032,Arabi,Louisiana ,SAINT BERNARD,22,087,LA 
70039,Boutte,Louisiana ,SAINT CHARLES,22,089,LA 
70041,Buras,Louisiana ,PLAQUEMINES,22,075,LA 
70040,Braithwaite,Louisiana ,PLAQUEMINES,22,075,LA 
70049,Edgard,Louisiana ,ST JOHN THE BAPTIST,22,095,LA 
70044,Chalmette,Louisiana ,SAINT BERNARD,22,087,LA 
70043,Chalmette,Louisiana ,SAINT BERNARD,22,087,LA 
70047,Destrehan,Louisiana ,SAINT CHARLES,22,089,LA 
70050,Empire,Louisiana ,PLAQUEMINES,22,075,LA 
70051,Garyville,Louisiana ,ST JOHN THE BAPTIST,22,095,LA 
70053,Gretna,Louisiana ,JEFFERSON,22,051,LA 
70052,Gramercy,Louisiana ,SAINT JAMES,22,093,LA 
70055,Metairie,Louisiana ,JEFFERSON,22,051,LA 
70056,Gretna,Louisiana ,JEFFERSON,22,051,LA 
70054,Gretna,Louisiana ,JEFFERSON,22,051,LA 
70058,Harvey,Louisiana ,JEFFERSON,22,051,LA 
70057,Hahnville,Louisiana ,SAINT CHARLES,22,089,LA 
70059,Harvey,Louisiana ,JEFFERSON,22,051,LA 
70060,Metairie,Louisiana ,JEFFERSON,22,051,LA 
70062,Kenner,Louisiana ,JEFFERSON,22,051,LA 
70064,Kenner,Louisiana ,JEFFERSON,22,051,LA 
70065,Kenner,Louisiana ,JEFFERSON,22,051,LA 
70068,La Place,Louisiana ,ST JOHN THE BAPTIST,22,095,LA 
70063,Kenner,Louisiana ,JEFFERSON,22,051,LA 
70067,Lafitte,Louisiana ,JEFFERSON,22,051,LA 
70069,La Place,Louisiana ,ST JOHN THE BAPTIST,22,095,LA 
70071,Lutcher,Louisiana ,SAINT JAMES,22,093,LA 
70070,Luling,Louisiana ,SAINT CHARLES,22,089,LA 
70075,Meraux,Louisiana ,SAINT BERNARD,22,087,LA 
70078,New Sarpy,Louisiana ,SAINT CHARLES,22,089,LA 
70076,Mount Airy,Louisiana ,ST JOHN THE BAPTIST,22,095,LA 
70072,Marrero,Louisiana ,JEFFERSON,22,051,LA 
70079,Norco,Louisiana ,SAINT CHARLES,22,089,LA 
70073,Marrero,Louisiana ,JEFFERSON,22,051,LA 
70080,Paradis,Louisiana ,SAINT CHARLES,22,089,LA 
70081,Pilottown,Louisiana ,PLAQUEMINES,22,075,LA 
70084,Reserve,Louisiana ,ST JOHN THE BAPTIST,22,095,LA 
70082,Pointe A La Hache,Louisiana ,PLAQUEMINES,22,075,LA 
70083,Port Sulphur,Louisiana ,PLAQUEMINES,22,075,LA 
70086,Saint James,Louisiana ,SAINT JAMES,22,093,LA 
70085,Saint Bernard,Louisiana ,SAINT BERNARD,22,087,LA 
70087,Saint Rose,Louisiana ,SAINT CHARLES,22,089,LA 
70090,Vacherie,Louisiana ,SAINT JAMES,22,093,LA 
70091,Venice,Louisiana ,PLAQUEMINES,22,075,LA 
70092,Violet,Louisiana ,SAINT BERNARD,22,087,LA 
70112,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70096,Westwego,Louisiana ,JEFFERSON,22,051,LA 
70094,Westwego,Louisiana ,JEFFERSON,22,051,LA 
70113,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70097,Kenner,Louisiana ,JEFFERSON,22,051,LA 
70093,Belle Chasse,Louisiana ,PLAQUEMINES,22,075,LA 
70114,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70115,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70116,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70123,New Orleans,Louisiana ,JEFFERSON,22,051,LA 
70117,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70121,New Orleans,Louisiana ,JEFFERSON,22,051,LA 
70118,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70122,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70124,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70119,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70125,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70129,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70127,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70128,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70126,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70130,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70131,New Orleans,Louisiana ,ORLEANS,22,071,LA 
70139,New Orleans,Louisiana ,ORLEANS,22,071,LA 
