03907,Ogunquit,Maine ,YORK,23,031,ME 
03903,Eliot,Maine ,YORK,23,031,ME 
03901,Berwick,Maine ,YORK,23,031,ME 
03902,Cape Neddick,Maine ,YORK,23,031,ME 
03905,Kittery Point,Maine ,YORK,23,031,ME 
03904,Kittery,Maine ,YORK,23,031,ME 
03908,South Berwick,Maine ,YORK,23,031,ME 
03906,North Berwick,Maine ,YORK,23,031,ME 
03909,York,Maine ,YORK,23,031,ME 
03911,York Harbor,Maine ,YORK,23,031,ME 
04004,Bar Mills,Maine ,YORK,23,031,ME 
04005,Biddeford,Maine ,YORK,23,031,ME 
03910,York Beach,Maine ,YORK,23,031,ME 
04002,Alfred,Maine ,YORK,23,031,ME 
04003,Bailey Island,Maine ,CUMBERLAND,23,005,ME 
04001,Acton,Maine ,YORK,23,031,ME 
04007,Biddeford,Maine ,YORK,23,031,ME 
04008,Bowdoinham,Maine ,SAGADAHOC,23,023,ME 
04009,Bridgton,Maine ,CUMBERLAND,23,005,ME 
04010,Brownfield,Maine ,OXFORD,23,017,ME 
04006,Biddeford Pool,Maine ,YORK,23,031,ME 
04011,Brunswick,Maine ,CUMBERLAND,23,005,ME 
04013,Bustins Island,Maine ,CUMBERLAND,23,005,ME 
04014,Cape Porpoise,Maine ,YORK,23,031,ME 
04016,Center Lovell,Maine ,OXFORD,23,017,ME 
04017,Chebeague Island,Maine ,CUMBERLAND,23,005,ME 
04015,Casco,Maine ,CUMBERLAND,23,005,ME 
04019,Cliff Island,Maine ,CUMBERLAND,23,005,ME 
04020,Cornish,Maine ,YORK,23,031,ME 
04021,Cumberland Center,Maine ,CUMBERLAND,23,005,ME 
04022,Denmark,Maine ,OXFORD,23,017,ME 
04024,East Baldwin,Maine ,CUMBERLAND,23,005,ME 
04029,Sebago,Maine ,CUMBERLAND,23,005,ME 
04028,East Parsonsfield,Maine ,YORK,23,031,ME 
04027,Lebanon,Maine ,YORK,23,031,ME 
04030,East Waterboro,Maine ,YORK,23,031,ME 
04032,Freeport,Maine ,CUMBERLAND,23,005,ME 
04034,Freeport,Maine ,CUMBERLAND,23,005,ME 
04033,Freeport,Maine ,CUMBERLAND,23,005,ME 
