01002,Amherst,Massachusetts ,HAMPSHIRE,25,015,MA 
01007,Belchertown,Massachusetts ,HAMPSHIRE,25,015,MA 
01005,Barre,Massachusetts ,WORCESTER,25,027,MA 
01004,Amherst,Massachusetts ,HAMPSHIRE,25,015,MA 
01009,Bondsville,Massachusetts ,HAMPDEN,25,013,MA 
01003,Amherst,Massachusetts ,HAMPSHIRE,25,015,MA 
01008,Blandford,Massachusetts ,HAMPDEN,25,013,MA 
01001,Agawam,Massachusetts ,HAMPDEN,25,013,MA 
01014,Chicopee,Massachusetts ,HAMPDEN,25,013,MA 
01011,Chester,Massachusetts ,HAMPDEN,25,013,MA 
01021,Chicopee,Massachusetts ,HAMPDEN,25,013,MA 
01013,Chicopee,Massachusetts ,HAMPDEN,25,013,MA 
01020,Chicopee,Massachusetts ,HAMPDEN,25,013,MA 
01010,Brimfield,Massachusetts ,HAMPDEN,25,013,MA 
01012,Chesterfield,Massachusetts ,HAMPSHIRE,25,015,MA 
01022,Chicopee,Massachusetts ,HAMPDEN,25,013,MA 
01027,Easthampton,Massachusetts ,HAMPSHIRE,25,015,MA 
01031,Gilbertville,Massachusetts ,WORCESTER,25,027,MA 
01028,East Longmeadow,Massachusetts ,HAMPDEN,25,013,MA 
01033,Granby,Massachusetts ,HAMPSHIRE,25,015,MA 
01029,East Otis,Massachusetts ,BERKSHIRE,25,003,MA 
01030,Feeding Hills,Massachusetts ,HAMPDEN,25,013,MA 
01032,Goshen,Massachusetts ,HAMPSHIRE,25,015,MA 
01026,Cummington,Massachusetts ,HAMPSHIRE,25,015,MA 
01034,Granville,Massachusetts ,HAMPDEN,25,013,MA 
01040,Holyoke,Massachusetts ,HAMPDEN,25,013,MA 
01039,Haydenville,Massachusetts ,HAMPSHIRE,25,015,MA 
01037,Hardwick,Massachusetts ,WORCESTER,25,027,MA 
01036,Hampden,Massachusetts ,HAMPDEN,25,013,MA 
01038,Hatfield,Massachusetts ,HAMPSHIRE,25,015,MA 
01035,Hadley,Massachusetts ,HAMPSHIRE,25,015,MA 
01041,Holyoke,Massachusetts ,HAMPDEN,25,013,MA 
01050,Huntington,Massachusetts ,HAMPSHIRE,25,015,MA 
01053,Leeds,Massachusetts ,HAMPSHIRE,25,015,MA 
01059,North Amherst,Massachusetts ,HAMPSHIRE,25,015,MA 
01056,Ludlow,Massachusetts ,HAMPDEN,25,013,MA 
01060,Northampton,Massachusetts ,HAMPSHIRE,25,015,MA 
01057,Monson,Massachusetts ,HAMPDEN,25,013,MA 
01061,Northampton,Massachusetts ,HAMPSHIRE,25,015,MA 
01054,Leverett,Massachusetts ,FRANKLIN,25,011,MA 
01062,Florence,Massachusetts ,HAMPSHIRE,25,015,MA 
01062,Florence,Massachusetts ,HAMPSHIRE,25,015,MA 
01063,Northampton,Massachusetts ,HAMPSHIRE,25,015,MA 
01066,North Hatfield,Massachusetts ,HAMPSHIRE,25,015,MA 
01069,Palmer,Massachusetts ,HAMPDEN,25,013,MA 
01071,Russell,Massachusetts ,HAMPDEN,25,013,MA 
01070,Plainfield,Massachusetts ,HAMPSHIRE,25,015,MA 
01072,Shutesbury,Massachusetts ,FRANKLIN,25,011,MA 
01068,Oakham,Massachusetts ,WORCESTER,25,027,MA 
01073,Southampton,Massachusetts ,HAMPSHIRE,25,015,MA 
01075,South Hadley,Massachusetts ,HAMPSHIRE,25,015,MA 
01074,South Barre,Massachusetts ,WORCESTER,25,027,MA 
01082,Ware,Massachusetts ,HAMPSHIRE,25,015,MA 
01079,Thorndike,Massachusetts ,HAMPDEN,25,013,MA 
01081,Wales,Massachusetts ,HAMPDEN,25,013,MA 
01080,Three Rivers,Massachusetts ,HAMPDEN,25,013,MA 
01077,Southwick,Massachusetts ,HAMPDEN,25,013,MA 
01083,Warren,Massachusetts ,WORCESTER,25,027,MA 
01085,Westfield,Massachusetts ,HAMPDEN,25,013,MA 
01084,West Chesterfield,Massachusetts ,HAMPSHIRE,25,015,MA 
01090,West Springfield,Massachusetts ,HAMPDEN,25,013,MA 
01086,Westfield,Massachusetts ,HAMPDEN,25,013,MA 
01089,West Springfield,Massachusetts ,HAMPDEN,25,013,MA 
01092,West Warren,Massachusetts ,WORCESTER,25,027,MA 
01088,West Hatfield,Massachusetts ,HAMPSHIRE,25,015,MA 
01095,Wilbraham,Massachusetts ,HAMPDEN,25,013,MA 
01093,Whately,Massachusetts ,FRANKLIN,25,011,MA 
01094,Wheelwright,Massachusetts ,WORCESTER,25,027,MA 
01096,Williamsburg,Massachusetts ,HAMPSHIRE,25,015,MA 
01098,Worthington,Massachusetts ,HAMPSHIRE,25,015,MA 
01102,Springfield,Massachusetts ,HAMPDEN,25,013,MA 
01105,Springfield,Massachusetts ,HAMPDEN,25,013,MA 
01097,Woronoco,Massachusetts ,HAMPDEN,25,013,MA 
01103,Springfield,Massachusetts ,HAMPDEN,25,013,MA 
01101,Springfield,Massachusetts ,HAMPDEN,25,013,MA 
01104,Springfield,Massachusetts ,HAMPDEN,25,013,MA 
01107,Springfield,Massachusetts ,HAMPDEN,25,013,MA 
01108,Springfield,Massachusetts ,HAMPDEN,25,013,MA 
01118,Springfield,Massachusetts ,HAMPDEN,25,013,MA 
01109,Springfield,Massachusetts ,HAMPDEN,25,013,MA 
01115,Springfield,Massachusetts ,HAMPDEN,25,013,MA 
01111,Springfield,Massachusetts ,HAMPDEN,25,013,MA 
01106,Longmeadow,Massachusetts ,HAMPDEN,25,013,MA 
01116,Longmeadow,Massachusetts ,HAMPDEN,25,013,MA 
01119,Springfield,Massachusetts ,HAMPDEN,25,013,MA 
