48004,Anchorville,Michigan ,SAINT CLAIR,26,147,MI 
48006,Avoca,Michigan ,SAINT CLAIR,26,147,MI 
48003,Almont,Michigan ,LAPEER,26,087,MI 
48002,Allenton,Michigan ,SAINT CLAIR,26,147,MI 
48009,Birmingham,Michigan ,OAKLAND,26,125,MI 
48007,Troy,Michigan ,OAKLAND,26,125,MI 
48001,Algonac,Michigan ,SAINT CLAIR,26,147,MI 
48005,Armada,Michigan ,MACOMB,26,099,MI 
48014,Capac,Michigan ,SAINT CLAIR,26,147,MI 
48012,Birmingham,Michigan ,OAKLAND,26,125,MI 
48021,Eastpointe,Michigan ,MACOMB,26,099,MI 
48022,Emmett,Michigan ,SAINT CLAIR,26,147,MI 
48015,Center Line,Michigan ,MACOMB,26,099,MI 
48017,Clawson,Michigan ,OAKLAND,26,125,MI 
48023,Fair Haven,Michigan ,SAINT CLAIR,26,147,MI 
48025,Franklin,Michigan ,OAKLAND,26,125,MI 
48026,Fraser,Michigan ,MACOMB,26,099,MI 
48030,Hazel Park,Michigan ,OAKLAND,26,125,MI 
48028,Harsens Island,Michigan ,SAINT CLAIR,26,147,MI 
48032,Jeddo,Michigan ,SAINT CLAIR,26,147,MI 
48035,Clinton Township,Michigan ,MACOMB,26,099,MI 
48027,Goodells,Michigan ,SAINT CLAIR,26,147,MI 
48033,Southfield,Michigan ,OAKLAND,26,125,MI 
48034,Southfield,Michigan ,OAKLAND,26,125,MI 
48036,Clinton Township,Michigan ,MACOMB,26,099,MI 
48040,Marysville,Michigan ,SAINT CLAIR,26,147,MI 
48043,Mount Clemens,Michigan ,MACOMB,26,099,MI 
48039,Marine City,Michigan ,SAINT CLAIR,26,147,MI 
48037,Southfield,Michigan ,OAKLAND,26,125,MI 
48038,Clinton Township,Michigan ,MACOMB,26,099,MI 
48041,Memphis,Michigan ,SAINT CLAIR,26,147,MI 
48042,Macomb,Michigan ,MACOMB,26,099,MI 
48044,Macomb,Michigan ,MACOMB,26,099,MI 
48048,New Haven,Michigan ,MACOMB,26,099,MI 
48047,New Baltimore,Michigan ,MACOMB,26,099,MI 
48049,North Street,Michigan ,SAINT CLAIR,26,147,MI 
48051,New Baltimore,Michigan ,MACOMB,26,099,MI 
48045,Harrison Township,Michigan ,MACOMB,26,099,MI 
48046,Mount Clemens,Michigan ,MACOMB,26,099,MI 
48050,New Haven,Michigan ,MACOMB,26,099,MI 
48054,East China,Michigan ,SAINT CLAIR,26,147,MI 
48059,Fort Gratiot,Michigan ,SAINT CLAIR,26,147,MI 
48065,Romeo,Michigan ,MACOMB,26,099,MI 
48064,Casco,Michigan ,SAINT CLAIR,26,147,MI 
48061,Port Huron,Michigan ,SAINT CLAIR,26,147,MI 
48060,Port Huron,Michigan ,SAINT CLAIR,26,147,MI 
48062,Richmond,Michigan ,MACOMB,26,099,MI 
48063,Columbus,Michigan ,SAINT CLAIR,26,147,MI 
48066,Roseville,Michigan ,MACOMB,26,099,MI 
48070,Huntington Woods,Michigan ,OAKLAND,26,125,MI 
48073,Royal Oak,Michigan ,OAKLAND,26,125,MI 
48072,Berkley,Michigan ,OAKLAND,26,125,MI 
48071,Madison Heights,Michigan ,OAKLAND,26,125,MI 
48067,Royal Oak,Michigan ,OAKLAND,26,125,MI 
48074,Smiths Creek,Michigan ,SAINT CLAIR,26,147,MI 
48069,Pleasant Ridge,Michigan ,OAKLAND,26,125,MI 
48068,Royal Oak,Michigan ,OAKLAND,26,125,MI 
48075,Southfield,Michigan ,OAKLAND,26,125,MI 
48076,Southfield,Michigan ,OAKLAND,26,125,MI 
48079,Saint Clair,Michigan ,SAINT CLAIR,26,147,MI 
48083,Troy,Michigan ,OAKLAND,26,125,MI 
48080,Saint Clair Shores,Michigan ,MACOMB,26,099,MI 
48084,Troy,Michigan ,OAKLAND,26,125,MI 
48082,Saint Clair Shores,Michigan ,MACOMB,26,099,MI 
48085,Troy,Michigan ,OAKLAND,26,125,MI 
48081,Saint Clair Shores,Michigan ,MACOMB,26,099,MI 
48086,Southfield,Michigan ,OAKLAND,26,125,MI 
48088,Warren,Michigan ,MACOMB,26,099,MI 
48089,Warren,Michigan ,MACOMB,26,099,MI 
48092,Warren,Michigan ,MACOMB,26,099,MI 
48091,Warren,Michigan ,MACOMB,26,099,MI 
48093,Warren,Michigan ,MACOMB,26,099,MI 
48094,Washington,Michigan ,MACOMB,26,099,MI 
48095,Washington,Michigan ,MACOMB,26,099,MI 
48096,Ray,Michigan ,MACOMB,26,099,MI 
48097,Yale,Michigan ,SAINT CLAIR,26,147,MI 
48098,Troy,Michigan ,OAKLAND,26,125,MI 
48099,Troy,Michigan ,OAKLAND,26,125,MI 
48101,Allen Park,Michigan ,WAYNE,26,163,MI 
48090,Warren,Michigan ,MACOMB,26,099,MI 
48103,Ann Arbor,Michigan ,WASHTENAW,26,161,MI 
48104,Ann Arbor,Michigan ,WASHTENAW,26,161,MI 
48106,Ann Arbor,Michigan ,WASHTENAW,26,161,MI 
48105,Ann Arbor,Michigan ,WASHTENAW,26,161,MI 
48107,Ann Arbor,Michigan ,WASHTENAW,26,161,MI 
48109,Ann Arbor,Michigan ,WASHTENAW,26,161,MI 
48110,Azalia,Michigan ,MONROE,26,115,MI 
48108,Ann Arbor,Michigan ,WASHTENAW,26,161,MI 
48111,Belleville,Michigan ,WAYNE,26,163,MI 
48112,Belleville,Michigan ,WAYNE,26,163,MI 
48113,Ann Arbor,Michigan ,WASHTENAW,26,161,MI 
48114,Brighton,Michigan ,LIVINGSTON,26,093,MI 
48115,Bridgewater,Michigan ,WASHTENAW,26,161,MI 
48118,Chelsea,Michigan ,WASHTENAW,26,161,MI 
48117,Carleton,Michigan ,MONROE,26,115,MI 
48116,Brighton,Michigan ,LIVINGSTON,26,093,MI 
48120,Dearborn,Michigan ,WAYNE,26,163,MI 
48121,Dearborn,Michigan ,WAYNE,26,163,MI 
48122,Melvindale,Michigan ,WAYNE,26,163,MI 
48123,Dearborn,Michigan ,WAYNE,26,163,MI 
48124,Dearborn,Michigan ,WAYNE,26,163,MI 
