55001,Afton,Minnesota ,WASHINGTON,27,163,MN 
55007,Brook Park,Minnesota ,PINE,27,115,MN 
55005,Bethel,Minnesota ,ANOKA,27,003,MN 
55003,Bayport,Minnesota ,WASHINGTON,27,163,MN 
55010,Castle Rock,Minnesota ,DAKOTA,27,037,MN 
55009,Cannon Falls,Minnesota ,GOODHUE,27,049,MN 
55008,Cambridge,Minnesota ,ISANTI,27,059,MN 
55006,Braham,Minnesota ,ISANTI,27,059,MN 
55011,Cedar,Minnesota ,ANOKA,27,003,MN 
55012,Center City,Minnesota ,CHISAGO,27,025,MN 
55014,Circle Pines,Minnesota ,ANOKA,27,003,MN 
55016,Cottage Grove,Minnesota ,WASHINGTON,27,163,MN 
55019,Dundas,Minnesota ,RICE,27,131,MN 
55013,Chisago City,Minnesota ,CHISAGO,27,025,MN 
55018,Dennison,Minnesota ,GOODHUE,27,049,MN 
55017,Dalbo,Minnesota ,ISANTI,27,059,MN 
55029,Grandy,Minnesota ,ISANTI,27,059,MN 
55025,Forest Lake,Minnesota ,WASHINGTON,27,163,MN 
55026,Frontenac,Minnesota ,GOODHUE,27,049,MN 
55024,Farmington,Minnesota ,DAKOTA,27,037,MN 
55027,Goodhue,Minnesota ,GOODHUE,27,049,MN 
55030,Grasston,Minnesota ,PINE,27,115,MN 
55020,Elko New Market,Minnesota ,SCOTT,27,139,MN 
55021,Faribault,Minnesota ,RICE,27,131,MN 
55031,Hampton,Minnesota ,DAKOTA,27,037,MN 
55032,Harris,Minnesota ,CHISAGO,27,025,MN 
55040,Isanti,Minnesota ,ISANTI,27,059,MN 
55041,Lake City,Minnesota ,WABASHA,27,157,MN 
55036,Henriette,Minnesota ,PINE,27,115,MN 
55033,Hastings,Minnesota ,DAKOTA,27,037,MN 
55037,Hinckley,Minnesota ,PINE,27,115,MN 
55038,Hugo,Minnesota ,WASHINGTON,27,163,MN 
55042,Lake Elmo,Minnesota ,WASHINGTON,27,163,MN 
55049,Medford,Minnesota ,STEELE,27,147,MN 
55046,Lonsdale,Minnesota ,RICE,27,131,MN 
55044,Lakeville,Minnesota ,DAKOTA,27,037,MN 
55051,Mora,Minnesota ,KANABEC,27,065,MN 
55045,Lindstrom,Minnesota ,CHISAGO,27,025,MN 
55043,Lakeland,Minnesota ,WASHINGTON,27,163,MN 
55052,Morristown,Minnesota ,RICE,27,131,MN 
55047,Marine On Saint Croix,Minnesota ,WASHINGTON,27,163,MN 
55055,Newport,Minnesota ,WASHINGTON,27,163,MN 
55053,Nerstrand,Minnesota ,RICE,27,131,MN 
55056,North Branch,Minnesota ,CHISAGO,27,025,MN 
55060,Owatonna,Minnesota ,STEELE,27,147,MN 
55054,Elko New Market,Minnesota ,SCOTT,27,139,MN 
55065,Randolph,Minnesota ,DAKOTA,27,037,MN 
55063,Pine City,Minnesota ,PINE,27,115,MN 
55057,Northfield,Minnesota ,RICE,27,131,MN 
55073,Scandia,Minnesota ,WASHINGTON,27,163,MN 
55069,Rush City,Minnesota ,CHISAGO,27,025,MN 
55066,Red Wing,Minnesota ,GOODHUE,27,049,MN 
55070,Saint Francis,Minnesota ,ANOKA,27,003,MN 
55067,Rock Creek,Minnesota ,PINE,27,115,MN 
55068,Rosemount,Minnesota ,DAKOTA,27,037,MN 
55072,Sandstone,Minnesota ,PINE,27,115,MN 
55071,Saint Paul Park,Minnesota ,WASHINGTON,27,163,MN 
55074,Shafer,Minnesota ,CHISAGO,27,025,MN 
55075,South Saint Paul,Minnesota ,DAKOTA,27,037,MN 
55076,Inver Grove Heights,Minnesota ,DAKOTA,27,037,MN 
55079,Stacy,Minnesota ,CHISAGO,27,025,MN 
55078,Stacy,Minnesota ,CHISAGO,27,025,MN 
55082,Stillwater,Minnesota ,WASHINGTON,27,163,MN 
55077,Inver Grove Heights,Minnesota ,DAKOTA,27,037,MN 
55080,Stanchfield,Minnesota ,ISANTI,27,059,MN 
55083,Stillwater,Minnesota ,WASHINGTON,27,163,MN 
55085,Vermillion,Minnesota ,DAKOTA,27,037,MN 
55084,Taylors Falls,Minnesota ,CHISAGO,27,025,MN 
55088,Webster,Minnesota ,RICE,27,131,MN 
55090,Willernie,Minnesota ,WASHINGTON,27,163,MN 
55092,Wyoming,Minnesota ,CHISAGO,27,025,MN 
55087,Warsaw,Minnesota ,RICE,27,131,MN 
55089,Welch,Minnesota ,GOODHUE,27,049,MN 
55101,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55102,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55106,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55107,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55103,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55108,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55105,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55104,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55109,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55110,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55111,Saint Paul,Minnesota ,HENNEPIN,27,053,MN 
55112,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55115,Saint Paul,Minnesota ,WASHINGTON,27,163,MN 
55113,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55114,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55116,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55117,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55118,Saint Paul,Minnesota ,DAKOTA,27,037,MN 
55120,Saint Paul,Minnesota ,DAKOTA,27,037,MN 
55119,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55121,Saint Paul,Minnesota ,DAKOTA,27,037,MN 
55125,Saint Paul,Minnesota ,WASHINGTON,27,163,MN 
55122,Saint Paul,Minnesota ,DAKOTA,27,037,MN 
55124,Saint Paul,Minnesota ,DAKOTA,27,037,MN 
55123,Saint Paul,Minnesota ,DAKOTA,27,037,MN 
55126,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55129,Saint Paul,Minnesota ,WASHINGTON,27,163,MN 
55144,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55128,Saint Paul,Minnesota ,WASHINGTON,27,163,MN 
55133,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55127,Saint Paul,Minnesota ,RAMSEY,27,123,MN 
55131,Saint Paul,Minnesota ,WASHINGTON,27,163,MN 
