63012,Barnhart,Missouri ,JEFFERSON,29,099,MO 
63010,Arnold,Missouri ,JEFFERSON,29,099,MO 
63006,Chesterfield,Missouri ,SAINT LOUIS,29,189,MO 
63011,Ballwin,Missouri ,SAINT LOUIS,29,189,MO 
63014,Berger,Missouri ,FRANKLIN,29,071,MO 
63005,Chesterfield,Missouri ,SAINT LOUIS,29,189,MO 
63015,Catawissa,Missouri ,FRANKLIN,29,071,MO 
63013,Beaufort,Missouri ,FRANKLIN,29,071,MO 
63016,Cedar Hill,Missouri ,JEFFERSON,29,099,MO 
63021,Ballwin,Missouri ,SAINT LOUIS,29,189,MO 
63017,Chesterfield,Missouri ,SAINT LOUIS,29,189,MO 
63019,Crystal City,Missouri ,JEFFERSON,29,099,MO 
63022,Ballwin,Missouri ,SAINT LOUIS,29,189,MO 
63024,Ballwin,Missouri ,SAINT LOUIS,29,189,MO 
63023,Dittmer,Missouri ,JEFFERSON,29,099,MO 
63020,De Soto,Missouri ,JEFFERSON,29,099,MO 
63025,Eureka,Missouri ,SAINT LOUIS,29,189,MO 
63026,Fenton,Missouri ,SAINT LOUIS,29,189,MO 
63028,Festus,Missouri ,JEFFERSON,29,099,MO 
63031,Florissant,Missouri ,SAINT LOUIS,29,189,MO 
63030,Fletcher,Missouri ,JEFFERSON,29,099,MO 
63034,Florissant,Missouri ,SAINT LOUIS,29,189,MO 
63036,French Village,Missouri ,SAINT FRANCOIS,29,187,MO 
63032,Florissant,Missouri ,SAINT LOUIS,29,189,MO 
63033,Florissant,Missouri ,SAINT LOUIS,29,189,MO 
63037,Gerald,Missouri ,FRANKLIN,29,071,MO 
63038,Wildwood,Missouri ,SAINT LOUIS,29,189,MO 
63039,Gray Summit,Missouri ,FRANKLIN,29,071,MO 
63040,Wildwood,Missouri ,SAINT LOUIS,29,189,MO 
63042,Hazelwood,Missouri ,SAINT LOUIS,29,189,MO 
63043,Maryland Heights,Missouri ,SAINT LOUIS,29,189,MO 
63041,Grubville,Missouri ,FRANKLIN,29,071,MO 
63045,Earth City,Missouri ,SAINT LOUIS,29,189,MO 
63044,Bridgeton,Missouri ,SAINT LOUIS,29,189,MO 
63047,Hematite,Missouri ,JEFFERSON,29,099,MO 
63049,High Ridge,Missouri ,JEFFERSON,29,099,MO 
63055,Labadie,Missouri ,FRANKLIN,29,071,MO 
63053,Kimmswick,Missouri ,JEFFERSON,29,099,MO 
63051,House Springs,Missouri ,JEFFERSON,29,099,MO 
63050,Hillsboro,Missouri ,JEFFERSON,29,099,MO 
63052,Imperial,Missouri ,JEFFERSON,29,099,MO 
63048,Herculaneum,Missouri ,JEFFERSON,29,099,MO 
63056,Leslie,Missouri ,FRANKLIN,29,071,MO 
63057,Liguori,Missouri ,JEFFERSON,29,099,MO 
63060,Lonedell,Missouri ,FRANKLIN,29,071,MO 
63061,Luebbering,Missouri ,FRANKLIN,29,071,MO 
63069,Pacific,Missouri ,FRANKLIN,29,071,MO 
63070,Pevely,Missouri ,JEFFERSON,29,099,MO 
63065,Mapaville,Missouri ,JEFFERSON,29,099,MO 
63068,New Haven,Missouri ,FRANKLIN,29,071,MO 
63066,Morse Mill,Missouri ,JEFFERSON,29,099,MO 
63071,Richwoods,Missouri ,WASHINGTON,29,221,MO 
63072,Robertsville,Missouri ,FRANKLIN,29,071,MO 
63079,Stanton,Missouri ,FRANKLIN,29,071,MO 
63074,Saint Ann,Missouri ,SAINT LOUIS,29,189,MO 
63073,Saint Albans,Missouri ,FRANKLIN,29,071,MO 
63080,Sullivan,Missouri ,FRANKLIN,29,071,MO 
