59006,Ballantine,Montana ,YELLOWSTONE,30,111,MT 
59002,Acton,Montana ,YELLOWSTONE,30,111,MT 
59004,Ashland,Montana ,ROSEBUD,30,087,MT 
59001,Absarokee,Montana ,STILLWATER,30,095,MT 
59008,Belfry,Montana ,CARBON,30,009,MT 
59010,Bighorn,Montana ,TREASURE,30,103,MT 
59003,Ashland,Montana ,ROSEBUD,30,087,MT 
59007,Bearcreek,Montana ,CARBON,30,009,MT 
59013,Boyd,Montana ,CARBON,30,009,MT 
59014,Bridger,Montana ,CARBON,30,009,MT 
59011,Big Timber,Montana ,SWEET GRASS,30,097,MT 
59012,Birney,Montana ,ROSEBUD,30,087,MT 
59019,Columbus,Montana ,STILLWATER,30,095,MT 
59015,Broadview,Montana ,YELLOWSTONE,30,111,MT 
59018,Clyde Park,Montana ,PARK,30,067,MT 
59016,Busby,Montana ,BIG HORN,30,003,MT 
59020,Cooke City,Montana ,PARK,30,067,MT 
59026,Edgar,Montana ,CARBON,30,009,MT 
59022,Crow Agency,Montana ,BIG HORN,30,003,MT 
59029,Fromberg,Montana ,CARBON,30,009,MT 
59024,Custer,Montana ,YELLOWSTONE,30,111,MT 
59028,Fishtail,Montana ,STILLWATER,30,095,MT 
59027,Emigrant,Montana ,PARK,30,067,MT 
59025,Decker,Montana ,BIG HORN,30,003,MT 
59030,Gardiner,Montana ,PARK,30,067,MT 
59031,Garryowen,Montana ,BIG HORN,30,003,MT 
59032,Grass Range,Montana ,FERGUS,30,027,MT 
59033,Greycliff,Montana ,SWEET GRASS,30,097,MT 
59037,Huntley,Montana ,YELLOWSTONE,30,111,MT 
59034,Hardin,Montana ,BIG HORN,30,003,MT 
59035,Fort Smith,Montana ,BIG HORN,30,003,MT 
59036,Harlowton,Montana ,WHEATLAND,30,107,MT 
59038,Hysham,Montana ,TREASURE,30,103,MT 
59039,Ingomar,Montana ,ROSEBUD,30,087,MT 
59041,Joliet,Montana ,CARBON,30,009,MT 
59044,Laurel,Montana ,YELLOWSTONE,30,111,MT 
59043,Lame Deer,Montana ,ROSEBUD,30,087,MT 
59050,Lodge Grass,Montana ,BIG HORN,30,003,MT 
59046,Lavina,Montana ,GOLDEN VALLEY,30,037,MT 
59047,Livingston,Montana ,PARK,30,067,MT 
59052,Mc Leod,Montana ,SWEET GRASS,30,097,MT 
59053,Martinsdale,Montana ,MEAGHER,30,059,MT 
59054,Melstone,Montana ,MUSSELSHELL,30,065,MT 
59057,Molt,Montana ,YELLOWSTONE,30,111,MT 
59059,Musselshell,Montana ,MUSSELSHELL,30,065,MT 
59061,Nye,Montana ,STILLWATER,30,095,MT 
59058,Mosby,Montana ,GARFIELD,30,033,MT 
59055,Melville,Montana ,SWEET GRASS,30,097,MT 
59062,Otter,Montana ,POWDER RIVER,30,075,MT 
59063,Park City,Montana ,STILLWATER,30,095,MT 
59064,Pompeys Pillar,Montana ,YELLOWSTONE,30,111,MT 
59065,Pray,Montana ,PARK,30,067,MT 
59069,Reed Point,Montana ,STILLWATER,30,095,MT 
59067,Rapelje,Montana ,STILLWATER,30,095,MT 
59068,Red Lodge,Montana ,CARBON,30,009,MT 
59070,Roberts,Montana ,CARBON,30,009,MT 
59066,Pryor,Montana ,BIG HORN,30,003,MT 
59074,Ryegate,Montana ,GOLDEN VALLEY,30,037,MT 
59071,Roscoe,Montana ,CARBON,30,009,MT 
59072,Roundup,Montana ,MUSSELSHELL,30,065,MT 
59075,Saint Xavier,Montana ,BIG HORN,30,003,MT 
59073,Roundup,Montana ,MUSSELSHELL,30,065,MT 
59077,Sand Springs,Montana ,GARFIELD,30,033,MT 
59078,Shawmut,Montana ,WHEATLAND,30,107,MT 
59076,Sanders,Montana ,TREASURE,30,103,MT 
59079,Shepherd,Montana ,YELLOWSTONE,30,111,MT 
59083,Sumatra,Montana ,ROSEBUD,30,087,MT 
59081,Silver Gate,Montana ,PARK,30,067,MT 
59082,Springdale,Montana ,PARK,30,067,MT 
59086,Wilsall,Montana ,PARK,30,067,MT 
59085,Two Dot,Montana ,WHEATLAND,30,107,MT 
59084,Teigen,Montana ,PETROLEUM,30,069,MT 
59087,Winnett,Montana ,PETROLEUM,30,069,MT 
59101,Billings,Montana ,YELLOWSTONE,30,111,MT 
59089,Wyola,Montana ,BIG HORN,30,003,MT 
59105,Billings,Montana ,YELLOWSTONE,30,111,MT 
59088,Worden,Montana ,YELLOWSTONE,30,111,MT 
59102,Billings,Montana ,YELLOWSTONE,30,111,MT 
59103,Billings,Montana ,YELLOWSTONE,30,111,MT 
59104,Billings,Montana ,YELLOWSTONE,30,111,MT 
59106,Billings,Montana ,YELLOWSTONE,30,111,MT 
59115,Billings,Montana ,YELLOWSTONE,30,111,MT 
59114,Billings,Montana ,YELLOWSTONE,30,111,MT 
59112,Billings,Montana ,YELLOWSTONE,30,111,MT 
59111,Billings,Montana ,YELLOWSTONE,30,111,MT 
59108,Billings,Montana ,YELLOWSTONE,30,111,MT 
59107,Billings,Montana ,YELLOWSTONE,30,111,MT 
59117,Billings,Montana ,YELLOWSTONE,30,111,MT 
59116,Billings,Montana ,YELLOWSTONE,30,111,MT 
59201,Wolf Point,Montana ,ROOSEVELT,30,085,MT 
59212,Bainville,Montana ,ROOSEVELT,30,085,MT 
59217,Crane,Montana ,RICHLAND,30,083,MT 
59213,Brockton,Montana ,ROOSEVELT,30,085,MT 
59211,Antelope,Montana ,SHERIDAN,30,091,MT 
59215,Circle,Montana ,MCCONE,30,055,MT 
59218,Culbertson,Montana ,ROOSEVELT,30,085,MT 
59214,Brockway,Montana ,MCCONE,30,055,MT 
59219,Dagmar,Montana ,SHERIDAN,30,091,MT 
59222,Flaxville,Montana ,DANIELS,30,019,MT 
59226,Froid,Montana ,ROOSEVELT,30,085,MT 
