68001,Abie,Nebraska ,BUTLER,31,023,NE 
68003,Ashland,Nebraska ,SAUNDERS,31,155,NE 
68002,Arlington,Nebraska ,WASHINGTON,31,177,NE 
68007,Bennington,Nebraska ,DOUGLAS,31,055,NE 
68008,Blair,Nebraska ,WASHINGTON,31,177,NE 
68004,Bancroft,Nebraska ,CUMING,31,039,NE 
68005,Bellevue,Nebraska ,SARPY,31,153,NE 
68010,Boys Town,Nebraska ,DOUGLAS,31,055,NE 
68015,Cedar Bluffs,Nebraska ,SAUNDERS,31,155,NE 
68016,Cedar Creek,Nebraska ,CASS,31,025,NE 
68018,Colon,Nebraska ,SAUNDERS,31,155,NE 
68014,Bruno,Nebraska ,BUTLER,31,023,NE 
68019,Craig,Nebraska ,BURT,31,021,NE 
68022,Elkhorn,Nebraska ,DOUGLAS,31,055,NE 
68020,Decatur,Nebraska ,BURT,31,021,NE 
68017,Ceresco,Nebraska ,SAUNDERS,31,155,NE 
68023,Fort Calhoun,Nebraska ,WASHINGTON,31,177,NE 
68029,Herman,Nebraska ,WASHINGTON,31,177,NE 
68030,Homer,Nebraska ,DAKOTA,31,043,NE 
68026,Fremont,Nebraska ,DODGE,31,053,NE 
68025,Fremont,Nebraska ,DODGE,31,053,NE 
68028,Gretna,Nebraska ,SARPY,31,153,NE 
68031,Hooper,Nebraska ,DODGE,31,053,NE 
68033,Ithaca,Nebraska ,SAUNDERS,31,155,NE 
68034,Kennard,Nebraska ,WASHINGTON,31,177,NE 
68036,Linwood,Nebraska ,BUTLER,31,023,NE 
68039,Macy,Nebraska ,THURSTON,31,173,NE 
68037,Louisville,Nebraska ,CASS,31,025,NE 
68040,Malmo,Nebraska ,SAUNDERS,31,155,NE 
68038,Lyons,Nebraska ,BURT,31,021,NE 
68042,Memphis,Nebraska ,SAUNDERS,31,155,NE 
68041,Mead,Nebraska ,SAUNDERS,31,155,NE 
68044,Nickerson,Nebraska ,DODGE,31,053,NE 
68047,Pender,Nebraska ,THURSTON,31,173,NE 
68055,Rosalie,Nebraska ,THURSTON,31,173,NE 
68046,Papillion,Nebraska ,SARPY,31,153,NE 
68050,Prague,Nebraska ,SAUNDERS,31,155,NE 
68045,Oakland,Nebraska ,BURT,31,021,NE 
68048,Plattsmouth,Nebraska ,CASS,31,025,NE 
68056,St Columbans,Nebraska ,SARPY,31,153,NE 
68057,Scribner,Nebraska ,DODGE,31,053,NE 
68063,Uehling,Nebraska ,DODGE,31,053,NE 
68065,Valparaiso,Nebraska ,SAUNDERS,31,155,NE 
68058,South Bend,Nebraska ,CASS,31,025,NE 
68061,Tekamah,Nebraska ,BURT,31,021,NE 
68059,Springfield,Nebraska ,SARPY,31,153,NE 
68062,Thurston,Nebraska ,THURSTON,31,173,NE 
68064,Valley,Nebraska ,DOUGLAS,31,055,NE 
68066,Wahoo,Nebraska ,SAUNDERS,31,155,NE 
68067,Walthill,Nebraska ,THURSTON,31,173,NE 
68068,Washington,Nebraska ,WASHINGTON,31,177,NE 
68070,Weston,Nebraska ,SAUNDERS,31,155,NE 
68071,Winnebago,Nebraska ,THURSTON,31,173,NE 
68069,Waterloo,Nebraska ,DOUGLAS,31,055,NE 
68072,Winslow,Nebraska ,DODGE,31,053,NE 
68073,Yutan,Nebraska ,SAUNDERS,31,155,NE 
68101,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68103,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68104,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68106,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68105,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68108,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68107,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68102,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68109,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68110,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68111,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68113,Offutt AFB,Nebraska ,SARPY,31,153,NE 
68112,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68116,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68118,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68114,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68117,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68119,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68122,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68124,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68123,Bellevue,Nebraska ,SARPY,31,153,NE 
68127,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68128,La Vista,Nebraska ,SARPY,31,153,NE 
68131,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68130,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68132,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68133,Papillion,Nebraska ,SARPY,31,153,NE 
68137,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68136,Omaha,Nebraska ,SARPY,31,153,NE 
68134,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68135,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68139,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68138,Omaha,Nebraska ,SARPY,31,153,NE 
68142,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68144,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68154,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68147,Bellevue,Nebraska ,SARPY,31,153,NE 
68145,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68164,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68152,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68157,Omaha,Nebraska ,SARPY,31,153,NE 
68172,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68175,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68179,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68176,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68180,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68182,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68178,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68197,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68183,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68198,Omaha,Nebraska ,DOUGLAS,31,055,NE 
68301,Adams,Nebraska ,GAGE,31,067,NE 
68309,Barneston,Nebraska ,GAGE,31,067,NE 
68303,Alexandria,Nebraska ,THAYER,31,169,NE 
68304,Alvo,Nebraska ,CASS,31,025,NE 
68310,Beatrice,Nebraska ,GAGE,31,067,NE 
68305,Auburn,Nebraska ,NEMAHA,31,127,NE 
68307,Avoca,Nebraska ,CASS,31,025,NE 
68313,Beaver Crossing,Nebraska ,SEWARD,31,159,NE 
68316,Benedict,Nebraska ,YORK,31,185,NE 
68320,Brock,Nebraska ,NEMAHA,31,127,NE 
68319,Bradshaw,Nebraska ,YORK,31,185,NE 
68314,Bee,Nebraska ,SEWARD,31,159,NE 
68318,Blue Springs,Nebraska ,GAGE,31,067,NE 
68315,Belvidere,Nebraska ,THAYER,31,169,NE 
68317,Bennet,Nebraska ,LANCASTER,31,109,NE 
68321,Brownville,Nebraska ,NEMAHA,31,127,NE 
68322,Bruning,Nebraska ,THAYER,31,169,NE 
68324,Burr,Nebraska ,OTOE,31,131,NE 
68328,Clatonia,Nebraska ,GAGE,31,067,NE 
68326,Carleton,Nebraska ,THAYER,31,169,NE 
68323,Burchard,Nebraska ,PAWNEE,31,133,NE 
68325,Byron,Nebraska ,THAYER,31,169,NE 
68327,Chester,Nebraska ,THAYER,31,169,NE 
68329,Cook,Nebraska ,JOHNSON,31,097,NE 
68331,Cortland,Nebraska ,GAGE,31,067,NE 
68330,Cordova,Nebraska ,SEWARD,31,159,NE 
68332,Crab Orchard,Nebraska ,JOHNSON,31,097,NE 
68338,Daykin,Nebraska ,JEFFERSON,31,095,NE 
68337,Dawson,Nebraska ,RICHARDSON,31,147,NE 
68336,Davey,Nebraska ,LANCASTER,31,109,NE 
68335,Davenport,Nebraska ,THAYER,31,169,NE 
68333,Crete,Nebraska ,SALINE,31,151,NE 
68339,Denton,Nebraska ,LANCASTER,31,109,NE 
68343,Dorchester,Nebraska ,SALINE,31,151,NE 
68340,Deshler,Nebraska ,THAYER,31,169,NE 
68346,Dunbar,Nebraska ,OTOE,31,131,NE 
68341,De Witt,Nebraska ,SALINE,31,151,NE 
68345,Du Bois,Nebraska ,PAWNEE,31,133,NE 
68344,Douglas,Nebraska ,OTOE,31,131,NE 
68342,Diller,Nebraska ,JEFFERSON,31,095,NE 
68348,Elk Creek,Nebraska ,JOHNSON,31,097,NE 
68351,Exeter,Nebraska ,FILLMORE,31,059,NE 
68349,Elmwood,Nebraska ,CASS,31,025,NE 
68347,Eagle,Nebraska ,CASS,31,025,NE 
68350,Endicott,Nebraska ,JEFFERSON,31,095,NE 
68354,Fairmont,Nebraska ,FILLMORE,31,059,NE 
68355,Falls City,Nebraska ,RICHARDSON,31,147,NE 
68352,Fairbury,Nebraska ,JEFFERSON,31,095,NE 
68357,Filley,Nebraska ,GAGE,31,067,NE 
68360,Garland,Nebraska ,SEWARD,31,159,NE 
68358,Firth,Nebraska ,LANCASTER,31,109,NE 
68364,Goehner,Nebraska ,SEWARD,31,159,NE 
68361,Geneva,Nebraska ,FILLMORE,31,059,NE 
68362,Gilead,Nebraska ,THAYER,31,169,NE 
68359,Friend,Nebraska ,SALINE,31,151,NE 
68365,Grafton,Nebraska ,FILLMORE,31,059,NE 
68366,Greenwood,Nebraska ,CASS,31,025,NE 
68367,Gresham,Nebraska ,YORK,31,185,NE 
68372,Hickman,Nebraska ,LANCASTER,31,109,NE 
68368,Hallam,Nebraska ,LANCASTER,31,109,NE 
68375,Hubbell,Nebraska ,THAYER,31,169,NE 
68371,Henderson,Nebraska ,YORK,31,185,NE 
68370,Hebron,Nebraska ,THAYER,31,169,NE 
68376,Humboldt,Nebraska ,RICHARDSON,31,147,NE 
68377,Jansen,Nebraska ,JEFFERSON,31,095,NE 
68382,Lorton,Nebraska ,OTOE,31,131,NE 
68401,Mc Cool Junction,Nebraska ,YORK,31,185,NE 
68380,Lewiston,Nebraska ,PAWNEE,31,133,NE 
68402,Malcolm,Nebraska ,LANCASTER,31,109,NE 
68379,Julian,Nebraska ,NEMAHA,31,127,NE 
68378,Johnson,Nebraska ,NEMAHA,31,127,NE 
68403,Manley,Nebraska ,CASS,31,025,NE 
68381,Liberty,Nebraska ,GAGE,31,067,NE 
68405,Milford,Nebraska ,SEWARD,31,159,NE 
68407,Murdock,Nebraska ,CASS,31,025,NE 
68404,Martell,Nebraska ,LANCASTER,31,109,NE 
68414,Nemaha,Nebraska ,NEMAHA,31,127,NE 
68406,Milligan,Nebraska ,FILLMORE,31,059,NE 
68410,Nebraska City,Nebraska ,OTOE,31,131,NE 
68413,Nehawka,Nebraska ,CASS,31,025,NE 
68409,Murray,Nebraska ,CASS,31,025,NE 
68415,Odell,Nebraska ,GAGE,31,067,NE 
68416,Ohiowa,Nebraska ,FILLMORE,31,059,NE 
68418,Palmyra,Nebraska ,OTOE,31,131,NE 
68419,Panama,Nebraska ,LANCASTER,31,109,NE 
68420,Pawnee City,Nebraska ,PAWNEE,31,133,NE 
68417,Otoe,Nebraska ,OTOE,31,131,NE 
68422,Pickrell,Nebraska ,GAGE,31,067,NE 
68421,Peru,Nebraska ,NEMAHA,31,127,NE 
