88901,The Lakes,Nevada ,CLARK,32,003,NV 
88905,The Lakes,Nevada ,CLARK,32,003,NV 
89006,Boulder City,Nevada ,CLARK,32,003,NV 
89004,Blue Diamond,Nevada ,CLARK,32,003,NV 
89003,Beatty,Nevada ,NYE,32,023,NV 
89001,Alamo,Nevada ,LINCOLN,32,017,NV 
89002,Henderson,Nevada ,CLARK,32,003,NV 
89005,Boulder City,Nevada ,CLARK,32,003,NV 
89008,Caliente,Nevada ,LINCOLN,32,017,NV 
89009,Henderson,Nevada ,CLARK,32,003,NV 
89012,Henderson,Nevada ,CLARK,32,003,NV 
89010,Dyer,Nevada ,ESMERALDA,32,009,NV 
89011,Henderson,Nevada ,CLARK,32,003,NV 
89013,Goldfield,Nevada ,ESMERALDA,32,009,NV 
89014,Henderson,Nevada ,CLARK,32,003,NV 
89007,Bunkerville,Nevada ,CLARK,32,003,NV 
89016,Henderson,Nevada ,CLARK,32,003,NV 
89015,Henderson,Nevada ,CLARK,32,003,NV 
89020,Amargosa Valley,Nevada ,NYE,32,023,NV 
89022,Manhattan,Nevada ,NYE,32,023,NV 
89023,Mercury,Nevada ,NYE,32,023,NV 
89019,Jean,Nevada ,CLARK,32,003,NV 
89017,Hiko,Nevada ,LINCOLN,32,017,NV 
89018,Indian Springs,Nevada ,CLARK,32,003,NV 
89024,Mesquite,Nevada ,CLARK,32,003,NV 
89025,Moapa,Nevada ,CLARK,32,003,NV 
89031,North Las Vegas,Nevada ,CLARK,32,003,NV 
89028,Laughlin,Nevada ,CLARK,32,003,NV 
89029,Laughlin,Nevada ,CLARK,32,003,NV 
89030,North Las Vegas,Nevada ,CLARK,32,003,NV 
89026,Jean,Nevada ,CLARK,32,003,NV 
89027,Mesquite,Nevada ,CLARK,32,003,NV 
89032,North Las Vegas,Nevada ,CLARK,32,003,NV 
89039,Cal Nev Ari,Nevada ,CLARK,32,003,NV 
89034,Mesquite,Nevada ,CLARK,32,003,NV 
89036,North Las Vegas,Nevada ,CLARK,32,003,NV 
89040,Overton,Nevada ,CLARK,32,003,NV 
89033,North Las Vegas,Nevada ,CLARK,32,003,NV 
89041,Pahrump,Nevada ,NYE,32,023,NV 
89037,Coyote Springs,Nevada ,CLARK,32,003,NV 
89042,Panaca,Nevada ,LINCOLN,32,017,NV 
89047,Silverpeak,Nevada ,ESMERALDA,32,009,NV 
89045,Round Mountain,Nevada ,NYE,32,023,NV 
89046,Searchlight,Nevada ,CLARK,32,003,NV 
89043,Pioche,Nevada ,LINCOLN,32,017,NV 
89044,Henderson,Nevada ,CLARK,32,003,NV 
89052,Henderson,Nevada ,CLARK,32,003,NV 
89049,Tonopah,Nevada ,NYE,32,023,NV 
89048,Pahrump,Nevada ,NYE,32,023,NV 
89053,Henderson,Nevada ,CLARK,32,003,NV 
89060,Pahrump,Nevada ,NYE,32,023,NV 
89074,Henderson,Nevada ,CLARK,32,003,NV 
89067,Coyote Springs,Nevada ,CLARK,32,003,NV 
89054,Sloan,Nevada ,CLARK,32,003,NV 
89077,Henderson,Nevada ,CLARK,32,003,NV 
89070,Indian Springs,Nevada ,CLARK,32,003,NV 
89061,Pahrump,Nevada ,NYE,32,023,NV 
89081,North Las Vegas,Nevada ,CLARK,32,003,NV 
89101,Las Vegas,Nevada ,CLARK,32,003,NV 
89103,Las Vegas,Nevada ,CLARK,32,003,NV 
89102,Las Vegas,Nevada ,CLARK,32,003,NV 
89087,North Las Vegas,Nevada ,CLARK,32,003,NV 
89086,North Las Vegas,Nevada ,CLARK,32,003,NV 
89085,North Las Vegas,Nevada ,CLARK,32,003,NV 
89084,North Las Vegas,Nevada ,CLARK,32,003,NV 
89104,Las Vegas,Nevada ,CLARK,32,003,NV 
