03031,Amherst,New Hampshire ,HILLSBOROUGH,33,011,NH 
03032,Auburn,New Hampshire ,ROCKINGHAM,33,015,NH 
03038,Derry,New Hampshire ,ROCKINGHAM,33,015,NH 
03036,Chester,New Hampshire ,ROCKINGHAM,33,015,NH 
03033,Brookline,New Hampshire ,HILLSBOROUGH,33,011,NH 
03037,Deerfield,New Hampshire ,ROCKINGHAM,33,015,NH 
03040,East Candia,New Hampshire ,ROCKINGHAM,33,015,NH 
03034,Candia,New Hampshire ,ROCKINGHAM,33,015,NH 
03041,East Derry,New Hampshire ,ROCKINGHAM,33,015,NH 
03044,Fremont,New Hampshire ,ROCKINGHAM,33,015,NH 
03043,Francestown,New Hampshire ,HILLSBOROUGH,33,011,NH 
03042,Epping,New Hampshire ,ROCKINGHAM,33,015,NH 
03048,Greenville,New Hampshire ,HILLSBOROUGH,33,011,NH 
03047,Greenfield,New Hampshire ,HILLSBOROUGH,33,011,NH 
03045,Goffstown,New Hampshire ,HILLSBOROUGH,33,011,NH 
03046,Dunbarton,New Hampshire ,MERRIMACK,33,013,NH 
03049,Hollis,New Hampshire ,HILLSBOROUGH,33,011,NH 
03051,Hudson,New Hampshire ,HILLSBOROUGH,33,011,NH 
03054,Merrimack,New Hampshire ,HILLSBOROUGH,33,011,NH 
03055,Milford,New Hampshire ,HILLSBOROUGH,33,011,NH 
03057,Mont Vernon,New Hampshire ,HILLSBOROUGH,33,011,NH 
03060,Nashua,New Hampshire ,HILLSBOROUGH,33,011,NH 
03052,Litchfield,New Hampshire ,HILLSBOROUGH,33,011,NH 
03053,Londonderry,New Hampshire ,ROCKINGHAM,33,015,NH 
03061,Nashua,New Hampshire ,HILLSBOROUGH,33,011,NH 
03062,Nashua,New Hampshire ,HILLSBOROUGH,33,011,NH 
03071,New Ipswich,New Hampshire ,HILLSBOROUGH,33,011,NH 
03064,Nashua,New Hampshire ,HILLSBOROUGH,33,011,NH 
03073,North Salem,New Hampshire ,ROCKINGHAM,33,015,NH 
03063,Nashua,New Hampshire ,HILLSBOROUGH,33,011,NH 
03070,New Boston,New Hampshire ,HILLSBOROUGH,33,011,NH 
03076,Pelham,New Hampshire ,HILLSBOROUGH,33,011,NH 
03077,Raymond,New Hampshire ,ROCKINGHAM,33,015,NH 
03079,Salem,New Hampshire ,ROCKINGHAM,33,015,NH 
03084,Temple,New Hampshire ,HILLSBOROUGH,33,011,NH 
03087,Windham,New Hampshire ,ROCKINGHAM,33,015,NH 
03102,Manchester,New Hampshire ,HILLSBOROUGH,33,011,NH 
03082,Lyndeborough,New Hampshire ,HILLSBOROUGH,33,011,NH 
