07003,Bloomfield,New Jersey ,ESSEX,34,013,NJ 
07004,Fairfield,New Jersey ,ESSEX,34,013,NJ 
07006,Caldwell,New Jersey ,ESSEX,34,013,NJ 
07007,Caldwell,New Jersey ,ESSEX,34,013,NJ 
07001,Avenel,New Jersey ,MIDDLESEX,34,023,NJ 
07002,Bayonne,New Jersey ,HUDSON,34,017,NJ 
07008,Carteret,New Jersey ,MIDDLESEX,34,023,NJ 
07005,Boonton,New Jersey ,MORRIS,34,027,NJ 
07009,Cedar Grove,New Jersey ,ESSEX,34,013,NJ 
07012,Clifton,New Jersey ,PASSAIC,34,031,NJ 
07015,Clifton,New Jersey ,PASSAIC,34,031,NJ 
07011,Clifton,New Jersey ,PASSAIC,34,031,NJ 
07010,Cliffside Park,New Jersey ,BERGEN,34,003,NJ 
07014,Clifton,New Jersey ,PASSAIC,34,031,NJ 
07013,Clifton,New Jersey ,PASSAIC,34,031,NJ 
07016,Cranford,New Jersey ,UNION,34,039,NJ 
07017,East Orange,New Jersey ,ESSEX,34,013,NJ 
07019,East Orange,New Jersey ,ESSEX,34,013,NJ 
07018,East Orange,New Jersey ,ESSEX,34,013,NJ 
07020,Edgewater,New Jersey ,BERGEN,34,003,NJ 
07024,Fort Lee,New Jersey ,BERGEN,34,003,NJ 
07021,Essex Fells,New Jersey ,ESSEX,34,013,NJ 
07022,Fairview,New Jersey ,BERGEN,34,003,NJ 
07023,Fanwood,New Jersey ,UNION,34,039,NJ 
07026,Garfield,New Jersey ,BERGEN,34,003,NJ 
07027,Garwood,New Jersey ,UNION,34,039,NJ 
07033,Kenilworth,New Jersey ,UNION,34,039,NJ 
07028,Glen Ridge,New Jersey ,ESSEX,34,013,NJ 
07032,Kearny,New Jersey ,HUDSON,34,017,NJ 
07029,Harrison,New Jersey ,HUDSON,34,017,NJ 
07030,Hoboken,New Jersey ,HUDSON,34,017,NJ 
07031,North Arlington,New Jersey ,BERGEN,34,003,NJ 
07036,Linden,New Jersey ,UNION,34,039,NJ 
07034,Lake Hiawatha,New Jersey ,MORRIS,34,027,NJ 
07035,Lincoln Park,New Jersey ,MORRIS,34,027,NJ 
07039,Livingston,New Jersey ,ESSEX,34,013,NJ 
07043,Montclair,New Jersey ,ESSEX,34,013,NJ 
07042,Montclair,New Jersey ,ESSEX,34,013,NJ 
07041,Millburn,New Jersey ,ESSEX,34,013,NJ 
07040,Maplewood,New Jersey ,ESSEX,34,013,NJ 
07044,Verona,New Jersey ,ESSEX,34,013,NJ 
07050,Orange,New Jersey ,ESSEX,34,013,NJ 
07054,Parsippany,New Jersey ,MORRIS,34,027,NJ 
07045,Montville,New Jersey ,MORRIS,34,027,NJ 
07051,Orange,New Jersey ,ESSEX,34,013,NJ 
07046,Mountain Lakes,New Jersey ,MORRIS,34,027,NJ 
07052,West Orange,New Jersey ,ESSEX,34,013,NJ 
07047,North Bergen,New Jersey ,HUDSON,34,017,NJ 
07057,Wallington,New Jersey ,BERGEN,34,003,NJ 
07059,Warren,New Jersey ,SOMERSET,34,035,NJ 
07058,Pine Brook,New Jersey ,MORRIS,34,027,NJ 
07062,Plainfield,New Jersey ,UNION,34,039,NJ 
07060,Plainfield,New Jersey ,UNION,34,039,NJ 
07061,Plainfield,New Jersey ,UNION,34,039,NJ 
07055,Passaic,New Jersey ,PASSAIC,34,031,NJ 
07063,Plainfield,New Jersey ,UNION,34,039,NJ 
07064,Port Reading,New Jersey ,MIDDLESEX,34,023,NJ 
07070,Rutherford,New Jersey ,BERGEN,34,003,NJ 
07065,Rahway,New Jersey ,UNION,34,039,NJ 
07069,Watchung,New Jersey ,SOMERSET,34,035,NJ 
07071,Lyndhurst,New Jersey ,BERGEN,34,003,NJ 
07066,Clark,New Jersey ,UNION,34,039,NJ 
07068,Roseland,New Jersey ,ESSEX,34,013,NJ 
07067,Colonia,New Jersey ,MIDDLESEX,34,023,NJ 
07072,Carlstadt,New Jersey ,BERGEN,34,003,NJ 
07078,Short Hills,New Jersey ,ESSEX,34,013,NJ 
07073,East Rutherford,New Jersey ,BERGEN,34,003,NJ 
07080,South Plainfield,New Jersey ,MIDDLESEX,34,023,NJ 
07075,Wood Ridge,New Jersey ,BERGEN,34,003,NJ 
07079,South Orange,New Jersey ,ESSEX,34,013,NJ 
07076,Scotch Plains,New Jersey ,UNION,34,039,NJ 
07074,Moonachie,New Jersey ,BERGEN,34,003,NJ 
07077,Sewaren,New Jersey ,MIDDLESEX,34,023,NJ 
07081,Springfield,New Jersey ,UNION,34,039,NJ 
07090,Westfield,New Jersey ,UNION,34,039,NJ 
07083,Union,New Jersey ,UNION,34,039,NJ 
07082,Towaco,New Jersey ,MORRIS,34,027,NJ 
07086,Weehawken,New Jersey ,HUDSON,34,017,NJ 
07087,Union City,New Jersey ,HUDSON,34,017,NJ 
07091,Westfield,New Jersey ,UNION,34,039,NJ 
07088,Vauxhall,New Jersey ,UNION,34,039,NJ 
07092,Mountainside,New Jersey ,UNION,34,039,NJ 
07093,West New York,New Jersey ,HUDSON,34,017,NJ 
07099,Kearny,New Jersey ,HUDSON,34,017,NJ 
07094,Secaucus,New Jersey ,HUDSON,34,017,NJ 
07095,Woodbridge,New Jersey ,MIDDLESEX,34,023,NJ 
07101,Newark,New Jersey ,ESSEX,34,013,NJ 
07097,Jersey City,New Jersey ,HUDSON,34,017,NJ 
07096,Secaucus,New Jersey ,HUDSON,34,017,NJ 
07102,Newark,New Jersey ,ESSEX,34,013,NJ 
07108,Newark,New Jersey ,ESSEX,34,013,NJ 
07109,Belleville,New Jersey ,ESSEX,34,013,NJ 
07106,Newark,New Jersey ,ESSEX,34,013,NJ 
07104,Newark,New Jersey ,ESSEX,34,013,NJ 
07103,Newark,New Jersey ,ESSEX,34,013,NJ 
07105,Newark,New Jersey ,ESSEX,34,013,NJ 
07107,Newark,New Jersey ,ESSEX,34,013,NJ 
07110,Nutley,New Jersey ,ESSEX,34,013,NJ 
07112,Newark,New Jersey ,ESSEX,34,013,NJ 
07111,Irvington,New Jersey ,ESSEX,34,013,NJ 
07114,Newark,New Jersey ,ESSEX,34,013,NJ 
07188,Newark,New Jersey ,ESSEX,34,013,NJ 
07175,Newark,New Jersey ,ESSEX,34,013,NJ 
07189,Newark,New Jersey ,ESSEX,34,013,NJ 
07184,Newark,New Jersey ,ESSEX,34,013,NJ 
07191,Newark,New Jersey ,ESSEX,34,013,NJ 
07192,Newark,New Jersey ,ESSEX,34,013,NJ 
07193,Newark,New Jersey ,ESSEX,34,013,NJ 
07195,Newark,New Jersey ,ESSEX,34,013,NJ 
07198,Newark,New Jersey ,ESSEX,34,013,NJ 
07202,Elizabeth,New Jersey ,UNION,34,039,NJ 
07201,Elizabeth,New Jersey ,UNION,34,039,NJ 
07199,Newark,New Jersey ,ESSEX,34,013,NJ 
07203,Roselle,New Jersey ,UNION,34,039,NJ 
07204,Roselle Park,New Jersey ,UNION,34,039,NJ 
07206,Elizabethport,New Jersey ,UNION,34,039,NJ 
07302,Jersey City,New Jersey ,HUDSON,34,017,NJ 
07205,Hillside,New Jersey ,UNION,34,039,NJ 
07304,Jersey City,New Jersey ,HUDSON,34,017,NJ 
07207,Elizabeth,New Jersey ,UNION,34,039,NJ 
