87004,Bernalillo,New Mexico ,SANDOVAL,35,043,NM 
87002,Belen,New Mexico ,VALENCIA,35,061,NM 
87006,Bosque,New Mexico ,VALENCIA,35,061,NM 
87009,Cedarvale,New Mexico ,TORRANCE,35,057,NM 
87001,Algodones,New Mexico ,SANDOVAL,35,043,NM 
87008,Cedar Crest,New Mexico ,BERNALILLO,35,001,NM 
87005,Bluewater,New Mexico ,CIBOLA,35,006,NM 
87007,Casa Blanca,New Mexico ,CIBOLA,35,006,NM 
87013,Cuba,New Mexico ,SANDOVAL,35,043,NM 
87010,Cerrillos,New Mexico ,SANTA FE,35,049,NM 
87015,Edgewood,New Mexico ,SANTA FE,35,049,NM 
87012,Coyote,New Mexico ,RIO ARRIBA,35,039,NM 
87011,Claunch,New Mexico ,SOCORRO,35,053,NM 
87016,Estancia,New Mexico ,TORRANCE,35,057,NM 
87014,Cubero,New Mexico ,CIBOLA,35,006,NM 
87017,Gallina,New Mexico ,RIO ARRIBA,35,039,NM 
87018,Counselor,New Mexico ,SANDOVAL,35,043,NM 
87024,Jemez Pueblo,New Mexico ,SANDOVAL,35,043,NM 
87025,Jemez Springs,New Mexico ,SANDOVAL,35,043,NM 
87023,Jarales,New Mexico ,VALENCIA,35,061,NM 
87020,Grants,New Mexico ,CIBOLA,35,006,NM 
87026,Laguna,New Mexico ,CIBOLA,35,006,NM 
87022,Isleta,New Mexico ,BERNALILLO,35,001,NM 
87021,Milan,New Mexico ,CIBOLA,35,006,NM 
87027,La Jara,New Mexico ,SANDOVAL,35,043,NM 
87028,La Joya,New Mexico ,SOCORRO,35,053,NM 
87034,Pueblo Of Acoma,New Mexico ,CIBOLA,35,006,NM 
87032,Mcintosh,New Mexico ,TORRANCE,35,057,NM 
87031,Los Lunas,New Mexico ,VALENCIA,35,061,NM 
87036,Mountainair,New Mexico ,TORRANCE,35,057,NM 
87035,Moriarty,New Mexico ,TORRANCE,35,057,NM 
87029,Lindrith,New Mexico ,RIO ARRIBA,35,039,NM 
87037,Nageezi,New Mexico ,SAN JUAN,35,045,NM 
87038,New Laguna,New Mexico ,CIBOLA,35,006,NM 
