10001,New York,New York ,NEW YORK,36,061,NY 
06390,Fishers Island,New York ,SUFFOLK,36,103,NY 
10002,New York,New York ,NEW YORK,36,061,NY 
10003,New York,New York ,NEW YORK,36,061,NY 
10005,New York,New York ,NEW YORK,36,061,NY 
00544,Holtsville,New York ,SUFFOLK,36,103,NY 
10004,New York,New York ,NEW YORK,36,061,NY 
00501,Holtsville,New York ,SUFFOLK,36,103,NY 
10006,New York,New York ,NEW YORK,36,061,NY 
10008,New York,New York ,NEW YORK,36,061,NY 
10009,New York,New York ,NEW YORK,36,061,NY 
10013,New York,New York ,NEW YORK,36,061,NY 
10012,New York,New York ,NEW YORK,36,061,NY 
10007,New York,New York ,NEW YORK,36,061,NY 
10011,New York,New York ,NEW YORK,36,061,NY 
10010,New York,New York ,NEW YORK,36,061,NY 
10014,New York,New York ,NEW YORK,36,061,NY 
10018,New York,New York ,NEW YORK,36,061,NY 
10020,New York,New York ,NEW YORK,36,061,NY 
10017,New York,New York ,NEW YORK,36,061,NY 
10022,New York,New York ,NEW YORK,36,061,NY 
10019,New York,New York ,NEW YORK,36,061,NY 
10021,New York,New York ,NEW YORK,36,061,NY 
10016,New York,New York ,NEW YORK,36,061,NY 
10023,New York,New York ,NEW YORK,36,061,NY 
10026,New York,New York ,NEW YORK,36,061,NY 
10025,New York,New York ,NEW YORK,36,061,NY 
10028,New York,New York ,NEW YORK,36,061,NY 
10024,New York,New York ,NEW YORK,36,061,NY 
10030,New York,New York ,NEW YORK,36,061,NY 
10027,New York,New York ,NEW YORK,36,061,NY 
10029,New York,New York ,NEW YORK,36,061,NY 
10031,New York,New York ,NEW YORK,36,061,NY 
10032,New York,New York ,NEW YORK,36,061,NY 
10038,New York,New York ,NEW YORK,36,061,NY 
10035,New York,New York ,NEW YORK,36,061,NY 
10036,New York,New York ,NEW YORK,36,061,NY 
10033,New York,New York ,NEW YORK,36,061,NY 
10037,New York,New York ,NEW YORK,36,061,NY 
10034,New York,New York ,NEW YORK,36,061,NY 
10039,New York,New York ,NEW YORK,36,061,NY 
10041,New York,New York ,NEW YORK,36,061,NY 
10040,New York,New York ,NEW YORK,36,061,NY 
10060,New York,New York ,NEW YORK,36,061,NY 
10055,New York,New York ,NEW YORK,36,061,NY 
10044,New York,New York ,NEW YORK,36,061,NY 
10043,New York,New York ,NEW YORK,36,061,NY 
10045,New York,New York ,NEW YORK,36,061,NY 
10065,New York,New York ,NEW YORK,36,061,NY 
10069,New York,New York ,NEW YORK,36,061,NY 
10075,New York,New York ,NEW YORK,36,061,NY 
10081,New York,New York ,NEW YORK,36,061,NY 
10090,New York,New York ,NEW YORK,36,061,NY 
10101,New York,New York ,NEW YORK,36,061,NY 
10080,New York,New York ,NEW YORK,36,061,NY 
10087,New York,New York ,NEW YORK,36,061,NY 
10103,New York,New York ,NEW YORK,36,061,NY 
10102,New York,New York ,NEW YORK,36,061,NY 
10104,New York,New York ,NEW YORK,36,061,NY 
10105,New York,New York ,NEW YORK,36,061,NY 
10108,New York,New York ,NEW YORK,36,061,NY 
10109,New York,New York ,NEW YORK,36,061,NY 
10106,New York,New York ,NEW YORK,36,061,NY 
10107,New York,New York ,NEW YORK,36,061,NY 
10110,New York,New York ,NEW YORK,36,061,NY 
10111,New York,New York ,NEW YORK,36,061,NY 
10112,New York,New York ,NEW YORK,36,061,NY 
10113,New York,New York ,NEW YORK,36,061,NY 
10119,New York,New York ,NEW YORK,36,061,NY 
10114,New York,New York ,NEW YORK,36,061,NY 
10116,New York,New York ,NEW YORK,36,061,NY 
10117,New York,New York ,NEW YORK,36,061,NY 
10115,New York,New York ,NEW YORK,36,061,NY 
10118,New York,New York ,NEW YORK,36,061,NY 
10120,New York,New York ,NEW YORK,36,061,NY 
10121,New York,New York ,NEW YORK,36,061,NY 
10124,New York,New York ,NEW YORK,36,061,NY 
10122,New York,New York ,NEW YORK,36,061,NY 
10126,New York,New York ,NEW YORK,36,061,NY 
10128,New York,New York ,NEW YORK,36,061,NY 
10125,New York,New York ,NEW YORK,36,061,NY 
10129,New York,New York ,NEW YORK,36,061,NY 
10123,New York,New York ,NEW YORK,36,061,NY 
10130,New York,New York ,NEW YORK,36,061,NY 
10131,New York,New York ,NEW YORK,36,061,NY 
10132,New York,New York ,NEW YORK,36,061,NY 
10133,New York,New York ,NEW YORK,36,061,NY 
10138,New York,New York ,NEW YORK,36,061,NY 
10152,New York,New York ,NEW YORK,36,061,NY 
10151,New York,New York ,NEW YORK,36,061,NY 
10150,New York,New York ,NEW YORK,36,061,NY 
10153,New York,New York ,NEW YORK,36,061,NY 
10156,New York,New York ,NEW YORK,36,061,NY 
10159,New York,New York ,NEW YORK,36,061,NY 
10158,New York,New York ,NEW YORK,36,061,NY 
10154,New York,New York ,NEW YORK,36,061,NY 
10155,New York,New York ,NEW YORK,36,061,NY 
10157,New York,New York ,NEW YORK,36,061,NY 
10160,New York,New York ,NEW YORK,36,061,NY 
10162,New York,New York ,NEW YORK,36,061,NY 
10166,New York,New York ,NEW YORK,36,061,NY 
10163,New York,New York ,NEW YORK,36,061,NY 
10165,New York,New York ,NEW YORK,36,061,NY 
10164,New York,New York ,NEW YORK,36,061,NY 
10167,New York,New York ,NEW YORK,36,061,NY 
10169,New York,New York ,NEW YORK,36,061,NY 
10170,New York,New York ,NEW YORK,36,061,NY 
10168,New York,New York ,NEW YORK,36,061,NY 
10175,New York,New York ,NEW YORK,36,061,NY 
10174,New York,New York ,NEW YORK,36,061,NY 
10171,New York,New York ,NEW YORK,36,061,NY 
10172,New York,New York ,NEW YORK,36,061,NY 
10173,New York,New York ,NEW YORK,36,061,NY 
10176,New York,New York ,NEW YORK,36,061,NY 
10177,New York,New York ,NEW YORK,36,061,NY 
10178,New York,New York ,NEW YORK,36,061,NY 
10179,New York,New York ,NEW YORK,36,061,NY 
10199,New York,New York ,NEW YORK,36,061,NY 
10212,New York,New York ,NEW YORK,36,061,NY 
10211,New York,New York ,NEW YORK,36,061,NY 
10203,New York,New York ,NEW YORK,36,061,NY 
10185,New York,New York ,NEW YORK,36,061,NY 
10242,New York,New York ,NEW YORK,36,061,NY 
10213,New York,New York ,NEW YORK,36,061,NY 
10261,New York,New York ,NEW YORK,36,061,NY 
10268,New York,New York ,NEW YORK,36,061,NY 
10258,New York,New York ,NEW YORK,36,061,NY 
10265,New York,New York ,NEW YORK,36,061,NY 
10249,New York,New York ,NEW YORK,36,061,NY 
10256,New York,New York ,NEW YORK,36,061,NY 
10260,New York,New York ,NEW YORK,36,061,NY 
10259,New York,New York ,NEW YORK,36,061,NY 
10269,New York,New York ,NEW YORK,36,061,NY 
10272,New York,New York ,NEW YORK,36,061,NY 
10276,New York,New York ,NEW YORK,36,061,NY 
10274,New York,New York ,NEW YORK,36,061,NY 
10271,New York,New York ,NEW YORK,36,061,NY 
10273,New York,New York ,NEW YORK,36,061,NY 
10270,New York,New York ,NEW YORK,36,061,NY 
10275,New York,New York ,NEW YORK,36,061,NY 
10277,New York,New York ,NEW YORK,36,061,NY 
10278,New York,New York ,NEW YORK,36,061,NY 
10279,New York,New York ,NEW YORK,36,061,NY 
10280,New York,New York ,NEW YORK,36,061,NY 
10285,New York,New York ,NEW YORK,36,061,NY 
10286,New York,New York ,NEW YORK,36,061,NY 
10281,New York,New York ,NEW YORK,36,061,NY 
10282,New York,New York ,NEW YORK,36,061,NY 
10301,Staten Island,New York ,RICHMOND,36,085,NY 
10302,Staten Island,New York ,RICHMOND,36,085,NY 
10307,Staten Island,New York ,RICHMOND,36,085,NY 
10303,Staten Island,New York ,RICHMOND,36,085,NY 
10305,Staten Island,New York ,RICHMOND,36,085,NY 
10308,Staten Island,New York ,RICHMOND,36,085,NY 
10304,Staten Island,New York ,RICHMOND,36,085,NY 
10306,Staten Island,New York ,RICHMOND,36,085,NY 
10309,Staten Island,New York ,RICHMOND,36,085,NY 
10310,Staten Island,New York ,RICHMOND,36,085,NY 
10311,Staten Island,New York ,RICHMOND,36,085,NY 
10451,Bronx,New York ,BRONX,36,005,NY 
10312,Staten Island,New York ,RICHMOND,36,085,NY 
10313,Staten Island,New York ,RICHMOND,36,085,NY 
10452,Bronx,New York ,BRONX,36,005,NY 
10314,Staten Island,New York ,RICHMOND,36,085,NY 
10453,Bronx,New York ,BRONX,36,005,NY 
10454,Bronx,New York ,BRONX,36,005,NY 
10456,Bronx,New York ,BRONX,36,005,NY 
10455,Bronx,New York ,BRONX,36,005,NY 
10459,Bronx,New York ,BRONX,36,005,NY 
