58002,Absaraka,North Dakota ,CASS,38,017,ND 
58004,Amenia,North Dakota ,CASS,38,017,ND 
58006,Arthur,North Dakota ,CASS,38,017,ND 
58009,Blanchard,North Dakota ,TRAILL,38,097,ND 
58007,Ayr,North Dakota ,CASS,38,017,ND 
58005,Argusville,North Dakota ,CASS,38,017,ND 
58001,Abercrombie,North Dakota ,RICHLAND,38,077,ND 
58008,Barney,North Dakota ,RICHLAND,38,077,ND 
58013,Cayuga,North Dakota ,SARGENT,38,081,ND 
58012,Casselton,North Dakota ,CASS,38,017,ND 
58011,Buffalo,North Dakota ,CASS,38,017,ND 
58021,Davenport,North Dakota ,CASS,38,017,ND 
58018,Colfax,North Dakota ,RICHLAND,38,077,ND 
58016,Clifford,North Dakota ,TRAILL,38,097,ND 
58015,Christine,North Dakota ,RICHLAND,38,077,ND 
58017,Cogswell,North Dakota ,SARGENT,38,081,ND 
58030,Fairmount,North Dakota ,RICHLAND,38,077,ND 
58027,Enderlin,North Dakota ,RANSOM,38,073,ND 
58029,Erie,North Dakota ,CASS,38,017,ND 
58031,Fingal,North Dakota ,BARNES,38,003,ND 
58033,Fort Ransom,North Dakota ,RANSOM,38,073,ND 
58036,Gardner,North Dakota ,CASS,38,017,ND 
58032,Forman,North Dakota ,SARGENT,38,081,ND 
58035,Galesburg,North Dakota ,TRAILL,38,097,ND 
58038,Grandin,North Dakota ,CASS,38,017,ND 
58040,Gwinner,North Dakota ,SARGENT,38,081,ND 
58041,Hankinson,North Dakota ,RICHLAND,38,077,ND 
58042,Harwood,North Dakota ,CASS,38,017,ND 
58045,Hillsboro,North Dakota ,TRAILL,38,097,ND 
58043,Havana,North Dakota ,SARGENT,38,081,ND 
58047,Horace,North Dakota ,CASS,38,017,ND 
58046,Hope,North Dakota ,STEELE,38,091,ND 
58048,Hunter,North Dakota ,CASS,38,017,ND 
58049,Kathryn,North Dakota ,BARNES,38,003,ND 
58052,Leonard,North Dakota ,CASS,38,017,ND 
58057,Mcleod,North Dakota ,RICHLAND,38,077,ND 
58056,Luverne,North Dakota ,STEELE,38,091,ND 
58054,Lisbon,North Dakota ,RANSOM,38,073,ND 
58053,Lidgerwood,North Dakota ,RICHLAND,38,077,ND 
58051,Kindred,North Dakota ,CASS,38,017,ND 
58058,Mantador,North Dakota ,RICHLAND,38,077,ND 
58059,Mapleton,North Dakota ,CASS,38,017,ND 
58061,Mooreton,North Dakota ,RICHLAND,38,077,ND 
58064,Page,North Dakota ,CASS,38,017,ND 
58067,Rutland,North Dakota ,SARGENT,38,081,ND 
58062,Nome,North Dakota ,BARNES,38,003,ND 
58063,Oriska,North Dakota ,BARNES,38,003,ND 
58065,Pillsbury,North Dakota ,BARNES,38,003,ND 
58060,Milnor,North Dakota ,SARGENT,38,081,ND 
58068,Sheldon,North Dakota ,RANSOM,38,073,ND 
58069,Stirum,North Dakota ,SARGENT,38,081,ND 
58071,Tower City,North Dakota ,CASS,38,017,ND 
58072,Valley City,North Dakota ,BARNES,38,003,ND 
58076,Wahpeton,North Dakota ,RICHLAND,38,077,ND 
58078,West Fargo,North Dakota ,CASS,38,017,ND 
58075,Wahpeton,North Dakota ,RICHLAND,38,077,ND 
58077,Walcott,North Dakota ,RICHLAND,38,077,ND 
58074,Wahpeton,North Dakota ,RICHLAND,38,077,ND 
58079,Wheatland,North Dakota ,CASS,38,017,ND 
58107,Fargo,North Dakota ,CASS,38,017,ND 
58105,Fargo,North Dakota ,CASS,38,017,ND 
58104,Fargo,North Dakota ,CASS,38,017,ND 
58103,Fargo,North Dakota ,CASS,38,017,ND 
58102,Fargo,North Dakota ,CASS,38,017,ND 
58106,Fargo,North Dakota ,CASS,38,017,ND 
58081,Wyndmere,North Dakota ,RICHLAND,38,077,ND 
58108,Fargo,North Dakota ,CASS,38,017,ND 
58109,Fargo,North Dakota ,CASS,38,017,ND 
58121,Fargo,North Dakota ,CASS,38,017,ND 
58125,Fargo,North Dakota ,CASS,38,017,ND 
58124,Fargo,North Dakota ,CASS,38,017,ND 
58122,Fargo,North Dakota ,CASS,38,017,ND 
58126,Fargo,North Dakota ,CASS,38,017,ND 
58201,Grand Forks,North Dakota ,GRAND FORKS,38,035,ND 
