73005,Anadarko,Oklahoma ,CADDO,40,015,OK 
73002,Alex,Oklahoma ,GRADY,40,051,OK 
73001,Albert,Oklahoma ,CADDO,40,015,OK 
73004,Amber,Oklahoma ,GRADY,40,051,OK 
73007,Arcadia,Oklahoma ,OKLAHOMA,40,109,OK 
73003,Edmond,Oklahoma ,OKLAHOMA,40,109,OK 
73008,Bethany,Oklahoma ,OKLAHOMA,40,109,OK 
73006,Apache,Oklahoma ,CADDO,40,015,OK 
73009,Binger,Oklahoma ,CADDO,40,015,OK 
73012,Edmond,Oklahoma ,OKLAHOMA,40,109,OK 
73015,Carnegie,Oklahoma ,CADDO,40,015,OK 
73013,Edmond,Oklahoma ,OKLAHOMA,40,109,OK 
73010,Blanchard,Oklahoma ,MCCLAIN,40,087,OK 
73011,Bradley,Oklahoma ,GRADY,40,051,OK 
73014,Calumet,Oklahoma ,CANADIAN,40,017,OK 
73016,Cashion,Oklahoma ,KINGFISHER,40,073,OK 
73017,Cement,Oklahoma ,CADDO,40,015,OK 
73018,Chickasha,Oklahoma ,GRADY,40,051,OK 
73019,Norman,Oklahoma ,CLEVELAND,40,027,OK 
73022,Concho,Oklahoma ,CANADIAN,40,017,OK 
73021,Colony,Oklahoma ,WASHITA,40,149,OK 
73024,Corn,Oklahoma ,WASHITA,40,149,OK 
73023,Chickasha,Oklahoma ,GRADY,40,051,OK 
73020,Choctaw,Oklahoma ,OKLAHOMA,40,109,OK 
73029,Cyril,Oklahoma ,CADDO,40,015,OK 
73026,Norman,Oklahoma ,CLEVELAND,40,027,OK 
73025,Edmond,Oklahoma ,OKLAHOMA,40,109,OK 
73032,Dougherty,Oklahoma ,MURRAY,40,099,OK 
73027,Coyle,Oklahoma ,LOGAN,40,083,OK 
73030,Davis,Oklahoma ,MURRAY,40,099,OK 
73031,Dibble,Oklahoma ,MCCLAIN,40,087,OK 
73028,Crescent,Oklahoma ,LOGAN,40,083,OK 
73033,Eakly,Oklahoma ,CADDO,40,015,OK 
73034,Edmond,Oklahoma ,OKLAHOMA,40,109,OK 
73039,Davis,Oklahoma ,MURRAY,40,099,OK 
73038,Fort Cobb,Oklahoma ,CADDO,40,015,OK 
73042,Gracemont,Oklahoma ,CADDO,40,015,OK 
73036,El Reno,Oklahoma ,CANADIAN,40,017,OK 
73040,Geary,Oklahoma ,BLAINE,40,011,OK 
73041,Gotebo,Oklahoma ,KIOWA,40,075,OK 
73043,Greenfield,Oklahoma ,BLAINE,40,011,OK 
73051,Lexington,Oklahoma ,CLEVELAND,40,027,OK 
73044,Guthrie,Oklahoma ,LOGAN,40,083,OK 
73049,Jones,Oklahoma ,OKLAHOMA,40,109,OK 
73045,Harrah,Oklahoma ,OKLAHOMA,40,109,OK 
73050,Langston,Oklahoma ,LOGAN,40,083,OK 
73048,Hydro,Oklahoma ,CADDO,40,015,OK 
73047,Hinton,Oklahoma ,CADDO,40,015,OK 
73052,Lindsay,Oklahoma ,GARVIN,40,049,OK 
73055,Marlow,Oklahoma ,STEPHENS,40,137,OK 
73056,Marshall,Oklahoma ,LOGAN,40,083,OK 
73058,Meridian,Oklahoma ,LOGAN,40,083,OK 
73057,Maysville,Oklahoma ,GARVIN,40,049,OK 
73053,Lookeba,Oklahoma ,CADDO,40,015,OK 
73054,Luther,Oklahoma ,OKLAHOMA,40,109,OK 
73059,Minco,Oklahoma ,GRADY,40,051,OK 
73061,Morrison,Oklahoma ,NOBLE,40,103,OK 
73063,Mulhall,Oklahoma ,LOGAN,40,083,OK 
73068,Noble,Oklahoma ,CLEVELAND,40,027,OK 
73064,Mustang,Oklahoma ,CANADIAN,40,017,OK 
73065,Newcastle,Oklahoma ,MCCLAIN,40,087,OK 
73069,Norman,Oklahoma ,CLEVELAND,40,027,OK 
73062,Mountain View,Oklahoma ,KIOWA,40,075,OK 
73067,Ninnekah,Oklahoma ,GRADY,40,051,OK 
73066,Nicoma Park,Oklahoma ,OKLAHOMA,40,109,OK 
73070,Norman,Oklahoma ,CLEVELAND,40,027,OK 
73071,Norman,Oklahoma ,CLEVELAND,40,027,OK 
73075,Pauls Valley,Oklahoma ,GARVIN,40,049,OK 
73078,Piedmont,Oklahoma ,CANADIAN,40,017,OK 
73074,Paoli,Oklahoma ,GARVIN,40,049,OK 
73072,Norman,Oklahoma ,CLEVELAND,40,027,OK 
73073,Orlando,Oklahoma ,LOGAN,40,083,OK 
73077,Perry,Oklahoma ,NOBLE,40,103,OK 
73079,Pocasset,Oklahoma ,GRADY,40,051,OK 
73080,Purcell,Oklahoma ,MCCLAIN,40,087,OK 
73082,Rush Springs,Oklahoma ,GRADY,40,051,OK 
73086,Sulphur,Oklahoma ,MURRAY,40,099,OK 
73083,Edmond,Oklahoma ,OKLAHOMA,40,109,OK 
73085,Yukon,Oklahoma ,CANADIAN,40,017,OK 
73089,Tuttle,Oklahoma ,GRADY,40,051,OK 
73084,Spencer,Oklahoma ,OKLAHOMA,40,109,OK 
73090,Union City,Oklahoma ,CANADIAN,40,017,OK 
73097,Wheatland,Oklahoma ,OKLAHOMA,40,109,OK 
73096,Weatherford,Oklahoma ,CUSTER,40,039,OK 
73093,Washington,Oklahoma ,MCCLAIN,40,087,OK 
73098,Wynnewood,Oklahoma ,GARVIN,40,049,OK 
73092,Verden,Oklahoma ,GRADY,40,051,OK 
73099,Yukon,Oklahoma ,CANADIAN,40,017,OK 
73101,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73095,Wayne,Oklahoma ,MCCLAIN,40,087,OK 
73107,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73104,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73108,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73109,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73102,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73105,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73103,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73106,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73111,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73117,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73115,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73110,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73116,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73114,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73113,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73112,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73118,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73123,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73125,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73119,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73124,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73122,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73120,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
73121,Oklahoma City,Oklahoma ,OKLAHOMA,40,109,OK 
