97003,Beaverton,Oregon ,WASHINGTON,41,067,OR 
97008,Beaverton,Oregon ,WASHINGTON,41,067,OR 
97001,Antelope,Oregon ,WASCO,41,065,OR 
97006,Beaverton,Oregon ,WASHINGTON,41,067,OR 
97002,Aurora,Oregon ,MARION,41,047,OR 
97007,Beaverton,Oregon ,WASHINGTON,41,067,OR 
97004,Beavercreek,Oregon ,CLACKAMAS,41,005,OR 
97005,Beaverton,Oregon ,WASHINGTON,41,067,OR 
97010,Bridal Veil,Oregon ,MULTNOMAH,41,051,OR 
97011,Brightwood,Oregon ,CLACKAMAS,41,005,OR 
97013,Canby,Oregon ,CLACKAMAS,41,005,OR 
97016,Clatskanie,Oregon ,COLUMBIA,41,009,OR 
97017,Colton,Oregon ,CLACKAMAS,41,005,OR 
97009,Boring,Oregon ,CLACKAMAS,41,005,OR 
97014,Cascade Locks,Oregon ,HOOD RIVER,41,027,OR 
97015,Clackamas,Oregon ,CLACKAMAS,41,005,OR 
97019,Corbett,Oregon ,MULTNOMAH,41,051,OR 
97021,Dufur,Oregon ,WASCO,41,065,OR 
97022,Eagle Creek,Oregon ,CLACKAMAS,41,005,OR 
97024,Fairview,Oregon ,MULTNOMAH,41,051,OR 
97018,Columbia City,Oregon ,COLUMBIA,41,009,OR 
97020,Donald,Oregon ,MARION,41,047,OR 
97023,Estacada,Oregon ,CLACKAMAS,41,005,OR 
97026,Gervais,Oregon ,MARION,41,047,OR 
97027,Gladstone,Oregon ,CLACKAMAS,41,005,OR 
97028,Government Camp,Oregon ,CLACKAMAS,41,005,OR 
97031,Hood River,Oregon ,HOOD RIVER,41,027,OR 
97033,Kent,Oregon ,SHERMAN,41,055,OR 
97032,Hubbard,Oregon ,MARION,41,047,OR 
97034,Lake Oswego,Oregon ,CLACKAMAS,41,005,OR 
97029,Grass Valley,Oregon ,SHERMAN,41,055,OR 
97030,Gresham,Oregon ,MULTNOMAH,41,051,OR 
97035,Lake Oswego,Oregon ,CLACKAMAS,41,005,OR 
97038,Molalla,Oregon ,CLACKAMAS,41,005,OR 
97036,Marylhurst,Oregon ,CLACKAMAS,41,005,OR 
97041,Mount Hood Parkdale,Oregon ,HOOD RIVER,41,027,OR 
97039,Moro,Oregon ,SHERMAN,41,055,OR 
97040,Mosier,Oregon ,WASCO,41,065,OR 
97037,Maupin,Oregon ,WASCO,41,065,OR 
97042,Mulino,Oregon ,CLACKAMAS,41,005,OR 
97044,Odell,Oregon ,HOOD RIVER,41,027,OR 
97050,Rufus,Oregon ,SHERMAN,41,055,OR 
97049,Rhododendron,Oregon ,CLACKAMAS,41,005,OR 
97048,Rainier,Oregon ,COLUMBIA,41,009,OR 
97051,Saint Helens,Oregon ,COLUMBIA,41,009,OR 
97053,Warren,Oregon ,COLUMBIA,41,009,OR 
97045,Oregon City,Oregon ,CLACKAMAS,41,005,OR 
97054,Deer Island,Oregon ,COLUMBIA,41,009,OR 
97055,Sandy,Oregon ,CLACKAMAS,41,005,OR 
97056,Scappoose,Oregon ,COLUMBIA,41,009,OR 
97057,Shaniko,Oregon ,WASCO,41,065,OR 
97065,Wasco,Oregon ,SHERMAN,41,055,OR 
97064,Vernonia,Oregon ,COLUMBIA,41,009,OR 
97063,Tygh Valley,Oregon ,WASCO,41,065,OR 
97062,Tualatin,Oregon ,WASHINGTON,41,067,OR 
97058,The Dalles,Oregon ,WASCO,41,065,OR 
97060,Troutdale,Oregon ,MULTNOMAH,41,051,OR 
97068,West Linn,Oregon ,CLACKAMAS,41,005,OR 
97070,Wilsonville,Oregon ,CLACKAMAS,41,005,OR 
97076,Beaverton,Oregon ,WASHINGTON,41,067,OR 
97067,Welches,Oregon ,CLACKAMAS,41,005,OR 
97078,Beaverton,Oregon ,WASHINGTON,41,067,OR 
97071,Woodburn,Oregon ,MARION,41,047,OR 
97077,Beaverton,Oregon ,WASHINGTON,41,067,OR 
97075,Beaverton,Oregon ,WASHINGTON,41,067,OR 
97079,Beaverton,Oregon ,WASHINGTON,41,067,OR 
97086,Happy Valley,Oregon ,CLACKAMAS,41,005,OR 
97101,Amity,Oregon ,YAMHILL,41,071,OR 
97103,Astoria,Oregon ,CLATSOP,41,007,OR 
97089,Damascus,Oregon ,CLACKAMAS,41,005,OR 
97102,Arch Cape,Oregon ,CLATSOP,41,007,OR 
97106,Banks,Oregon ,WASHINGTON,41,067,OR 
97080,Gresham,Oregon ,MULTNOMAH,41,051,OR 
97107,Bay City,Oregon ,TILLAMOOK,41,057,OR 
97109,Buxton,Oregon ,WASHINGTON,41,067,OR 
97108,Beaver,Oregon ,TILLAMOOK,41,057,OR 
97113,Cornelius,Oregon ,WASHINGTON,41,067,OR 
97111,Carlton,Oregon ,YAMHILL,41,071,OR 
97114,Dayton,Oregon ,YAMHILL,41,071,OR 
97110,Cannon Beach,Oregon ,CLATSOP,41,007,OR 
97112,Cloverdale,Oregon ,TILLAMOOK,41,057,OR 
97115,Dundee,Oregon ,YAMHILL,41,071,OR 
97118,Garibaldi,Oregon ,TILLAMOOK,41,057,OR 
97116,Forest Grove,Oregon ,WASHINGTON,41,067,OR 
97117,Gales Creek,Oregon ,WASHINGTON,41,067,OR 
97119,Gaston,Oregon ,WASHINGTON,41,067,OR 
97122,Hebo,Oregon ,TILLAMOOK,41,057,OR 
97123,Hillsboro,Oregon ,WASHINGTON,41,067,OR 
97121,Hammond,Oregon ,CLATSOP,41,007,OR 
97124,Hillsboro,Oregon ,WASHINGTON,41,067,OR 
97125,Manning,Oregon ,WASHINGTON,41,067,OR 
97127,Lafayette,Oregon ,YAMHILL,41,071,OR 
97130,Manzanita,Oregon ,TILLAMOOK,41,057,OR 
97128,Mcminnville,Oregon ,YAMHILL,41,071,OR 
97131,Nehalem,Oregon ,TILLAMOOK,41,057,OR 
97129,Hillsboro,Oregon ,WASHINGTON,41,067,OR 
97132,Newberg,Oregon ,YAMHILL,41,071,OR 
97133,North Plains,Oregon ,WASHINGTON,41,067,OR 
97134,Oceanside,Oregon ,TILLAMOOK,41,057,OR 
97136,Rockaway Beach,Oregon ,TILLAMOOK,41,057,OR 
97141,Tillamook,Oregon ,TILLAMOOK,41,057,OR 
97137,Saint Paul,Oregon ,MARION,41,047,OR 
97140,Sherwood,Oregon ,WASHINGTON,41,067,OR 
97138,Seaside,Oregon ,CLATSOP,41,007,OR 
97143,Netarts,Oregon ,TILLAMOOK,41,057,OR 
97135,Pacific City,Oregon ,TILLAMOOK,41,057,OR 
97144,Timber,Oregon ,WASHINGTON,41,067,OR 
97147,Wheeler,Oregon ,TILLAMOOK,41,057,OR 
97145,Tolovana Park,Oregon ,CLATSOP,41,007,OR 
97148,Yamhill,Oregon ,YAMHILL,41,071,OR 
97149,Neskowin,Oregon ,TILLAMOOK,41,057,OR 
97201,Portland,Oregon ,MULTNOMAH,41,051,OR 
97202,Portland,Oregon ,MULTNOMAH,41,051,OR 
97146,Warrenton,Oregon ,CLATSOP,41,007,OR 
97203,Portland,Oregon ,MULTNOMAH,41,051,OR 
97204,Portland,Oregon ,MULTNOMAH,41,051,OR 
97210,Portland,Oregon ,MULTNOMAH,41,051,OR 
97208,Portland,Oregon ,MULTNOMAH,41,051,OR 
97206,Portland,Oregon ,MULTNOMAH,41,051,OR 
97207,Portland,Oregon ,MULTNOMAH,41,051,OR 
97205,Portland,Oregon ,MULTNOMAH,41,051,OR 
97209,Portland,Oregon ,MULTNOMAH,41,051,OR 
97211,Portland,Oregon ,MULTNOMAH,41,051,OR 
97213,Portland,Oregon ,MULTNOMAH,41,051,OR 
97212,Portland,Oregon ,MULTNOMAH,41,051,OR 
97215,Portland,Oregon ,MULTNOMAH,41,051,OR 
97217,Portland,Oregon ,MULTNOMAH,41,051,OR 
97218,Portland,Oregon ,MULTNOMAH,41,051,OR 
97214,Portland,Oregon ,MULTNOMAH,41,051,OR 
97216,Portland,Oregon ,MULTNOMAH,41,051,OR 
97219,Portland,Oregon ,MULTNOMAH,41,051,OR 
97220,Portland,Oregon ,MULTNOMAH,41,051,OR 
97221,Portland,Oregon ,MULTNOMAH,41,051,OR 
97222,Portland,Oregon ,CLACKAMAS,41,005,OR 
97228,Portland,Oregon ,MULTNOMAH,41,051,OR 
97224,Portland,Oregon ,WASHINGTON,41,067,OR 
97227,Portland,Oregon ,MULTNOMAH,41,051,OR 
97223,Portland,Oregon ,WASHINGTON,41,067,OR 
97225,Portland,Oregon ,WASHINGTON,41,067,OR 
97233,Portland,Oregon ,MULTNOMAH,41,051,OR 
97236,Portland,Oregon ,MULTNOMAH,41,051,OR 
97238,Portland,Oregon ,MULTNOMAH,41,051,OR 
97230,Portland,Oregon ,MULTNOMAH,41,051,OR 
97229,Portland,Oregon ,WASHINGTON,41,067,OR 
97239,Portland,Oregon ,MULTNOMAH,41,051,OR 
97232,Portland,Oregon ,MULTNOMAH,41,051,OR 
97231,Portland,Oregon ,MULTNOMAH,41,051,OR 
97240,Portland,Oregon ,MULTNOMAH,41,051,OR 
97254,Portland,Oregon ,MULTNOMAH,41,051,OR 
97242,Portland,Oregon ,MULTNOMAH,41,051,OR 
97251,Portland,Oregon ,MULTNOMAH,41,051,OR 
97253,Portland,Oregon ,MULTNOMAH,41,051,OR 
97256,Portland,Oregon ,MULTNOMAH,41,051,OR 
97252,Portland,Oregon ,MULTNOMAH,41,051,OR 
97250,Portland,Oregon ,MULTNOMAH,41,051,OR 
97283,Portland,Oregon ,MULTNOMAH,41,051,OR 
97269,Portland,Oregon ,CLACKAMAS,41,005,OR 
97281,Portland,Oregon ,WASHINGTON,41,067,OR 
97280,Portland,Oregon ,MULTNOMAH,41,051,OR 
