15006,Bairdford,Pennsylvania ,ALLEGHENY,42,003,PA 
15010,Beaver Falls,Pennsylvania ,BEAVER,42,007,PA 
15005,Baden,Pennsylvania ,BEAVER,42,007,PA 
15001,Aliquippa,Pennsylvania ,BEAVER,42,007,PA 
15004,Atlasburg,Pennsylvania ,WASHINGTON,42,125,PA 
15009,Beaver,Pennsylvania ,BEAVER,42,007,PA 
15007,Bakerstown,Pennsylvania ,ALLEGHENY,42,003,PA 
15003,Ambridge,Pennsylvania ,BEAVER,42,007,PA 
15014,Brackenridge,Pennsylvania ,ALLEGHENY,42,003,PA 
15019,Bulger,Pennsylvania ,WASHINGTON,42,125,PA 
15015,Bradfordwoods,Pennsylvania ,ALLEGHENY,42,003,PA 
15021,Burgettstown,Pennsylvania ,WASHINGTON,42,125,PA 
15020,Bunola,Pennsylvania ,ALLEGHENY,42,003,PA 
15017,Bridgeville,Pennsylvania ,ALLEGHENY,42,003,PA 
15018,Buena Vista,Pennsylvania ,ALLEGHENY,42,003,PA 
15012,Belle Vernon,Pennsylvania ,FAYETTE,42,051,PA 
15024,Cheswick,Pennsylvania ,ALLEGHENY,42,003,PA 
15025,Clairton,Pennsylvania ,ALLEGHENY,42,003,PA 
15022,Charleroi,Pennsylvania ,WASHINGTON,42,125,PA 
15031,Cuddy,Pennsylvania ,ALLEGHENY,42,003,PA 
15027,Conway,Pennsylvania ,BEAVER,42,007,PA 
15026,Clinton,Pennsylvania ,BEAVER,42,007,PA 
15030,Creighton,Pennsylvania ,ALLEGHENY,42,003,PA 
15028,Coulters,Pennsylvania ,ALLEGHENY,42,003,PA 
15032,Curtisville,Pennsylvania ,ALLEGHENY,42,003,PA 
15033,Donora,Pennsylvania ,WASHINGTON,42,125,PA 
15034,Dravosburg,Pennsylvania ,ALLEGHENY,42,003,PA 
15035,East Mc Keesport,Pennsylvania ,ALLEGHENY,42,003,PA 
15042,Freedom,Pennsylvania ,BEAVER,42,007,PA 
15037,Elizabeth,Pennsylvania ,ALLEGHENY,42,003,PA 
15038,Elrama,Pennsylvania ,WASHINGTON,42,125,PA 
15043,Georgetown,Pennsylvania ,BEAVER,42,007,PA 
15044,Gibsonia,Pennsylvania ,ALLEGHENY,42,003,PA 
15045,Glassport,Pennsylvania ,ALLEGHENY,42,003,PA 
15046,Crescent,Pennsylvania ,ALLEGHENY,42,003,PA 
15050,Hookstown,Pennsylvania ,BEAVER,42,007,PA 
15047,Greenock,Pennsylvania ,ALLEGHENY,42,003,PA 
15052,Industry,Pennsylvania ,BEAVER,42,007,PA 
15051,Indianola,Pennsylvania ,ALLEGHENY,42,003,PA 
15049,Harwick,Pennsylvania ,ALLEGHENY,42,003,PA 
15053,Joffre,Pennsylvania ,WASHINGTON,42,125,PA 
15054,Langeloth,Pennsylvania ,WASHINGTON,42,125,PA 
15055,Lawrence,Pennsylvania ,WASHINGTON,42,125,PA 
15056,Leetsdale,Pennsylvania ,ALLEGHENY,42,003,PA 
15059,Midland,Pennsylvania ,BEAVER,42,007,PA 
15062,Monessen,Pennsylvania ,WESTMORELAND,42,129,PA 
15057,Mc Donald,Pennsylvania ,WASHINGTON,42,125,PA 
15060,Midway,Pennsylvania ,WASHINGTON,42,125,PA 
15061,Monaca,Pennsylvania ,BEAVER,42,007,PA 
15063,Monongahela,Pennsylvania ,WASHINGTON,42,125,PA 
15064,Morgan,Pennsylvania ,ALLEGHENY,42,003,PA 
15065,Natrona Heights,Pennsylvania ,ALLEGHENY,42,003,PA 
15068,New Kensington,Pennsylvania ,WESTMORELAND,42,129,PA 
15071,Oakdale,Pennsylvania ,ALLEGHENY,42,003,PA 
15067,New Eagle,Pennsylvania ,WASHINGTON,42,125,PA 
15066,New Brighton,Pennsylvania ,BEAVER,42,007,PA 
15069,New Kensington,Pennsylvania ,WESTMORELAND,42,129,PA 
15072,Pricedale,Pennsylvania ,WESTMORELAND,42,129,PA 
15075,Rural Ridge,Pennsylvania ,ALLEGHENY,42,003,PA 
15074,Rochester,Pennsylvania ,BEAVER,42,007,PA 
15082,Sturgeon,Pennsylvania ,ALLEGHENY,42,003,PA 
15077,Shippingport,Pennsylvania ,BEAVER,42,007,PA 
15078,Slovan,Pennsylvania ,WASHINGTON,42,125,PA 
15076,Russellton,Pennsylvania ,ALLEGHENY,42,003,PA 
15081,South Heights,Pennsylvania ,BEAVER,42,007,PA 
15083,Sutersville,Pennsylvania ,WESTMORELAND,42,129,PA 
15085,Trafford,Pennsylvania ,WESTMORELAND,42,129,PA 
15084,Tarentum,Pennsylvania ,ALLEGHENY,42,003,PA 
15088,West Elizabeth,Pennsylvania ,ALLEGHENY,42,003,PA 
15086,Warrendale,Pennsylvania ,ALLEGHENY,42,003,PA 
15089,West Newton,Pennsylvania ,WESTMORELAND,42,129,PA 
15087,Webster,Pennsylvania ,WESTMORELAND,42,129,PA 
15090,Wexford,Pennsylvania ,ALLEGHENY,42,003,PA 
15091,Wildwood,Pennsylvania ,ALLEGHENY,42,003,PA 
15095,Warrendale,Pennsylvania ,ALLEGHENY,42,003,PA 
15096,Warrendale,Pennsylvania ,ALLEGHENY,42,003,PA 
15101,Allison Park,Pennsylvania ,ALLEGHENY,42,003,PA 
15104,Braddock,Pennsylvania ,ALLEGHENY,42,003,PA 
15102,Bethel Park,Pennsylvania ,ALLEGHENY,42,003,PA 
15106,Carnegie,Pennsylvania ,ALLEGHENY,42,003,PA 
15108,Coraopolis,Pennsylvania ,ALLEGHENY,42,003,PA 
15116,Glenshaw,Pennsylvania ,ALLEGHENY,42,003,PA 
15112,East Pittsburgh,Pennsylvania ,ALLEGHENY,42,003,PA 
15110,Duquesne,Pennsylvania ,ALLEGHENY,42,003,PA 
15120,Homestead,Pennsylvania ,ALLEGHENY,42,003,PA 
15122,West Mifflin,Pennsylvania ,ALLEGHENY,42,003,PA 
15123,West Mifflin,Pennsylvania ,ALLEGHENY,42,003,PA 
15129,South Park,Pennsylvania ,ALLEGHENY,42,003,PA 
15127,Ingomar,Pennsylvania ,ALLEGHENY,42,003,PA 
15126,Imperial,Pennsylvania ,ALLEGHENY,42,003,PA 
15132,Mckeesport,Pennsylvania ,ALLEGHENY,42,003,PA 
15131,Mckeesport,Pennsylvania ,ALLEGHENY,42,003,PA 
15133,Mckeesport,Pennsylvania ,ALLEGHENY,42,003,PA 
15134,Mckeesport,Pennsylvania ,ALLEGHENY,42,003,PA 
15135,Mckeesport,Pennsylvania ,ALLEGHENY,42,003,PA 
15136,Mc Kees Rocks,Pennsylvania ,ALLEGHENY,42,003,PA 
15137,North Versailles,Pennsylvania ,ALLEGHENY,42,003,PA 
15140,Pitcairn,Pennsylvania ,ALLEGHENY,42,003,PA 
15139,Oakmont,Pennsylvania ,ALLEGHENY,42,003,PA 
15143,Sewickley,Pennsylvania ,ALLEGHENY,42,003,PA 
15144,Springdale,Pennsylvania ,ALLEGHENY,42,003,PA 
15145,Turtle Creek,Pennsylvania ,ALLEGHENY,42,003,PA 
15142,Presto,Pennsylvania ,ALLEGHENY,42,003,PA 
15146,Monroeville,Pennsylvania ,ALLEGHENY,42,003,PA 
15147,Verona,Pennsylvania ,ALLEGHENY,42,003,PA 
