29003,Bamberg,South Carolina ,BAMBERG,45,009,SC 
29006,Batesburg,South Carolina ,LEXINGTON,45,063,SC 
29002,Ballentine,South Carolina ,RICHLAND,45,079,SC 
29001,Alcolu,South Carolina ,CLARENDON,45,027,SC 
29009,Bethune,South Carolina ,KERSHAW,45,055,SC 
29010,Bishopville,South Carolina ,LEE,45,061,SC 
29014,Blackstock,South Carolina ,CHESTER,45,023,SC 
29015,Blair,South Carolina ,FAIRFIELD,45,039,SC 
29018,Bowman,South Carolina ,ORANGEBURG,45,075,SC 
29030,Cameron,South Carolina ,CALHOUN,45,017,SC 
29032,Cassatt,South Carolina ,KERSHAW,45,055,SC 
29020,Camden,South Carolina ,KERSHAW,45,055,SC 
29016,Blythewood,South Carolina ,RICHLAND,45,079,SC 
29021,Camden,South Carolina ,KERSHAW,45,055,SC 
29033,Cayce,South Carolina ,LEXINGTON,45,063,SC 
29031,Carlisle,South Carolina ,UNION,45,087,SC 
29041,Davis Station,South Carolina ,CLARENDON,45,027,SC 
29038,Cope,South Carolina ,ORANGEBURG,45,075,SC 
29037,Chappells,South Carolina ,NEWBERRY,45,071,SC 
29039,Cordova,South Carolina ,ORANGEBURG,45,075,SC 
29040,Dalzell,South Carolina ,SUMTER,45,085,SC 
29044,Eastover,South Carolina ,RICHLAND,45,079,SC 
29036,Chapin,South Carolina ,LEXINGTON,45,063,SC 
29042,Denmark,South Carolina ,BAMBERG,45,009,SC 
29045,Elgin,South Carolina ,KERSHAW,45,055,SC 
29051,Gable,South Carolina ,CLARENDON,45,027,SC 
29047,Elloree,South Carolina ,ORANGEBURG,45,075,SC 
29048,Eutawville,South Carolina ,ORANGEBURG,45,075,SC 
29052,Gadsden,South Carolina ,RICHLAND,45,079,SC 
29054,Gilbert,South Carolina ,LEXINGTON,45,063,SC 
29046,Elliott,South Carolina ,LEE,45,061,SC 
29053,Gaston,South Carolina ,LEXINGTON,45,063,SC 
29055,Great Falls,South Carolina ,CHESTER,45,023,SC 
29065,Jenkinsville,South Carolina ,FAIRFIELD,45,039,SC 
29058,Heath Springs,South Carolina ,LANCASTER,45,057,SC 
29056,Greeleyville,South Carolina ,WILLIAMSBURG,45,089,SC 
29061,Hopkins,South Carolina ,RICHLAND,45,079,SC 
29062,Horatio,South Carolina ,SUMTER,45,085,SC 
29059,Holly Hill,South Carolina ,ORANGEBURG,45,075,SC 
29063,Irmo,South Carolina ,RICHLAND,45,079,SC 
29067,Kershaw,South Carolina ,LANCASTER,45,057,SC 
29071,Lexington,South Carolina ,LEXINGTON,45,063,SC 
29074,Liberty Hill,South Carolina ,KERSHAW,45,055,SC 
29070,Leesville,South Carolina ,LEXINGTON,45,063,SC 
29073,Lexington,South Carolina ,LEXINGTON,45,063,SC 
29069,Lamar,South Carolina ,DARLINGTON,45,031,SC 
29075,Little Mountain,South Carolina ,NEWBERRY,45,071,SC 
29072,Lexington,South Carolina ,LEXINGTON,45,063,SC 
29078,Lugoff,South Carolina ,KERSHAW,45,055,SC 
29079,Lydia,South Carolina ,DARLINGTON,45,031,SC 
29080,Lynchburg,South Carolina ,LEE,45,061,SC 
29082,Lodge,South Carolina ,COLLETON,45,029,SC 
29102,Manning,South Carolina ,CLARENDON,45,027,SC 
29104,Mayesville,South Carolina ,SUMTER,45,085,SC 
29101,Mc Bee,South Carolina ,CHESTERFIELD,45,025,SC 
29081,Ehrhardt,South Carolina ,BAMBERG,45,009,SC 
29105,Monetta,South Carolina ,AIKEN,45,003,SC 
29107,Neeses,South Carolina ,ORANGEBURG,45,075,SC 
29113,Norway,South Carolina ,ORANGEBURG,45,075,SC 
29108,Newberry,South Carolina ,NEWBERRY,45,071,SC 
29112,North,South Carolina ,ORANGEBURG,45,075,SC 
29114,Olanta,South Carolina ,FLORENCE,45,041,SC 
29111,New Zion,South Carolina ,CLARENDON,45,027,SC 
29115,Orangeburg,South Carolina ,ORANGEBURG,45,075,SC 
29116,Orangeburg,South Carolina ,ORANGEBURG,45,075,SC 
29117,Orangeburg,South Carolina ,ORANGEBURG,45,075,SC 
29123,Pelion,South Carolina ,LEXINGTON,45,063,SC 
29125,Pinewood,South Carolina ,SUMTER,45,085,SC 
29118,Orangeburg,South Carolina ,ORANGEBURG,45,075,SC 
29122,Peak,South Carolina ,NEWBERRY,45,071,SC 
29126,Pomaria,South Carolina ,NEWBERRY,45,071,SC 
29128,Rembert,South Carolina ,SUMTER,45,085,SC 
29129,Ridge Spring,South Carolina ,SALUDA,45,081,SC 
29127,Prosperity,South Carolina ,NEWBERRY,45,071,SC 
29130,Ridgeway,South Carolina ,FAIRFIELD,45,039,SC 
29133,Rowesville,South Carolina ,ORANGEBURG,45,075,SC 
29132,Rion,South Carolina ,FAIRFIELD,45,039,SC 
29135,Saint Matthews,South Carolina ,CALHOUN,45,017,SC 
29137,Salley,South Carolina ,AIKEN,45,003,SC 
29138,Saluda,South Carolina ,SALUDA,45,081,SC 
29142,Santee,South Carolina ,ORANGEBURG,45,075,SC 
29143,Sardinia,South Carolina ,CLARENDON,45,027,SC 
29145,Silverstreet,South Carolina ,NEWBERRY,45,071,SC 
29148,Summerton,South Carolina ,CLARENDON,45,027,SC 
29147,State Park,South Carolina ,RICHLAND,45,079,SC 
29150,Sumter,South Carolina ,SUMTER,45,085,SC 
29146,Springfield,South Carolina ,ORANGEBURG,45,075,SC 
29152,Shaw AFB,South Carolina ,SUMTER,45,085,SC 
29151,Sumter,South Carolina ,SUMTER,45,085,SC 
29153,Sumter,South Carolina ,SUMTER,45,085,SC 
29154,Sumter,South Carolina ,SUMTER,45,085,SC 
29160,Swansea,South Carolina ,LEXINGTON,45,063,SC 
29161,Timmonsville,South Carolina ,FLORENCE,45,041,SC 
29162,Turbeville,South Carolina ,CLARENDON,45,027,SC 
29163,Vance,South Carolina ,ORANGEBURG,45,075,SC 
29166,Ward,South Carolina ,SALUDA,45,081,SC 
29168,Wedgefield,South Carolina ,SUMTER,45,085,SC 
29164,Wagener,South Carolina ,AIKEN,45,003,SC 
29169,West Columbia,South Carolina ,LEXINGTON,45,063,SC 
29171,West Columbia,South Carolina ,LEXINGTON,45,063,SC 
29170,West Columbia,South Carolina ,LEXINGTON,45,063,SC 
29177,White Rock,South Carolina ,RICHLAND,45,079,SC 
29172,West Columbia,South Carolina ,LEXINGTON,45,063,SC 
29178,Whitmire,South Carolina ,NEWBERRY,45,071,SC 
29180,Winnsboro,South Carolina ,FAIRFIELD,45,039,SC 
29175,Westville,South Carolina ,KERSHAW,45,055,SC 
29201,Columbia,South Carolina ,RICHLAND,45,079,SC 
29202,Columbia,South Carolina ,RICHLAND,45,079,SC 
29208,Columbia,South Carolina ,RICHLAND,45,079,SC 
29203,Columbia,South Carolina ,RICHLAND,45,079,SC 
29205,Columbia,South Carolina ,RICHLAND,45,079,SC 
29207,Columbia,South Carolina ,RICHLAND,45,079,SC 
29206,Columbia,South Carolina ,RICHLAND,45,079,SC 
29209,Columbia,South Carolina ,RICHLAND,45,079,SC 
29204,Columbia,South Carolina ,RICHLAND,45,079,SC 
29218,Columbia,South Carolina ,RICHLAND,45,079,SC 
29214,Columbia,South Carolina ,RICHLAND,45,079,SC 
29216,Columbia,South Carolina ,RICHLAND,45,079,SC 
29210,Columbia,South Carolina ,RICHLAND,45,079,SC 
29212,Columbia,South Carolina ,LEXINGTON,45,063,SC 
29211,Columbia,South Carolina ,RICHLAND,45,079,SC 
29215,Columbia,South Carolina ,RICHLAND,45,079,SC 
29217,Columbia,South Carolina ,RICHLAND,45,079,SC 
29220,Columbia,South Carolina ,RICHLAND,45,079,SC 
29222,Columbia,South Carolina ,RICHLAND,45,079,SC 
29221,Columbia,South Carolina ,RICHLAND,45,079,SC 
29224,Columbia,South Carolina ,RICHLAND,45,079,SC 
29226,Columbia,South Carolina ,RICHLAND,45,079,SC 
29219,Columbia,South Carolina ,RICHLAND,45,079,SC 
29225,Columbia,South Carolina ,RICHLAND,45,079,SC 
