57010,Burbank,South Dakota ,CLAY,46,027,SD 
57002,Aurora,South Dakota ,BROOKINGS,46,011,SD 
57007,Brookings,South Dakota ,BROOKINGS,46,011,SD 
57006,Brookings,South Dakota ,BROOKINGS,46,011,SD 
57005,Brandon,South Dakota ,MINNEHAHA,46,099,SD 
57004,Beresford,South Dakota ,UNION,46,127,SD 
57003,Baltic,South Dakota ,MINNEHAHA,46,099,SD 
57001,Alcester,South Dakota ,UNION,46,127,SD 
57012,Canistota,South Dakota ,MCCOOK,46,087,SD 
57017,Colman,South Dakota ,MOODY,46,101,SD 
57014,Centerville,South Dakota ,TURNER,46,125,SD 
57013,Canton,South Dakota ,LINCOLN,46,083,SD 
57016,Chester,South Dakota ,LAKE,46,079,SD 
57015,Chancellor,South Dakota ,TURNER,46,125,SD 
57018,Colton,South Dakota ,MINNEHAHA,46,099,SD 
57020,Crooks,South Dakota ,MINNEHAHA,46,099,SD 
57022,Dell Rapids,South Dakota ,MINNEHAHA,46,099,SD 
57021,Davis,South Dakota ,TURNER,46,125,SD 
57027,Fairview,South Dakota ,LINCOLN,46,083,SD 
57024,Egan,South Dakota ,MOODY,46,101,SD 
57025,Elk Point,South Dakota ,UNION,46,127,SD 
57029,Freeman,South Dakota ,HUTCHINSON,46,067,SD 
57028,Flandreau,South Dakota ,MOODY,46,101,SD 
57026,Elkton,South Dakota ,BROOKINGS,46,011,SD 
57030,Garretson,South Dakota ,MINNEHAHA,46,099,SD 
57032,Harrisburg,South Dakota ,LINCOLN,46,083,SD 
57034,Hudson,South Dakota ,LINCOLN,46,083,SD 
57036,Hurley,South Dakota ,TURNER,46,125,SD 
57031,Gayville,South Dakota ,YANKTON,46,135,SD 
57037,Irene,South Dakota ,CLAY,46,027,SD 
57035,Humboldt,South Dakota ,MINNEHAHA,46,099,SD 
57033,Hartford,South Dakota ,MINNEHAHA,46,099,SD 
57038,Jefferson,South Dakota ,UNION,46,127,SD 
57046,Mission Hill,South Dakota ,YANKTON,46,135,SD 
57043,Marion,South Dakota ,TURNER,46,125,SD 
57045,Menno,South Dakota ,HUTCHINSON,46,067,SD 
57040,Lesterville,South Dakota ,YANKTON,46,135,SD 
57042,Madison,South Dakota ,LAKE,46,079,SD 
57039,Lennox,South Dakota ,LINCOLN,46,083,SD 
57041,Lyons,South Dakota ,MINNEHAHA,46,099,SD 
57047,Monroe,South Dakota ,TURNER,46,125,SD 
57049,North Sioux City,South Dakota ,UNION,46,127,SD 
57048,Montrose,South Dakota ,MCCOOK,46,087,SD 
57050,Nunda,South Dakota ,LAKE,46,079,SD 
57054,Ramona,South Dakota ,LAKE,46,079,SD 
57051,Oldham,South Dakota ,KINGSBURY,46,077,SD 
57053,Parker,South Dakota ,TURNER,46,125,SD 
57052,Olivet,South Dakota ,HUTCHINSON,46,067,SD 
57057,Rutland,South Dakota ,LAKE,46,079,SD 
57062,Springfield,South Dakota ,BON HOMME,46,009,SD 
57063,Tabor,South Dakota ,BON HOMME,46,009,SD 
57055,Renner,South Dakota ,MINNEHAHA,46,099,SD 
57059,Scotland,South Dakota ,BON HOMME,46,009,SD 
57064,Tea,South Dakota ,LINCOLN,46,083,SD 
57058,Salem,South Dakota ,MCCOOK,46,087,SD 
57061,Sinai,South Dakota ,BROOKINGS,46,011,SD 
57065,Trent,South Dakota ,MOODY,46,101,SD 
57066,Tyndall,South Dakota ,BON HOMME,46,009,SD 
57070,Viborg,South Dakota ,TURNER,46,125,SD 
57071,Volga,South Dakota ,BROOKINGS,46,011,SD 
57072,Volin,South Dakota ,YANKTON,46,135,SD 
57068,Valley Springs,South Dakota ,MINNEHAHA,46,099,SD 
57069,Vermillion,South Dakota ,CLAY,46,027,SD 
57067,Utica,South Dakota ,YANKTON,46,135,SD 
57073,Wakonda,South Dakota ,CLAY,46,027,SD 
57078,Yankton,South Dakota ,YANKTON,46,135,SD 
57075,Wentworth,South Dakota ,LAKE,46,079,SD 
57101,Sioux Falls,South Dakota ,MINNEHAHA,46,099,SD 
57076,Winfred,South Dakota ,LAKE,46,079,SD 
57104,Sioux Falls,South Dakota ,MINNEHAHA,46,099,SD 
57077,Worthing,South Dakota ,LINCOLN,46,083,SD 
57103,Sioux Falls,South Dakota ,MINNEHAHA,46,099,SD 
57105,Sioux Falls,South Dakota ,MINNEHAHA,46,099,SD 
57106,Sioux Falls,South Dakota ,MINNEHAHA,46,099,SD 
57110,Sioux Falls,South Dakota ,MINNEHAHA,46,099,SD 
57117,Sioux Falls,South Dakota ,MINNEHAHA,46,099,SD 
57118,Sioux Falls,South Dakota ,MINNEHAHA,46,099,SD 
57108,Sioux Falls,South Dakota ,LINCOLN,46,083,SD 
57109,Sioux Falls,South Dakota ,MINNEHAHA,46,099,SD 
57107,Sioux Falls,South Dakota ,MINNEHAHA,46,099,SD 
57186,Sioux Falls,South Dakota ,MINNEHAHA,46,099,SD 
57193,Sioux Falls,South Dakota ,MINNEHAHA,46,099,SD 
57212,Arlington,South Dakota ,KINGSBURY,46,077,SD 
57201,Watertown,South Dakota ,CODINGTON,46,029,SD 
57197,Sioux Falls,South Dakota ,MINNEHAHA,46,099,SD 
57198,Sioux Falls,South Dakota ,MINNEHAHA,46,099,SD 
57216,Big Stone City,South Dakota ,GRANT,46,051,SD 
57213,Astoria,South Dakota ,DEUEL,46,039,SD 
57214,Badger,South Dakota ,KINGSBURY,46,077,SD 
57217,Bradley,South Dakota ,CLARK,46,025,SD 
57219,Bristol,South Dakota ,DAY,46,037,SD 
57220,Bruce,South Dakota ,BROOKINGS,46,011,SD 
57223,Castlewood,South Dakota ,HAMLIN,46,057,SD 
57221,Bryant,South Dakota ,HAMLIN,46,057,SD 
57225,Clark,South Dakota ,CLARK,46,025,SD 
57224,Claire City,South Dakota ,ROBERTS,46,109,SD 
57218,Brandt,South Dakota ,DEUEL,46,039,SD 
57226,Clear Lake,South Dakota ,DEUEL,46,039,SD 
57227,Corona,South Dakota ,ROBERTS,46,109,SD 
57232,Eden,South Dakota ,MARSHALL,46,091,SD 
57236,Garden City,South Dakota ,CLARK,46,025,SD 
57231,De Smet,South Dakota ,KINGSBURY,46,077,SD 
57234,Estelline,South Dakota ,HAMLIN,46,057,SD 
57235,Florence,South Dakota ,CODINGTON,46,029,SD 
57233,Erwin,South Dakota ,KINGSBURY,46,077,SD 
57237,Gary,South Dakota ,DEUEL,46,039,SD 
57238,Goodwin,South Dakota ,DEUEL,46,039,SD 
57239,Grenville,South Dakota ,DAY,46,037,SD 
57245,Kranzburg,South Dakota ,CODINGTON,46,029,SD 
57243,Henry,South Dakota ,CODINGTON,46,029,SD 
57242,Hazel,South Dakota ,HAMLIN,46,057,SD 
57241,Hayti,South Dakota ,HAMLIN,46,057,SD 
57246,Labolt,South Dakota ,GRANT,46,051,SD 
57247,Lake City,South Dakota ,MARSHALL,46,091,SD 
57249,Lake Preston,South Dakota ,KINGSBURY,46,077,SD 
57248,Lake Norden,South Dakota ,HAMLIN,46,057,SD 
57255,New Effington,South Dakota ,ROBERTS,46,109,SD 
57256,Ortley,South Dakota ,ROBERTS,46,109,SD 
