,State,State_abb
0,ALABAMA,AL
1,ALASKA,AK
2,ARIZONA,AZ
3,ARKANSAS,AR
4,CALIFORNIA,CA
5,COLORADO,CO
6,CONNECTICUT,CT
7,DELAWARE,DE
8,DISTRICT OF COLUMBIA,DC
9,FLORIDA,FL
10,GEORGIA,GA
11,HAWAII,HI
12,IDAHO,ID
13,ILLINOIS,IL
14,INDIANA,IN
15,IOWA,IA
16,KANSAS,KS
17,KENTUCKY,KY
18,LOUISIANA,LA
19,MAINE,ME
20,MARYLAND,MD
21,MASSACHUSETTS,MA
22,MICHIGAN,MI
23,MINNESOTA,MN
24,MISSISSIPPI,MS
25,MISSOURI,MO
26,MONTANA,MT
27,NEBRASKA,NE
28,NEVADA,NV
29,NEW HAMPSHIRE,NH
30,NEW JERSEY,NJ
31,NEW MEXICO,NM
32,NEW YORK,NY
33,NORTH CAROLINA,NC
34,NORTH DAKOTA,ND
35,OHIO,OH
36,OKLAHOMA,OK
37,OREGON,OR
38,PENNSYLVANIA,PA
39,RHODE ISLAND,RI
40,SOUTH CAROLINA,SC
41,SOUTH DAKOTA,SD
42,TENNESSEE,TN
43,TEXAS,TX
44,UTAH,UT
45,VERMONT,VT
46,VIRGINIA,VA
47,VIRGIN ISLANDS,VI
48,WASHINGTON,WA
49,WEST VIRGINIA,WV
50,WISCONSIN,WI
51,WYOMING,WY
