75002,Allen,Texas ,COLLIN,48,085,TX 
75006,Carrollton,Texas ,DALLAS,48,113,TX 
73960,Texhoma,Texas ,SHERMAN,48,421,TX 
75001,Addison,Texas ,DALLAS,48,113,TX 
73301,Austin,Texas ,TRAVIS,48,453,TX 
75009,Celina,Texas ,COLLIN,48,085,TX 
73344,Austin,Texas ,TRAVIS,48,453,TX 
75007,Carrollton,Texas ,DENTON,48,121,TX 
75010,Carrollton,Texas ,DENTON,48,121,TX 
75015,Irving,Texas ,DALLAS,48,113,TX 
75017,Irving,Texas ,DALLAS,48,113,TX 
75019,Coppell,Texas ,DALLAS,48,113,TX 
75016,Irving,Texas ,DALLAS,48,113,TX 
75013,Allen,Texas ,COLLIN,48,085,TX 
75014,Irving,Texas ,DALLAS,48,113,TX 
75011,Carrollton,Texas ,DALLAS,48,113,TX 
75020,Denison,Texas ,GRAYSON,48,181,TX 
75024,Plano,Texas ,COLLIN,48,085,TX 
75027,Flower Mound,Texas ,DENTON,48,121,TX 
75022,Flower Mound,Texas ,DENTON,48,121,TX 
75023,Plano,Texas ,COLLIN,48,085,TX 
75026,Plano,Texas ,COLLIN,48,085,TX 
75021,Denison,Texas ,GRAYSON,48,181,TX 
75025,Plano,Texas ,COLLIN,48,085,TX 
75028,Flower Mound,Texas ,DENTON,48,121,TX 
75030,Rowlett,Texas ,DALLAS,48,113,TX 
75033,Frisco,Texas ,DENTON,48,121,TX 
75029,Lewisville,Texas ,DENTON,48,121,TX 
75032,Rockwall,Texas ,ROCKWALL,48,397,TX 
75035,Frisco,Texas ,COLLIN,48,085,TX 
75034,Frisco,Texas ,DENTON,48,121,TX 
75036,Frisco,Texas ,DENTON,48,121,TX 
75038,Irving,Texas ,DALLAS,48,113,TX 
75039,Irving,Texas ,DALLAS,48,113,TX 
75042,Garland,Texas ,DALLAS,48,113,TX 
75040,Garland,Texas ,DALLAS,48,113,TX 
75043,Garland,Texas ,DALLAS,48,113,TX 
75041,Garland,Texas ,DALLAS,48,113,TX 
75044,Garland,Texas ,DALLAS,48,113,TX 
75045,Garland,Texas ,DALLAS,48,113,TX 
75046,Garland,Texas ,DALLAS,48,113,TX 
75047,Garland,Texas ,DALLAS,48,113,TX 
75048,Sachse,Texas ,DALLAS,48,113,TX 
75049,Garland,Texas ,DALLAS,48,113,TX 
75053,Grand Prairie,Texas ,DALLAS,48,113,TX 
75051,Grand Prairie,Texas ,DALLAS,48,113,TX 
75052,Grand Prairie,Texas ,DALLAS,48,113,TX 
75050,Grand Prairie,Texas ,DALLAS,48,113,TX 
75054,Grand Prairie,Texas ,DALLAS,48,113,TX 
75056,The Colony,Texas ,DENTON,48,121,TX 
75057,Lewisville,Texas ,DENTON,48,121,TX 
75060,Irving,Texas ,DALLAS,48,113,TX 
75058,Gunter,Texas ,GRAYSON,48,181,TX 
75062,Irving,Texas ,DALLAS,48,113,TX 
75063,Irving,Texas ,DALLAS,48,113,TX 
75061,Irving,Texas ,DALLAS,48,113,TX 
75059,Irving,Texas ,DALLAS,48,113,TX 
75064,Irving,Texas ,DALLAS,48,113,TX 
75065,Lake Dallas,Texas ,DENTON,48,121,TX 
75067,Lewisville,Texas ,DENTON,48,121,TX 
75068,Little Elm,Texas ,DENTON,48,121,TX 
75072,Mckinney,Texas ,COLLIN,48,085,TX 
75069,Mckinney,Texas ,COLLIN,48,085,TX 
75070,Mckinney,Texas ,COLLIN,48,085,TX 
75071,Mckinney,Texas ,COLLIN,48,085,TX 
75074,Plano,Texas ,COLLIN,48,085,TX 
75075,Plano,Texas ,COLLIN,48,085,TX 
75076,Pottsboro,Texas ,GRAYSON,48,181,TX 
75077,Lewisville,Texas ,DENTON,48,121,TX 
75081,Richardson,Texas ,DALLAS,48,113,TX 
75078,Prosper,Texas ,COLLIN,48,085,TX 
75080,Richardson,Texas ,DALLAS,48,113,TX 
75083,Richardson,Texas ,DALLAS,48,113,TX 
75082,Richardson,Texas ,DALLAS,48,113,TX 
75085,Richardson,Texas ,DALLAS,48,113,TX 
75086,Plano,Texas ,COLLIN,48,085,TX 
75088,Rowlett,Texas ,DALLAS,48,113,TX 
75093,Plano,Texas ,COLLIN,48,085,TX 
75087,Rockwall,Texas ,ROCKWALL,48,397,TX 
75092,Sherman,Texas ,GRAYSON,48,181,TX 
75089,Rowlett,Texas ,DALLAS,48,113,TX 
75091,Sherman,Texas ,GRAYSON,48,181,TX 
75090,Sherman,Texas ,GRAYSON,48,181,TX 
75094,Plano,Texas ,COLLIN,48,085,TX 
75097,Weston,Texas ,COLLIN,48,085,TX 
75101,Bardwell,Texas ,ELLIS,48,139,TX 
75102,Barry,Texas ,NAVARRO,48,349,TX 
75103,Canton,Texas ,VAN ZANDT,48,467,TX 
75099,Coppell,Texas ,DALLAS,48,113,TX 
75104,Cedar Hill,Texas ,DALLAS,48,113,TX 
75098,Wylie,Texas ,COLLIN,48,085,TX 
75105,Chatfield,Texas ,NAVARRO,48,349,TX 
75106,Cedar Hill,Texas ,DALLAS,48,113,TX 
75109,Corsicana,Texas ,NAVARRO,48,349,TX 
75114,Crandall,Texas ,KAUFMAN,48,257,TX 
75110,Corsicana,Texas ,NAVARRO,48,349,TX 
75118,Elmo,Texas ,KAUFMAN,48,257,TX 
75117,Edgewood,Texas ,VAN ZANDT,48,467,TX 
75116,Duncanville,Texas ,DALLAS,48,113,TX 
75115,Desoto,Texas ,DALLAS,48,113,TX 
75119,Ennis,Texas ,ELLIS,48,139,TX 
75120,Ennis,Texas ,ELLIS,48,139,TX 
75123,Desoto,Texas ,DALLAS,48,113,TX 
75121,Copeville,Texas ,COLLIN,48,085,TX 
75124,Eustace,Texas ,HENDERSON,48,213,TX 
75125,Ferris,Texas ,ELLIS,48,139,TX 
75126,Forney,Texas ,KAUFMAN,48,257,TX 
75127,Fruitvale,Texas ,VAN ZANDT,48,467,TX 
75132,Fate,Texas ,ROCKWALL,48,397,TX 
75134,Lancaster,Texas ,DALLAS,48,113,TX 
75135,Caddo Mills,Texas ,HUNT,48,231,TX 
75143,Kemp,Texas ,KAUFMAN,48,257,TX 
75137,Duncanville,Texas ,DALLAS,48,113,TX 
75141,Hutchins,Texas ,DALLAS,48,113,TX 
75140,Grand Saline,Texas ,VAN ZANDT,48,467,TX 
75138,Duncanville,Texas ,DALLAS,48,113,TX 
75142,Kaufman,Texas ,KAUFMAN,48,257,TX 
75144,Kerens,Texas ,NAVARRO,48,349,TX 
75148,Malakoff,Texas ,HENDERSON,48,213,TX 
75151,Corsicana,Texas ,NAVARRO,48,349,TX 
75149,Mesquite,Texas ,DALLAS,48,113,TX 
75146,Lancaster,Texas ,DALLAS,48,113,TX 
75152,Palmer,Texas ,ELLIS,48,139,TX 
75147,Mabank,Texas ,KAUFMAN,48,257,TX 
75150,Mesquite,Texas ,DALLAS,48,113,TX 
75153,Powell,Texas ,NAVARRO,48,349,TX 
75155,Rice,Texas ,NAVARRO,48,349,TX 
75160,Terrell,Texas ,KAUFMAN,48,257,TX 
75157,Rosser,Texas ,KAUFMAN,48,257,TX 
75156,Mabank,Texas ,HENDERSON,48,213,TX 
75154,Red Oak,Texas ,ELLIS,48,139,TX 
75159,Seagoville,Texas ,DALLAS,48,113,TX 
75158,Scurry,Texas ,KAUFMAN,48,257,TX 
75161,Terrell,Texas ,KAUFMAN,48,257,TX 
75167,Waxahachie,Texas ,ELLIS,48,139,TX 
75164,Josephine,Texas ,COLLIN,48,085,TX 
75163,Trinidad,Texas ,HENDERSON,48,213,TX 
75165,Waxahachie,Texas ,ELLIS,48,139,TX 
75166,Lavon,Texas ,COLLIN,48,085,TX 
75168,Waxahachie,Texas ,ELLIS,48,139,TX 
75172,Wilmer,Texas ,DALLAS,48,113,TX 
75169,Wills Point,Texas ,VAN ZANDT,48,467,TX 
75181,Mesquite,Texas ,DALLAS,48,113,TX 
75185,Mesquite,Texas ,DALLAS,48,113,TX 
75187,Mesquite,Texas ,DALLAS,48,113,TX 
75173,Nevada,Texas ,COLLIN,48,085,TX 
75189,Royse City,Texas ,ROCKWALL,48,397,TX 
75182,Sunnyvale,Texas ,DALLAS,48,113,TX 
75180,Balch Springs,Texas ,DALLAS,48,113,TX 
75201,Dallas,Texas ,DALLAS,48,113,TX 
75202,Dallas,Texas ,DALLAS,48,113,TX 
75204,Dallas,Texas ,DALLAS,48,113,TX 
75203,Dallas,Texas ,DALLAS,48,113,TX 
75206,Dallas,Texas ,DALLAS,48,113,TX 
75205,Dallas,Texas ,DALLAS,48,113,TX 
75207,Dallas,Texas ,DALLAS,48,113,TX 
75209,Dallas,Texas ,DALLAS,48,113,TX 
75208,Dallas,Texas ,DALLAS,48,113,TX 
