84001,Altamont,Utah ,DUCHESNE,49,013,UT 
84004,Alpine,Utah ,UTAH,49,049,UT 
84003,American Fork,Utah ,UTAH,49,049,UT 
84006,Bingham Canyon,Utah ,SALT LAKE,49,035,UT 
84007,Bluebell,Utah ,DUCHESNE,49,013,UT 
84005,Eagle Mountain,Utah ,UTAH,49,049,UT 
84008,Bonanza,Utah ,UINTAH,49,047,UT 
84002,Altonah,Utah ,DUCHESNE,49,013,UT 
84009,South Jordan,Utah ,SALT LAKE,49,035,UT 
84010,Bountiful,Utah ,DAVIS,49,011,UT 
84015,Clearfield,Utah ,DAVIS,49,011,UT 
84011,Bountiful,Utah ,DAVIS,49,011,UT 
84013,Cedar Valley,Utah ,UTAH,49,049,UT 
84014,Centerville,Utah ,DAVIS,49,011,UT 
84017,Coalville,Utah ,SUMMIT,49,043,UT 
84016,Clearfield,Utah ,DAVIS,49,011,UT 
84018,Croydon,Utah ,MORGAN,49,029,UT 
84022,Dugway,Utah ,TOOELE,49,045,UT 
84023,Dutch John,Utah ,DAGGETT,49,009,UT 
84025,Farmington,Utah ,DAVIS,49,011,UT 
84021,Duchesne,Utah ,DUCHESNE,49,013,UT 
84024,Echo,Utah ,SUMMIT,49,043,UT 
84020,Draper,Utah ,SALT LAKE,49,035,UT 
84026,Fort Duchesne,Utah ,UINTAH,49,047,UT 
84027,Fruitland,Utah ,DUCHESNE,49,013,UT 
84033,Henefer,Utah ,SUMMIT,49,043,UT 
84028,Garden City,Utah ,RICH,49,033,UT 
84034,Ibapah,Utah ,TOOELE,49,045,UT 
84029,Grantsville,Utah ,TOOELE,49,045,UT 
84035,Jensen,Utah ,UINTAH,49,047,UT 
84032,Heber City,Utah ,WASATCH,49,051,UT 
84031,Hanna,Utah ,DUCHESNE,49,013,UT 
84036,Kamas,Utah ,SUMMIT,49,043,UT 
84037,Kaysville,Utah ,DAVIS,49,011,UT 
84038,Laketown,Utah ,RICH,49,033,UT 
84040,Layton,Utah ,DAVIS,49,011,UT 
84039,Lapoint,Utah ,UINTAH,49,047,UT 
84043,Lehi,Utah ,UTAH,49,049,UT 
84041,Layton,Utah ,DAVIS,49,011,UT 
84042,Lindon,Utah ,UTAH,49,049,UT 
84044,Magna,Utah ,SALT LAKE,49,035,UT 
84045,Saratoga Springs,Utah ,UTAH,49,049,UT 
84051,Mountain Home,Utah ,DUCHESNE,49,013,UT 
84049,Midway,Utah ,WASATCH,49,051,UT 
84047,Midvale,Utah ,SALT LAKE,49,035,UT 
84046,Manila,Utah ,DAGGETT,49,009,UT 
84052,Myton,Utah ,DUCHESNE,49,013,UT 
84053,Neola,Utah ,DUCHESNE,49,013,UT 
84050,Morgan,Utah ,MORGAN,49,029,UT 
84054,North Salt Lake,Utah ,DAVIS,49,011,UT 
84056,Hill AFB,Utah ,DAVIS,49,011,UT 
84055,Oakley,Utah ,SUMMIT,49,043,UT 
84058,Orem,Utah ,UTAH,49,049,UT 
84059,Vineyard,Utah ,UTAH,49,049,UT 
84057,Orem,Utah ,UTAH,49,049,UT 
84061,Peoa,Utah ,SUMMIT,49,043,UT 
84060,Park City,Utah ,SUMMIT,49,043,UT 
84062,Pleasant Grove,Utah ,UTAH,49,049,UT 
84065,Riverton,Utah ,SALT LAKE,49,035,UT 
84064,Randolph,Utah ,RICH,49,033,UT 
84063,Randlett,Utah ,UINTAH,49,047,UT 
84069,Rush Valley,Utah ,TOOELE,49,045,UT 
84068,Park City,Utah ,SUMMIT,49,043,UT 
84067,Roy,Utah ,WEBER,49,057,UT 
84066,Roosevelt,Utah ,DUCHESNE,49,013,UT 
84070,Sandy,Utah ,SALT LAKE,49,035,UT 
84073,Talmage,Utah ,DUCHESNE,49,013,UT 
84071,Stockton,Utah ,TOOELE,49,045,UT 
84072,Tabiona,Utah ,DUCHESNE,49,013,UT 
84074,Tooele,Utah ,TOOELE,49,045,UT 
84076,Tridell,Utah ,UINTAH,49,047,UT 
84078,Vernal,Utah ,UINTAH,49,047,UT 
84075,Syracuse,Utah ,DAVIS,49,011,UT 
84079,Vernal,Utah ,UINTAH,49,047,UT 
84086,Woodruff,Utah ,RICH,49,033,UT 
84081,West Jordan,Utah ,SALT LAKE,49,035,UT 
84084,West Jordan,Utah ,SALT LAKE,49,035,UT 
84082,Wallsburg,Utah ,WASATCH,49,051,UT 
84083,Wendover,Utah ,TOOELE,49,045,UT 
84080,Vernon,Utah ,TOOELE,49,045,UT 
84087,Woods Cross,Utah ,DAVIS,49,011,UT 
84085,Whiterocks,Utah ,UINTAH,49,047,UT 
84088,West Jordan,Utah ,SALT LAKE,49,035,UT 
84093,Sandy,Utah ,SALT LAKE,49,035,UT 
84094,Sandy,Utah ,SALT LAKE,49,035,UT 
84095,South Jordan,Utah ,SALT LAKE,49,035,UT 
84089,Clearfield,Utah ,DAVIS,49,011,UT 
84091,Sandy,Utah ,SALT LAKE,49,035,UT 
84092,Sandy,Utah ,SALT LAKE,49,035,UT 
84090,Sandy,Utah ,SALT LAKE,49,035,UT 
84096,Herriman,Utah ,SALT LAKE,49,035,UT 
84097,Orem,Utah ,UTAH,49,049,UT 
84098,Park City,Utah ,SUMMIT,49,043,UT 
84104,Salt Lake City,Utah ,SALT LAKE,49,035,UT 
84102,Salt Lake City,Utah ,SALT LAKE,49,035,UT 
84105,Salt Lake City,Utah ,SALT LAKE,49,035,UT 
84103,Salt Lake City,Utah ,SALT LAKE,49,035,UT 
84101,Salt Lake City,Utah ,SALT LAKE,49,035,UT 
84106,Salt Lake City,Utah ,SALT LAKE,49,035,UT 
84107,Salt Lake City,Utah ,SALT LAKE,49,035,UT 
84108,Salt Lake City,Utah ,SALT LAKE,49,035,UT 
