05009,White River Junction,Vermont ,WINDSOR,50,027,VT 
05031,Barnard,Vermont ,WINDSOR,50,027,VT 
05035,Bridgewater Corners,Vermont ,WINDSOR,50,027,VT 
05030,Ascutney,Vermont ,WINDSOR,50,027,VT 
05033,Bradford,Vermont ,ORANGE,50,017,VT 
05034,Bridgewater,Vermont ,WINDSOR,50,027,VT 
05001,White River Junction,Vermont ,WINDSOR,50,027,VT 
05032,Bethel,Vermont ,WINDSOR,50,027,VT 
05038,Chelsea,Vermont ,ORANGE,50,017,VT 
05039,Corinth,Vermont ,ORANGE,50,017,VT 
05036,Brookfield,Vermont ,ORANGE,50,017,VT 
05041,East Randolph,Vermont ,ORANGE,50,017,VT 
05043,East Thetford,Vermont ,ORANGE,50,017,VT 
05040,East Corinth,Vermont ,ORANGE,50,017,VT 
05042,East Ryegate,Vermont ,CALEDONIA,50,005,VT 
05037,Brownsville,Vermont ,WINDSOR,50,027,VT 
05045,Fairlee,Vermont ,ORANGE,50,017,VT 
05047,Hartford,Vermont ,WINDSOR,50,027,VT 
05048,Hartland,Vermont ,WINDSOR,50,027,VT 
05049,Hartland Four Corners,Vermont ,WINDSOR,50,027,VT 
05052,North Hartland,Vermont ,WINDSOR,50,027,VT 
05046,Groton,Vermont ,CALEDONIA,50,005,VT 
05050,Mc Indoe Falls,Vermont ,CALEDONIA,50,005,VT 
05051,Newbury,Vermont ,ORANGE,50,017,VT 
05053,North Pomfret,Vermont ,WINDSOR,50,027,VT 
05056,Plymouth,Vermont ,WINDSOR,50,027,VT 
05061,Randolph Center,Vermont ,ORANGE,50,017,VT 
05054,North Thetford,Vermont ,ORANGE,50,017,VT 
05060,Randolph,Vermont ,ORANGE,50,017,VT 
05058,Post Mills,Vermont ,ORANGE,50,017,VT 
05059,Quechee,Vermont ,WINDSOR,50,027,VT 
05055,Norwich,Vermont ,WINDSOR,50,027,VT 
05062,Reading,Vermont ,WINDSOR,50,027,VT 
05071,South Woodstock,Vermont ,WINDSOR,50,027,VT 
05065,Sharon,Vermont ,WINDSOR,50,027,VT 
05070,South Strafford,Vermont ,ORANGE,50,017,VT 
05067,South Pomfret,Vermont ,WINDSOR,50,027,VT 
05069,South Ryegate,Vermont ,CALEDONIA,50,005,VT 
05068,South Royalton,Vermont ,WINDSOR,50,027,VT 
05072,Strafford,Vermont ,ORANGE,50,017,VT 
05073,Taftsville,Vermont ,WINDSOR,50,027,VT 
05076,Topsham,Vermont ,ORANGE,50,017,VT 
05079,Vershire,Vermont ,ORANGE,50,017,VT 
05075,Thetford Center,Vermont ,ORANGE,50,017,VT 
05081,Wells River,Vermont ,ORANGE,50,017,VT 
05077,Tunbridge,Vermont ,ORANGE,50,017,VT 
05083,West Fairlee,Vermont ,ORANGE,50,017,VT 
