00801,St Thomas,Virgin Islands ,SAINT THOMAS,78,030,VI 
00821,Christiansted,Virgin Islands ,SAINT CROIX,78,010,VI 
00803,St Thomas,Virgin Islands ,SAINT THOMAS,78,030,VI 
00802,St Thomas,Virgin Islands ,SAINT THOMAS,78,030,VI 
00822,Christiansted,Virgin Islands ,SAINT CROIX,78,010,VI 
00820,Christiansted,Virgin Islands ,SAINT CROIX,78,010,VI 
00804,St Thomas,Virgin Islands ,SAINT THOMAS,78,030,VI 
00805,St Thomas,Virgin Islands ,SAINT THOMAS,78,030,VI 
00823,Christiansted,Virgin Islands ,SAINT CROIX,78,010,VI 
00824,Christiansted,Virgin Islands ,SAINT CROIX,78,010,VI 
00840,Frederiksted,Virgin Islands ,SAINT CROIX,78,010,VI 
00850,Kingshill,Virgin Islands ,SAINT CROIX,78,010,VI 
00841,Frederiksted,Virgin Islands ,SAINT CROIX,78,010,VI 
00851,Kingshill,Virgin Islands ,SAINT CROIX,78,010,VI 
00831,St John,Virgin Islands ,SAINT JOHN,78,020,VI 
00830,St John,Virgin Islands ,SAINT JOHN,78,020,VI 
