20102,Dulles,Virginia ,LOUDOUN,51,107,VA 
20106,Amissville,Virginia ,CULPEPER,51,047,VA 
20105,Aldie,Virginia ,LOUDOUN,51,107,VA 
20101,Dulles,Virginia ,LOUDOUN,51,107,VA 
20108,Manassas,Virginia ,MANASSAS CITY,51,683,VA 
20104,Dulles,Virginia ,LOUDOUN,51,107,VA 
20103,Dulles,Virginia ,LOUDOUN,51,107,VA 
20109,Manassas,Virginia ,PRINCE WILLIAM,51,153,VA 
20110,Manassas,Virginia ,MANASSAS CITY,51,683,VA 
20117,Middleburg,Virginia ,LOUDOUN,51,107,VA 
20118,Middleburg,Virginia ,LOUDOUN,51,107,VA 
20116,Marshall,Virginia ,FAUQUIER,51,061,VA 
20113,Manassas,Virginia ,MANASSAS PARK CITY,51,685,VA 
20115,Marshall,Virginia ,FAUQUIER,51,061,VA 
20112,Manassas,Virginia ,PRINCE WILLIAM,51,153,VA 
20111,Manassas,Virginia ,PRINCE WILLIAM,51,153,VA 
20120,Centreville,Virginia ,FAIRFAX,51,059,VA 
20121,Centreville,Virginia ,FAIRFAX,51,059,VA 
20128,Orlean,Virginia ,FAUQUIER,51,061,VA 
20130,Paris,Virginia ,CLARKE,51,043,VA 
20122,Centreville,Virginia ,FAIRFAX,51,059,VA 
20129,Paeonian Springs,Virginia ,LOUDOUN,51,107,VA 
20119,Catlett,Virginia ,FAUQUIER,51,061,VA 
20124,Clifton,Virginia ,FAIRFAX,51,059,VA 
20131,Philomont,Virginia ,LOUDOUN,51,107,VA 
20135,Bluemont,Virginia ,CLARKE,51,043,VA 
20137,Broad Run,Virginia ,FAUQUIER,51,061,VA 
20136,Bristow,Virginia ,PRINCE WILLIAM,51,153,VA 
20134,Purcellville,Virginia ,LOUDOUN,51,107,VA 
20139,Casanova,Virginia ,FAUQUIER,51,061,VA 
20138,Calverton,Virginia ,FAUQUIER,51,061,VA 
20132,Purcellville,Virginia ,LOUDOUN,51,107,VA 
20140,Rectortown,Virginia ,FAUQUIER,51,061,VA 
20141,Round Hill,Virginia ,LOUDOUN,51,107,VA 
20142,Round Hill,Virginia ,LOUDOUN,51,107,VA 
20148,Ashburn,Virginia ,LOUDOUN,51,107,VA 
20144,Delaplane,Virginia ,FAUQUIER,51,061,VA 
20143,Catharpin,Virginia ,PRINCE WILLIAM,51,153,VA 
20147,Ashburn,Virginia ,LOUDOUN,51,107,VA 
20146,Ashburn,Virginia ,LOUDOUN,51,107,VA 
20149,Ashburn,Virginia ,LOUDOUN,51,107,VA 
20151,Chantilly,Virginia ,FAIRFAX,51,059,VA 
20156,Gainesville,Virginia ,PRINCE WILLIAM,51,153,VA 
20158,Hamilton,Virginia ,LOUDOUN,51,107,VA 
20153,Chantilly,Virginia ,FAIRFAX,51,059,VA 
20155,Gainesville,Virginia ,PRINCE WILLIAM,51,153,VA 
20159,Hamilton,Virginia ,LOUDOUN,51,107,VA 
20152,Chantilly,Virginia ,LOUDOUN,51,107,VA 
20160,Lincoln,Virginia ,LOUDOUN,51,107,VA 
20163,Sterling,Virginia ,LOUDOUN,51,107,VA 
20167,Sterling,Virginia ,LOUDOUN,51,107,VA 
20168,Haymarket,Virginia ,PRINCE WILLIAM,51,153,VA 
20164,Sterling,Virginia ,LOUDOUN,51,107,VA 
20169,Haymarket,Virginia ,PRINCE WILLIAM,51,153,VA 
20165,Sterling,Virginia ,LOUDOUN,51,107,VA 
20166,Sterling,Virginia ,LOUDOUN,51,107,VA 
20170,Herndon,Virginia ,FAIRFAX,51,059,VA 
20171,Herndon,Virginia ,FAIRFAX,51,059,VA 
20175,Leesburg,Virginia ,LOUDOUN,51,107,VA 
20172,Herndon,Virginia ,FAIRFAX,51,059,VA 
20178,Leesburg,Virginia ,LOUDOUN,51,107,VA 
20180,Lovettsville,Virginia ,LOUDOUN,51,107,VA 
20177,Leesburg,Virginia ,LOUDOUN,51,107,VA 
20181,Nokesville,Virginia ,PRINCE WILLIAM,51,153,VA 
20176,Leesburg,Virginia ,LOUDOUN,51,107,VA 
20182,Nokesville,Virginia ,PRINCE WILLIAM,51,153,VA 
20185,Upperville,Virginia ,FAUQUIER,51,061,VA 
20184,Upperville,Virginia ,FAUQUIER,51,061,VA 
20189,Dulles,Virginia ,LOUDOUN,51,107,VA 
20187,Warrenton,Virginia ,FAUQUIER,51,061,VA 
20186,Warrenton,Virginia ,FAUQUIER,51,061,VA 
20188,Warrenton,Virginia ,FAUQUIER,51,061,VA 
20190,Reston,Virginia ,FAIRFAX,51,059,VA 
20191,Reston,Virginia ,FAIRFAX,51,059,VA 
20192,Herndon,Virginia ,FAIRFAX,51,059,VA 
20194,Reston,Virginia ,FAIRFAX,51,059,VA 
20598,Dhs,Virginia ,LOUDOUN,51,107,VA 
20198,The Plains,Virginia ,FAUQUIER,51,061,VA 
20196,Reston,Virginia ,FAIRFAX,51,059,VA 
20197,Waterford,Virginia ,LOUDOUN,51,107,VA 
20195,Reston,Virginia ,FAIRFAX,51,059,VA 
22003,Annandale,Virginia ,FAIRFAX,51,059,VA 
22015,Burke,Virginia ,FAIRFAX,51,059,VA 
22025,Dumfries,Virginia ,PRINCE WILLIAM,51,153,VA 
22009,Burke,Virginia ,FAIRFAX,51,059,VA 
22032,Fairfax,Virginia ,FAIRFAX,51,059,VA 
22030,Fairfax,Virginia ,FAIRFAX CITY,51,600,VA 
22026,Dumfries,Virginia ,PRINCE WILLIAM,51,153,VA 
22031,Fairfax,Virginia ,FAIRFAX,51,059,VA 
22027,Dunn Loring,Virginia ,FAIRFAX,51,059,VA 
22034,Fairfax,Virginia ,FAIRFAX,51,059,VA 
22033,Fairfax,Virginia ,FAIRFAX,51,059,VA 
22035,Fairfax,Virginia ,FAIRFAX,51,059,VA 
22038,Fairfax,Virginia ,FAIRFAX CITY,51,600,VA 
22039,Fairfax Station,Virginia ,FAIRFAX,51,059,VA 
22036,Fairfax,Virginia ,FAIRFAX,51,059,VA 
22037,Fairfax,Virginia ,FAIRFAX,51,059,VA 
22040,Falls Church,Virginia ,FALLS CHURCH CITY,51,610,VA 
22041,Falls Church,Virginia ,FAIRFAX,51,059,VA 
22042,Falls Church,Virginia ,FAIRFAX,51,059,VA 
22044,Falls Church,Virginia ,FAIRFAX,51,059,VA 
22046,Falls Church,Virginia ,FALLS CHURCH CITY,51,610,VA 
22060,Fort Belvoir,Virginia ,FAIRFAX,51,059,VA 
22067,Greenway,Virginia ,FAIRFAX,51,059,VA 
22066,Great Falls,Virginia ,FAIRFAX,51,059,VA 
22043,Falls Church,Virginia ,FAIRFAX,51,059,VA 
22079,Lorton,Virginia ,FAIRFAX,51,059,VA 
22082,Merrifield,Virginia ,FAIRFAX,51,059,VA 
22095,Herndon,Virginia ,FAIRFAX,51,059,VA 
22081,Merrifield,Virginia ,FAIRFAX,51,059,VA 
22096,Reston,Virginia ,FAIRFAX,51,059,VA 
22103,West Mclean,Virginia ,FAIRFAX,51,059,VA 
22101,Mc Lean,Virginia ,FAIRFAX,51,059,VA 
22106,Mc Lean,Virginia ,FAIRFAX,51,059,VA 
22102,Mc Lean,Virginia ,FAIRFAX,51,059,VA 
22107,Mc Lean,Virginia ,FAIRFAX,51,059,VA 
22116,Merrifield,Virginia ,FAIRFAX,51,059,VA 
22109,Mc Lean,Virginia ,FAIRFAX,51,059,VA 
22118,Merrifield,Virginia ,FAIRFAX,51,059,VA 
22108,Mc Lean,Virginia ,FAIRFAX,51,059,VA 
22121,Mount Vernon,Virginia ,FAIRFAX,51,059,VA 
22122,Newington,Virginia ,FAIRFAX,51,059,VA 
22124,Oakton,Virginia ,FAIRFAX,51,059,VA 
22119,Merrifield,Virginia ,FAIRFAX,51,059,VA 
22134,Quantico,Virginia ,PRINCE WILLIAM,51,153,VA 
22125,Occoquan,Virginia ,PRINCE WILLIAM,51,153,VA 
22135,Quantico,Virginia ,STAFFORD,51,179,VA 
22156,Springfield,Virginia ,FAIRFAX,51,059,VA 
22151,Springfield,Virginia ,FAIRFAX,51,059,VA 
22153,Springfield,Virginia ,FAIRFAX,51,059,VA 
22152,Springfield,Virginia ,FAIRFAX,51,059,VA 
22150,Springfield,Virginia ,FAIRFAX,51,059,VA 
22158,Springfield,Virginia ,FAIRFAX,51,059,VA 
22160,Springfield,Virginia ,FAIRFAX,51,059,VA 
22181,Vienna,Virginia ,FAIRFAX,51,059,VA 
22172,Triangle,Virginia ,PRINCE WILLIAM,51,153,VA 
22161,Springfield,Virginia ,FAIRFAX,51,059,VA 
22180,Vienna,Virginia ,FAIRFAX,51,059,VA 
22159,Springfield,Virginia ,FAIRFAX,51,059,VA 
22182,Vienna,Virginia ,FAIRFAX,51,059,VA 
22183,Vienna,Virginia ,FAIRFAX,51,059,VA 
22185,Vienna,Virginia ,FAIRFAX,51,059,VA 
22194,Woodbridge,Virginia ,PRINCE WILLIAM,51,153,VA 
22191,Woodbridge,Virginia ,PRINCE WILLIAM,51,153,VA 
22195,Woodbridge,Virginia ,PRINCE WILLIAM,51,153,VA 
22193,Woodbridge,Virginia ,PRINCE WILLIAM,51,153,VA 
22192,Woodbridge,Virginia ,PRINCE WILLIAM,51,153,VA 
22199,Lorton,Virginia ,FAIRFAX,51,059,VA 
22201,Arlington,Virginia ,ARLINGTON,51,013,VA 
22202,Arlington,Virginia ,ARLINGTON,51,013,VA 
22204,Arlington,Virginia ,ARLINGTON,51,013,VA 
22205,Arlington,Virginia ,ARLINGTON,51,013,VA 
22203,Arlington,Virginia ,ARLINGTON,51,013,VA 
22210,Arlington,Virginia ,ARLINGTON,51,013,VA 
22206,Arlington,Virginia ,ARLINGTON,51,013,VA 
22207,Arlington,Virginia ,ARLINGTON,51,013,VA 
22209,Arlington,Virginia ,ARLINGTON,51,013,VA 
22211,Fort Myer,Virginia ,ARLINGTON,51,013,VA 
22212,Arlington,Virginia ,ARLINGTON,51,013,VA 
22219,Arlington,Virginia ,ARLINGTON,51,013,VA 
22213,Arlington,Virginia ,ARLINGTON,51,013,VA 
22216,Arlington,Virginia ,ARLINGTON,51,013,VA 
22217,Arlington,Virginia ,ARLINGTON,51,013,VA 
22214,Arlington,Virginia ,ARLINGTON,51,013,VA 
22215,Arlington,Virginia ,ARLINGTON,51,013,VA 
22225,Arlington,Virginia ,ARLINGTON,51,013,VA 
22226,Arlington,Virginia ,ARLINGTON,51,013,VA 
22240,Arlington,Virginia ,ARLINGTON,51,013,VA 
22227,Arlington,Virginia ,ARLINGTON,51,013,VA 
22243,Arlington,Virginia ,ARLINGTON,51,013,VA 
22241,Arlington,Virginia ,ARLINGTON,51,013,VA 
22230,Arlington,Virginia ,ARLINGTON,51,013,VA 
22242,Arlington,Virginia ,ARLINGTON,51,013,VA 
22244,Arlington,Virginia ,ARLINGTON,51,013,VA 
22245,Arlington,Virginia ,ARLINGTON,51,013,VA 
22246,Arlington,Virginia ,ARLINGTON,51,013,VA 
22303,Alexandria,Virginia ,FAIRFAX,51,059,VA 
22301,Alexandria,Virginia ,ALEXANDRIA CITY,51,510,VA 
22302,Alexandria,Virginia ,ALEXANDRIA CITY,51,510,VA 
22305,Alexandria,Virginia ,ALEXANDRIA CITY,51,510,VA 
22306,Alexandria,Virginia ,FAIRFAX,51,059,VA 
22304,Alexandria,Virginia ,ALEXANDRIA CITY,51,510,VA 
