82001,Cheyenne,Wyoming ,LARAMIE,56,021,WY 
82010,Cheyenne,Wyoming ,LARAMIE,56,021,WY 
82005,Fe Warren AFB,Wyoming ,LARAMIE,56,021,WY 
82003,Cheyenne,Wyoming ,LARAMIE,56,021,WY 
82002,Cheyenne,Wyoming ,LARAMIE,56,021,WY 
82006,Cheyenne,Wyoming ,LARAMIE,56,021,WY 
82007,Cheyenne,Wyoming ,LARAMIE,56,021,WY 
82009,Cheyenne,Wyoming ,LARAMIE,56,021,WY 
82050,Albin,Wyoming ,LARAMIE,56,021,WY 
82051,Bosler,Wyoming ,ALBANY,56,001,WY 
82052,Buford,Wyoming ,ALBANY,56,001,WY 
82055,Centennial,Wyoming ,ALBANY,56,001,WY 
82054,Carpenter,Wyoming ,LARAMIE,56,021,WY 
82053,Burns,Wyoming ,LARAMIE,56,021,WY 
82058,Garrett,Wyoming ,ALBANY,56,001,WY 
82059,Granite Canon,Wyoming ,LARAMIE,56,021,WY 
82060,Hillsdale,Wyoming ,LARAMIE,56,021,WY 
82070,Laramie,Wyoming ,ALBANY,56,001,WY 
82072,Laramie,Wyoming ,ALBANY,56,001,WY 
82063,Jelm,Wyoming ,ALBANY,56,001,WY 
82073,Laramie,Wyoming ,ALBANY,56,001,WY 
82081,Meriden,Wyoming ,LARAMIE,56,021,WY 
82071,Laramie,Wyoming ,ALBANY,56,001,WY 
82061,Horse Creek,Wyoming ,LARAMIE,56,021,WY 
82082,Pine Bluffs,Wyoming ,LARAMIE,56,021,WY 
82084,Tie Siding,Wyoming ,ALBANY,56,001,WY 
82201,Wheatland,Wyoming ,PLATTE,56,031,WY 
82210,Chugwater,Wyoming ,PLATTE,56,031,WY 
82213,Glendo,Wyoming ,PLATTE,56,031,WY 
82212,Fort Laramie,Wyoming ,GOSHEN,56,015,WY 
82190,Yellowstone National Park,Wyoming ,PARK,56,029,WY 
82083,Rock River,Wyoming ,ALBANY,56,001,WY 
82214,Guernsey,Wyoming ,PLATTE,56,031,WY 
82217,Hawk Springs,Wyoming ,GOSHEN,56,015,WY 
82219,Jay Em,Wyoming ,GOSHEN,56,015,WY 
82218,Huntley,Wyoming ,GOSHEN,56,015,WY 
82215,Hartville,Wyoming ,PLATTE,56,031,WY 
82221,Lagrange,Wyoming ,GOSHEN,56,015,WY 
82223,Lingle,Wyoming ,GOSHEN,56,015,WY 
82222,Lance Creek,Wyoming ,NIOBRARA,56,027,WY 
82224,Lost Springs,Wyoming ,CONVERSE,56,009,WY 
82227,Manville,Wyoming ,NIOBRARA,56,027,WY 
82240,Torrington,Wyoming ,GOSHEN,56,015,WY 
82225,Lusk,Wyoming ,NIOBRARA,56,027,WY 
82242,Van Tassell,Wyoming ,NIOBRARA,56,027,WY 
82229,Shawnee,Wyoming ,CONVERSE,56,009,WY 
82243,Veteran,Wyoming ,GOSHEN,56,015,WY 
82244,Yoder,Wyoming ,GOSHEN,56,015,WY 
82301,Rawlins,Wyoming ,CARBON,56,007,WY 
82310,Jeffrey City,Wyoming ,FREMONT,56,013,WY 
82322,Bairoil,Wyoming ,SWEETWATER,56,037,WY 
82329,Medicine Bow,Wyoming ,CARBON,56,007,WY 
82324,Elk Mountain,Wyoming ,CARBON,56,007,WY 
82325,Encampment,Wyoming ,CARBON,56,007,WY 
82323,Dixon,Wyoming ,CARBON,56,007,WY 
82327,Hanna,Wyoming ,CARBON,56,007,WY 
82321,Baggs,Wyoming ,CARBON,56,007,WY 
82331,Saratoga,Wyoming ,CARBON,56,007,WY 
82411,Burlington,Wyoming ,BIG HORN,56,003,WY 
82335,Walcott,Wyoming ,CARBON,56,007,WY 
82334,Sinclair,Wyoming ,CARBON,56,007,WY 
82336,Wamsutter,Wyoming ,SWEETWATER,56,037,WY 
82332,Savery,Wyoming ,CARBON,56,007,WY 
82401,Worland,Wyoming ,WASHAKIE,56,043,WY 
82410,Basin,Wyoming ,BIG HORN,56,003,WY 
82423,Frannie,Wyoming ,PARK,56,029,WY 
82422,Emblem,Wyoming ,BIG HORN,56,003,WY 
82421,Deaver,Wyoming ,BIG HORN,56,003,WY 
82426,Greybull,Wyoming ,BIG HORN,56,003,WY 
82414,Cody,Wyoming ,PARK,56,029,WY 
82428,Hyattville,Wyoming ,BIG HORN,56,003,WY 
82420,Cowley,Wyoming ,BIG HORN,56,003,WY 
82412,Byron,Wyoming ,BIG HORN,56,003,WY 
82430,Kirby,Wyoming ,HOT SPRINGS,56,017,WY 
82433,Meeteetse,Wyoming ,PARK,56,029,WY 
82440,Ralston,Wyoming ,PARK,56,029,WY 
82435,Powell,Wyoming ,PARK,56,029,WY 
82434,Otto,Wyoming ,BIG HORN,56,003,WY 
82432,Manderson,Wyoming ,BIG HORN,56,003,WY 
82441,Shell,Wyoming ,BIG HORN,56,003,WY 
82431,Lovell,Wyoming ,BIG HORN,56,003,WY 
82442,Ten Sleep,Wyoming ,WASHAKIE,56,043,WY 
82450,Wapiti,Wyoming ,PARK,56,029,WY 
82513,Dubois,Wyoming ,FREMONT,56,013,WY 
82512,Crowheart,Wyoming ,FREMONT,56,013,WY 
82510,Arapahoe,Wyoming ,FREMONT,56,013,WY 
82501,Riverton,Wyoming ,FREMONT,56,013,WY 
82443,Thermopolis,Wyoming ,HOT SPRINGS,56,017,WY 
82514,Fort Washakie,Wyoming ,FREMONT,56,013,WY 
82515,Hudson,Wyoming ,FREMONT,56,013,WY 
82520,Lander,Wyoming ,FREMONT,56,013,WY 
82524,Saint Stephens,Wyoming ,FREMONT,56,013,WY 
82602,Casper,Wyoming ,NATRONA,56,025,WY 
82516,Kinnear,Wyoming ,FREMONT,56,013,WY 
82523,Pavillion,Wyoming ,FREMONT,56,013,WY 
82601,Casper,Wyoming ,NATRONA,56,025,WY 
82604,Casper,Wyoming ,NATRONA,56,025,WY 
82605,Casper,Wyoming ,NATRONA,56,025,WY 
82609,Casper,Wyoming ,NATRONA,56,025,WY 
82620,Alcova,Wyoming ,NATRONA,56,025,WY 
82615,Shirley Basin,Wyoming ,CARBON,56,007,WY 
82633,Douglas,Wyoming ,CONVERSE,56,009,WY 
82635,Edgerton,Wyoming ,NATRONA,56,025,WY 
82636,Evansville,Wyoming ,NATRONA,56,025,WY 
82637,Glenrock,Wyoming ,CONVERSE,56,009,WY 
82630,Arminto,Wyoming ,NATRONA,56,025,WY 
82639,Kaycee,Wyoming ,JOHNSON,56,019,WY 
82643,Midwest,Wyoming ,NATRONA,56,025,WY 
82638,Hiland,Wyoming ,NATRONA,56,025,WY 
82646,Natrona,Wyoming ,NATRONA,56,025,WY 
82642,Lysite,Wyoming ,FREMONT,56,013,WY 
82644,Mills,Wyoming ,NATRONA,56,025,WY 
82648,Powder River,Wyoming ,NATRONA,56,025,WY 
82640,Linch,Wyoming ,JOHNSON,56,019,WY 
82649,Shoshoni,Wyoming ,FREMONT,56,013,WY 
82710,Aladdin,Wyoming ,CROOK,56,011,WY 
82701,Newcastle,Wyoming ,WESTON,56,045,WY 
82712,Beulah,Wyoming ,CROOK,56,011,WY 
82716,Gillette,Wyoming ,CAMPBELL,56,005,WY 
82715,Four Corners,Wyoming ,WESTON,56,045,WY 
82714,Devils Tower,Wyoming ,CROOK,56,011,WY 
82711,Alva,Wyoming ,CROOK,56,011,WY 
82717,Gillette,Wyoming ,CAMPBELL,56,005,WY 
82720,Hulett,Wyoming ,CROOK,56,011,WY 
82718,Gillette,Wyoming ,CAMPBELL,56,005,WY 
82723,Osage,Wyoming ,WESTON,56,045,WY 
82725,Recluse,Wyoming ,CAMPBELL,56,005,WY 
82721,Moorcroft,Wyoming ,CROOK,56,011,WY 
